Source:_Reference_(distributed)	Unnamed:_1	Unnamed:_2	Unnamed:_3
ES111	HydroPumpStorage	1	10638.298
ES111	HydroPumpStorage	2	10638.298
ES111	HydroPumpStorage	3	10638.298
ES111	HydroPumpStorage	4	10638.298
ES111	HydroPumpStorage	5	10638.298
ES111	HydroPumpStorage	6	10638.298
ES111	HydroPumpStorage	7	10638.298
ES111	Li-Ion_BESS	1	10638.298
ES111	Li-Ion_BESS	2	10638.298
ES111	Li-Ion_BESS	3	10638.298
ES111	Li-Ion_BESS	4	10638.298
ES111	Li-Ion_BESS	5	10638.298
ES111	Li-Ion_BESS	6	10638.298
ES111	Li-Ion_BESS	7	10638.298
ES112	HydroPumpStorage	1	10638.298
ES112	HydroPumpStorage	2	10638.298
ES112	HydroPumpStorage	3	10638.298
ES112	HydroPumpStorage	4	10638.298
ES112	HydroPumpStorage	5	10638.298
ES112	HydroPumpStorage	6	10638.298
ES112	HydroPumpStorage	7	10638.298
ES112	Li-Ion_BESS	1	10638.298
ES112	Li-Ion_BESS	2	10638.298
ES112	Li-Ion_BESS	3	10638.298
ES112	Li-Ion_BESS	4	10638.298
ES112	Li-Ion_BESS	5	10638.298
ES112	Li-Ion_BESS	6	10638.298
ES112	Li-Ion_BESS	7	10638.298
ES113	HydroPumpStorage	1	10638.298
ES113	HydroPumpStorage	2	10638.298
ES113	HydroPumpStorage	3	10638.298
ES113	HydroPumpStorage	4	10638.298
ES113	HydroPumpStorage	5	10638.298
ES113	HydroPumpStorage	6	10638.298
ES113	HydroPumpStorage	7	10638.298
ES113	Li-Ion_BESS	1	10638.298
ES113	Li-Ion_BESS	2	10638.298
ES113	Li-Ion_BESS	3	10638.298
ES113	Li-Ion_BESS	4	10638.298
ES113	Li-Ion_BESS	5	10638.298
ES113	Li-Ion_BESS	6	10638.298
ES113	Li-Ion_BESS	7	10638.298
ES114	HydroPumpStorage	1	10638.298
ES114	HydroPumpStorage	2	10638.298
ES114	HydroPumpStorage	3	10638.298
ES114	HydroPumpStorage	4	10638.298
ES114	HydroPumpStorage	5	10638.298
ES114	HydroPumpStorage	6	10638.298
ES114	HydroPumpStorage	7	10638.298
ES114	Li-Ion_BESS	1	10638.298
ES114	Li-Ion_BESS	2	10638.298
ES114	Li-Ion_BESS	3	10638.298
ES114	Li-Ion_BESS	4	10638.298
ES114	Li-Ion_BESS	5	10638.298
ES114	Li-Ion_BESS	6	10638.298
ES114	Li-Ion_BESS	7	10638.298
ES120	HydroPumpStorage	1	10638.298
ES120	HydroPumpStorage	2	10638.298
ES120	HydroPumpStorage	3	10638.298
ES120	HydroPumpStorage	4	10638.298
ES120	HydroPumpStorage	5	10638.298
ES120	HydroPumpStorage	6	10638.298
ES120	HydroPumpStorage	7	10638.298
ES120	Li-Ion_BESS	1	10638.298
ES120	Li-Ion_BESS	2	10638.298
ES120	Li-Ion_BESS	3	10638.298
ES120	Li-Ion_BESS	4	10638.298
ES120	Li-Ion_BESS	5	10638.298
ES120	Li-Ion_BESS	6	10638.298
ES120	Li-Ion_BESS	7	10638.298
ES130	HydroPumpStorage	1	10638.298
ES130	HydroPumpStorage	2	10638.298
