Source:_M:\Work\codes\Energy_vision_scenarios\data\EMPIRE\Data_handler_Trinity_EU\Transmission.xlsx_+_data/IAMC/Spain/Spain_IAMC.xlsx	Unnamed:_1	Unnamed:_2	Unnamed:_3
ES111	ES112	1	7641.46175283237
ES111	ES112	2	7641.46175283237
ES111	ES112	3	7641.46175283237
ES111	ES112	4	7641.46175283237
ES111	ES112	5	7641.46175283237
ES111	ES112	6	7641.46175283237
ES111	ES112	7	7641.46175283237
ES111	ES114	1	5049.6209243863
ES111	ES114	2	5049.6209243863
ES111	ES114	3	5049.6209243863
ES111	ES114	4	5049.6209243863
ES111	ES114	5	5049.6209243863
ES111	ES114	6	5049.6209243863
ES111	ES114	7	5049.6209243863
ES112	ES113	1	1474.66805756414
ES112	ES113	2	1474.66805756414
ES112	ES113	3	1474.66805756414
ES112	ES113	4	1474.66805756414
ES112	ES113	5	1474.66805756414
ES112	ES113	6	1474.66805756414
ES112	ES113	7	1474.66805756414
ES112	ES120	1	4027.47643341108
ES112	ES120	2	4027.47643341108
ES112	ES120	3	4027.47643341108
ES112	ES120	4	4027.47643341108
ES112	ES120	5	4027.47643341108
ES112	ES120	6	4027.47643341108
ES112	ES120	7	4027.47643341108
ES112	ES413	1	4066.50888601021
ES112	ES413	2	4066.50888601021
ES112	ES413	3	4066.50888601021
ES112	ES413	4	4066.50888601021
ES112	ES413	5	4066.50888601021
ES112	ES413	6	4066.50888601021
ES112	ES413	7	4066.50888601021
ES113	ES114	1	6863.73296276239
ES113	ES114	2	6863.73296276239
ES113	ES114	3	6863.73296276239
ES113	ES114	4	6863.73296276239
ES113	ES114	5	6863.73296276239
ES113	ES114	6	6863.73296276239
ES113	ES114	7	6863.73296276239
ES113	ES413	1	2770.58847178717
ES113	ES413	2	2770.58847178717
ES113	ES413	3	2770.58847178717
ES113	ES413	4	2770.58847178717
ES113	ES413	5	2770.58847178717
ES113	ES413	6	2770.58847178717
ES113	ES413	7	2770.58847178717
ES113	ES419	1	6618.06490519825
ES113	ES419	2	6618.06490519825
ES113	ES419	3	6618.06490519825
ES113	ES419	4	6618.06490519825
ES113	ES419	5	6618.06490519825
ES113	ES419	6	6618.06490519825
ES113	ES419	7	6618.06490519825
ES113	Portugal	1	8666.90573364432
ES113	Portugal	2	8666.90573364432
ES113	Portugal	3	8666.90573364432
ES113	Portugal	4	8666.90573364432
ES113	Portugal	5	8666.90573364432
ES113	Portugal	6	8666.90573364432
ES113	Portugal	7	8666.90573364432
ES120	ES130	1	5049.6209243863
ES120	ES130	2	5049.6209243863
ES120	ES130	3	5049.6209243863
ES120	ES130	4	5049.6209243863
ES120	ES130	5	5049.6209243863
ES120	ES130	6	5049.6209243863
ES120	ES130	7	5049.6209243863
ES120	ES413	1	5853.98531942129
ES120	ES413	2	5853.98531942129
ES120	ES413	3	5853.98531942129
ES120	ES413	4	5853.98531942129
ES120	ES413	5	5853.98531942129
ES120	ES413	6	5853.98531942129
