Source:_M:\Work\codes\Energy_vision_scenarios\data\EMPIRE\Data_handler_Trinity_EU\Transmission.xlsx_+_data/IAMC/Spain/Spain_IAMC.xlsx	Unnamed:_1	Unnamed:_2	Unnamed:_3
ES111	ES112	1	15282.92350566474
ES111	ES112	2	15282.92350566474
ES111	ES112	3	15282.92350566474
ES111	ES112	4	15282.92350566474
ES111	ES112	5	15282.92350566474
ES111	ES112	6	15282.92350566474
ES111	ES112	7	15282.92350566474
ES111	ES114	1	10099.2418487726
ES111	ES114	2	10099.2418487726
ES111	ES114	3	10099.2418487726
ES111	ES114	4	10099.2418487726
ES111	ES114	5	10099.2418487726
ES111	ES114	6	10099.2418487726
ES111	ES114	7	10099.2418487726
ES112	ES113	1	2974.66805756414
ES112	ES113	2	2974.66805756414
ES112	ES113	3	2974.66805756414
ES112	ES113	4	2974.66805756414
ES112	ES113	5	2974.66805756414
ES112	ES113	6	2974.66805756414
ES112	ES113	7	2974.66805756414
ES112	ES114	1	1500.0
ES112	ES114	2	1500.0
ES112	ES114	3	1500.0
ES112	ES114	4	1500.0
ES112	ES114	5	1500.0
ES112	ES114	6	1500.0
ES112	ES114	7	1500.0
ES112	ES120	1	5527.476433411081
ES112	ES120	2	5527.476433411081
ES112	ES120	3	5527.476433411081
ES112	ES120	4	5527.476433411081
ES112	ES120	5	5527.476433411081
ES112	ES120	6	5527.476433411081
ES112	ES120	7	5527.476433411081
ES112	ES413	1	8133.01777202042
ES112	ES413	2	8133.01777202042
ES112	ES413	3	8133.01777202042
ES112	ES413	4	8133.01777202042
ES112	ES413	5	8133.01777202042
ES112	ES413	6	8133.01777202042
ES112	ES413	7	8133.01777202042
ES113	ES114	1	12065.46592552478
ES113	ES114	2	12065.46592552478
ES113	ES114	3	12065.46592552478
ES113	ES114	4	12065.46592552478
ES113	ES114	5	12065.46592552478
ES113	ES114	6	12065.46592552478
ES113	ES114	7	12065.46592552478
ES113	ES413	1	5541.17694357434
ES113	ES413	2	5541.17694357434
ES113	ES413	3	5541.17694357434
ES113	ES413	4	5541.17694357434
ES113	ES413	5	5541.17694357434
ES113	ES413	6	5541.17694357434
ES113	ES413	7	5541.17694357434
ES113	ES419	1	9116.1298103965
ES113	ES419	2	9116.1298103965
ES113	ES419	3	9116.1298103965
ES113	ES419	4	9116.1298103965
ES113	ES419	5	9116.1298103965
ES113	ES419	6	9116.1298103965
ES113	ES419	7	9116.1298103965
ES113	Portugal	1	8666.90573364432
ES113	Portugal	2	8666.90573364432
ES113	Portugal	3	8666.90573364432
ES113	Portugal	4	8666.90573364432
ES113	Portugal	5	8666.90573364432
ES113	Portugal	6	8666.90573364432
ES113	Portugal	7	8666.90573364432
ES114	Portugal	1	0.0
ES114	Portugal	2	0.0
ES114	Portugal	3	0.0
ES114	Portugal	4	0.0
ES114	Portugal	5	0.0
ES114	Portugal	6	0.0
ES114	Portugal	7	0.0
ES120	ES130	1	10099.2418487726
ES120	ES130	2	10099.2418487726
ES120	ES130	3	10099.2418487726
ES120	ES130	4	10099.2418487726
ES120	ES130	5	10099.2418487726
ES120	ES130	6	10099.2418487726
ES120	ES130	7	10099.2418487726
ES120	ES413	1	11707.97063884258
ES120	ES413	2	11707.97063884258
ES120	ES413	3	11707.97063884258
ES120	ES413	4	11707.97063884258
ES120	ES413	5	11707.97063884258
ES120	ES413	6	11707.97063884258
ES120	ES413	7	11707.97063884258
ES130	ES213	1	10724.85860046648
ES130	ES213	2	10724.85860046648
ES130	ES213	3	10724.85860046648
ES130	ES213	4	10724.85860046648
ES130	ES213	5	10724.85860046648
ES130	ES213	6	10724.85860046648
ES130	ES213	7	10724.85860046648
ES130	ES412	1	2483.112038376094
ES130	ES412	2	2483.112038376094
ES130	ES412	3	2483.112038376094
ES130	ES412	4	2483.112038376094
ES130	ES412	5	2483.112038376094
ES130	ES412	6	2483.112038376094
ES130	ES412	7	2483.112038376094
ES130	ES413	1	4558.06490519824
ES130	ES413	2	4558.06490519824
ES130	ES413	3	4558.06490519824
ES130	ES413	4	4558.06490519824
ES130	ES413	5	4558.06490519824
ES130	ES413	6	4558.06490519824
ES130	ES413	7	4558.06490519824
ES130	ES414	1	3574.95286682216
ES130	ES414	2	3574.95286682216
ES130	ES414	3	3574.95286682216
ES130	ES414	4	3574.95286682216
ES130	ES414	5	3574.95286682216
ES130	ES414	6	3574.95286682216
ES130	ES414	7	3574.95286682216
ES211	ES212	1	9116.1298103965
ES211	ES212	2	9116.1298103965
ES211	ES212	3	9116.1298103965
ES211	ES212	4	9116.1298103965
ES211	ES212	5	9116.1298103965
ES211	ES212	6	9116.1298103965
ES211	ES212	7	9116.1298103965
ES211	ES213	1	2974.66805756414
ES211	ES213	2	2974.66805756414
ES211	ES213	3	2974.66805756414
ES211	ES213	4	2974.66805756414
ES211	ES213	5	2974.66805756414
ES211	ES213	6	2974.66805756414
ES211	ES213	7	2974.66805756414
ES211	ES220	1	1500.0
ES211	ES220	2	1500.0
ES211	ES220	3	1500.0
ES211	ES220	4	1500.0
ES211	ES220	5	1500.0
ES211	ES220	6	1500.0
ES211	ES220	7	1500.0
ES211	ES230	1	1991.556019188047
ES211	ES230	2	1991.556019188047
ES211	ES230	3	1991.556019188047
ES211	ES230	4	1991.556019188047
ES211	ES230	5	1991.556019188047
ES211	ES230	6	1991.556019188047
ES211	ES230	7	1991.556019188047
ES211	ES412	1	6524.28898195044
ES211	ES412	2	6524.28898195044
