Source:_Assumed	Unnamed:_1	Unnamed:_2
ES111	ES112	0.97
ES111	ES114	0.97
ES112	ES111	0.97
ES112	ES113	0.97
ES112	ES114	0.97
ES112	ES120	0.97
ES112	ES413	0.97
ES113	ES112	0.97
ES113	ES114	0.97
ES113	ES413	0.97
ES113	ES419	0.97
ES113	Portugal	0.97
ES114	ES111	0.97
ES114	ES112	0.97
ES114	ES113	0.97
ES114	Portugal	0.97
ES120	ES112	0.97
ES120	ES130	0.97
ES120	ES413	0.97
ES130	ES120	0.97
ES130	ES213	0.97
ES130	ES412	0.97
ES130	ES413	0.97
ES130	ES414	0.97
ES211	ES212	0.97
ES211	ES213	0.97
ES211	ES220	0.97
ES211	ES230	0.97
ES211	ES412	0.97
ES211	ES414	0.97
ES212	ES211	0.97
ES212	ES213	0.97
ES212	ES220	0.97
ES212	France	0.97
ES213	ES130	0.97
ES213	ES211	0.97
ES213	ES212	0.97
ES213	ES412	0.97
ES220	ES211	0.97
ES220	ES212	0.97
ES220	ES230	0.97
ES220	ES241	0.97
ES220	ES243	0.97
ES220	France	0.97
ES230	ES211	0.97
ES230	ES220	0.97
ES230	ES243	0.97
ES230	ES412	0.97
ES230	ES417	0.97
ES241	ES220	0.97
ES241	ES243	0.97
ES241	ES513	0.97
ES241	France	0.97
ES242	ES243	0.97
ES242	ES423	0.97
ES242	ES424	0.97
ES242	ES514	0.97
ES242	ES522	0.97
ES242	ES523	0.97
ES243	ES220	0.97
ES243	ES230	0.97
ES243	ES241	0.97
ES243	ES242	0.97
ES243	ES417	0.97
ES243	ES424	0.97
ES243	ES513	0.97
ES243	ES514	0.97
ES300	ES414	0.97
ES300	ES416	0.97
ES300	ES418	0.97
ES300	ES423	0.97
ES300	ES424	0.97
ES300	ES425	0.97
ES300	ES432	0.97
ES412	ES130	0.97
ES412	ES211	0.97
ES412	ES213	0.97
ES412	ES230	0.97
ES412	ES414	0.97
ES412	ES416	0.97
ES412	ES417	0.97
ES412	ES418	0.97
ES413	ES112	0.97
ES413	ES113	0.97
ES413	ES120	0.97
ES413	ES130	0.97
ES413	ES414	0.97
ES413	ES418	0.97
ES413	ES419	0.97
ES414	ES130	0.97
ES414	ES211	0.97
ES414	ES300	0.97
ES414	ES412	0.97
ES414	ES413	0.97
ES414	ES415	0.97
ES414	ES418	0.97
ES415	ES414	0.97
ES415	ES418	0.97
ES415	ES419	0.97
ES415	ES432	0.97
ES415	Portugal	0.97
ES416	ES300	0.97
ES416	ES412	0.97
ES416	ES417	0.97
ES416	ES418	0.97
ES416	ES424	0.97
ES417	ES230	0.97
ES417	ES243	0.97
ES417	ES412	0.97
ES417	ES416	0.97
ES417	ES418	0.97
ES417	ES424	0.97
ES418	ES300	0.97
ES418	ES412	0.97
ES418	ES413	0.97
ES418	ES414	0.97
ES418	ES415	0.97
ES418	ES416	0.97
ES418	ES417	0.97
ES418	ES419	0.97
ES419	ES113	0.97
ES419	ES413	0.97
ES419	ES415	0.97
ES419	ES418	0.97
ES419	Portugal	0.97
ES421	ES422	0.97
ES421	ES423	0.97
ES421	ES521	0.97
ES421	ES523	0.97
ES421	ES614	0.97
ES421	ES616	0.97
ES421	ES620	0.97
ES422	ES421	0.97
ES422	ES423	0.97
ES422	ES425	0.97
ES422	ES431	0.97
ES422	ES613	0.97
ES422	ES616	0.97
ES423	ES242	0.97
ES423	ES300	0.97
ES423	ES421	0.97
ES423	ES422	0.97
ES423	ES424	0.97
ES423	ES425	0.97
ES423	ES523	0.97
ES424	ES242	0.97
ES424	ES243	0.97
ES424	ES300	0.97
ES424	ES416	0.97
ES424	ES417	0.97
ES424	ES423	0.97
ES425	ES300	0.97
ES425	ES422	0.97
ES425	ES423	0.97
ES425	ES431	0.97
ES425	ES432	0.97
ES431	ES422	0.97
ES431	ES425	0.97
ES431	ES432	0.97
ES431	ES613	0.97
ES431	ES615	0.97
ES431	ES618	0.97
ES431	Portugal	0.97
ES432	ES300	0.97
ES432	ES415	0.97
ES432	ES425	0.97
ES432	ES431	0.97
ES432	ES616	0.97
ES432	Portugal	0.97
ES511	ES512	0.97
ES511	ES513	0.97
ES511	ES514	0.97
ES512	ES511	0.97
ES512	ES513	0.97
ES512	France	0.97
ES513	ES241	0.97
ES513	ES243	0.97
ES513	ES511	0.97
ES513	ES512	0.97
ES513	ES514	0.97
ES513	France	0.97
ES514	ES242	0.97
ES514	ES243	0.97
ES514	ES511	0.97
ES514	ES513	0.97
ES514	ES522	0.97
ES521	ES421	0.97
ES521	ES523	0.97
ES521	ES620	0.97
ES522	ES242	0.97
ES522	ES514	0.97
ES522	ES523	0.97
ES523	ES242	0.97
ES523	ES421	0.97
ES523	ES423	0.97
ES523	ES521	0.97
ES523	ES522	0.97
ES523	ES532	0.97
ES532	ES523	0.97
ES611	ES614	0.97
ES611	ES620	0.97
ES612	ES615	0.97
ES612	ES617	0.97
ES612	ES618	0.97
ES613	ES422	0.97
ES613	ES431	0.97
ES613	ES614	0.97
ES613	ES616	0.97
ES613	ES617	0.97
ES613	ES618	0.97
ES614	ES421	0.97
ES614	ES611	0.97
ES614	ES613	0.97
ES614	ES616	0.97
ES614	ES617	0.97
ES614	ES620	0.97
ES615	ES431	0.97
ES615	ES612	0.97
ES615	ES618	0.97
ES615	Portugal	0.97
ES616	ES421	0.97
ES616	ES422	0.97
ES616	ES432	0.97
ES616	ES613	0.97
ES616	ES614	0.97
ES617	ES612	0.97
ES617	ES613	0.97
ES617	ES614	0.97
ES617	ES618	0.97
ES618	ES431	0.97
ES618	ES612	0.97
ES618	ES613	0.97
ES618	ES615	0.97
ES618	ES617	0.97
ES620	ES421	0.97
ES620	ES521	0.97
ES620	ES611	0.97
ES620	ES614	0.97
EU	France	0.97
EU	Italy	0.97
France	ES212	0.97
France	ES220	0.97
France	ES241	0.97
France	ES512	0.97
France	ES513	0.97
France	EU	0.97
France	Italy	0.97
Italy	EU	0.97
Italy	France	0.97
Portugal	ES113	0.97
Portugal	ES114	0.97
Portugal	ES415	0.97
Portugal	ES419	0.97
Portugal	ES431	0.97
Portugal	ES432	0.97
Portugal	ES615	0.97
ES113	ES111	0.97
ES111	ES113	0.97
ES422	ES432	0.97
ES432	ES422	0.97
ES618	ES422	0.97
ES422	ES618	0.97
ES213	France	0.97
France	ES213	0.97
ES511	Italy	0.97
Italy	ES511	0.97
ES523	Italy	0.97
Italy	ES523	0.97
