Period,Scenario,Season,Year,Hour
1,1,winter,2015,318
1,1,spring,2016,892
1,1,summer,2017,523
1,1,fall,2015,1361
1,1,peak,2016,0
1,1,peak1,2016,449
1,1,peak2,2016,473
1,2,winter,2019,1583
1,2,spring,2017,232
1,2,summer,2018,1076
1,2,fall,2019,1222
1,2,peak,2019,0
1,2,peak1,2019,521
1,2,peak2,2019,520
1,3,winter,2018,468
1,3,spring,2017,761
1,3,summer,2019,244
1,3,fall,2017,310
1,3,peak,2015,0
1,3,peak1,2015,834
1,3,peak2,2015,857
1,4,winter,2015,1800
1,4,spring,2017,206
1,4,summer,2016,1712
1,4,fall,2019,1838
1,4,peak,2016,0
1,4,peak1,2016,449
1,4,peak2,2016,473
1,5,winter,2018,117
1,5,spring,2018,1105
1,5,summer,2019,912
1,5,fall,2017,746
1,5,peak,2019,0
1,5,peak1,2019,521
1,5,peak2,2019,520
1,6,winter,2019,1097
1,6,spring,2016,472
1,6,summer,2016,329
1,6,fall,2015,872
1,6,peak,2016,0
1,6,peak1,2016,449
1,6,peak2,2016,473
1,7,winter,2019,246
1,7,spring,2016,1368
1,7,summer,2018,1836
1,7,fall,2016,1198
1,7,peak,2019,0
1,7,peak1,2019,521
1,7,peak2,2019,520
1,8,winter,2016,229
1,8,spring,2019,1829
1,8,summer,2015,509
1,8,fall,2019,1183
1,8,peak,2019,0
1,8,peak1,2019,521
1,8,peak2,2019,520
1,9,winter,2019,1261
1,9,spring,2017,1584
1,9,summer,2015,459
1,9,fall,2016,1993
1,9,peak,2017,0
1,9,peak1,2017,425
1,9,peak2,2017,112
1,10,winter,2017,1661
1,10,spring,2018,948
1,10,summer,2016,1853
1,10,fall,2019,39
1,10,peak,2017,0
1,10,peak1,2017,425
1,10,peak2,2017,112
2,1,winter,2017,1860
2,1,spring,2015,1136
2,1,summer,2018,227
2,1,fall,2015,1069
2,1,peak,2017,0
2,1,peak1,2017,425
2,1,peak2,2017,112
2,2,winter,2017,1343
2,2,spring,2016,1165
2,2,summer,2019,1422
2,2,fall,2015,2035
2,2,peak,2016,0
2,2,peak1,2016,449
2,2,peak2,2016,473
2,3,winter,2018,431
2,3,spring,2018,846
2,3,summer,2016,34
2,3,fall,2019,1798
2,3,peak,2018,0
2,3,peak1,2018,1410
2,3,peak2,2018,1410
2,4,winter,2019,1386
2,4,spring,2019,206
2,4,summer,2018,1945
2,4,fall,2019,541
2,4,peak,2019,0
2,4,peak1,2019,521
2,4,peak2,2019,520
2,5,winter,2018,787
2,5,spring,2018,1378
2,5,summer,2017,1448
2,5,fall,2019,1297
2,5,peak,2016,0
2,5,peak1,2016,449
2,5,peak2,2016,473
2,6,winter,2017,766
2,6,spring,2018,49
2,6,summer,2019,1908
2,6,fall,2015,1545
2,6,peak,2018,0
2,6,peak1,2018,1410
2,6,peak2,2018,1410
2,7,winter,2017,1634
2,7,spring,2019,1647
2,7,summer,2019,258
2,7,fall,2016,41
2,7,peak,2017,0
2,7,peak1,2017,425
2,7,peak2,2017,112
2,8,winter,2018,1746
2,8,spring,2015,1477
2,8,summer,2015,925
2,8,fall,2016,1548
2,8,peak,2018,0
2,8,peak1,2018,1410
2,8,peak2,2018,1410
2,9,winter,2018,1657
2,9,spring,2016,1631
2,9,summer,2018,198
2,9,fall,2017,1295
2,9,peak,2018,0
2,9,peak1,2018,1410
2,9,peak2,2018,1410
2,10,winter,2019,1928
2,10,spring,2017,1468
2,10,summer,2019,1237
2,10,fall,2019,652
2,10,peak,2019,0
2,10,peak1,2019,521
2,10,peak2,2019,520
