ES111,ES112,ES113,ES120,ES213,ES230,ES241,ES243,ES413,ES415,ES418,ES419,ES425,ES431,ES432,ES511,ES512,ES513,ES514,ES523,ES613,ES614,ES615,ES616,ES617,ES618,FR,PT,time,hour,dayofweek,month,EU
0.5045,0.5045,0.5045,0.5045,0.5045,0.5045,0.5045,0.5045,0.5045,0.5045,0.5045,0.5045,0.5045,0.5045,0.5045,0.5045,0.5045,0.5045,0.5045,0.5045,0.5045,0.5045,0.5045,0.5045,0.5045,0.5045,0.52062046,0.361170272,01/01/2015 00:00,0,3,1,0.3212851278676496
0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.493290656,0.212158577,01/01/2015 01:00,1,3,1,0.3057098505024307
0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.466207066,0.146396144,01/01/2015 02:00,2,3,1,0.3029668039429502
0.4765,0.4765,0.4765,0.4765,0.4765,0.4765,0.4765,0.4765,0.4765,0.4765,0.4765,0.4765,0.4765,0.4765,0.4765,0.4765,0.4765,0.4765,0.4765,0.4765,0.4765,0.4765,0.4765,0.4765,0.4765,0.4765,0.449833805,0.150879946,01/01/2015 03:00,3,3,1,0.3027253679134711
0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.442447372,0.153271307,01/01/2015 04:00,4,3,1,0.3050039492515736
0.4805,0.4805,0.4805,0.4805,0.4805,0.4805,0.4805,0.4805,0.4805,0.4805,0.4805,0.4805,0.4805,0.4805,0.4805,0.4805,0.4805,0.4805,0.4805,0.4805,0.4805,0.4805,0.4805,0.4805,0.4805,0.4805,0.420534285,0.212756417,01/01/2015 05:00,5,3,1,0.329547069991823
0.4915,0.4915,0.4915,0.4915,0.4915,0.4915,0.4915,0.4915,0.4915,0.4915,0.4915,0.4915,0.4915,0.4915,0.4915,0.4915,0.4915,0.4915,0.4915,0.4915,0.4915,0.4915,0.4915,0.4915,0.4915,0.4915,0.404161024,0.236296379,01/01/2015 06:00,6,3,1,0.3600510426030714
0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.42742829,0.199491836,01/01/2015 07:00,7,3,1,0.3841303560649011
0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.4531577,0.281545417,01/01/2015 08:00,8,3,1,0.397150604772674
0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.467561246,0.283525763,01/01/2015 09:00,9,3,1,0.3925072395574875
0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.478764003,0.237678885,01/01/2015 10:00,10,3,1,0.3809732950657525
0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.493290656,0.248327915,01/01/2015 11:00,11,3,1,0.3740764866464728
