Node	Generator	Period	genInstalledCap
ES111	Bio	1	143.509
ES111	Bio	2	120.47125485670297
ES111	Bio	3	107.74000798369812
ES111	BioCCS	1	0.0
ES111	BioCCS	2	0.0
ES111	BioCCS	3	0.0
ES111	Coal	1	816.762
ES111	Coal	2	646.9291877338754
ES111	Coal	3	428.784686435837
ES111	CoalCCS	1	0.0
ES111	CoalCCS	2	0.0
ES111	CoalCCS	3	0.0
ES111	GasCCGT	1	1129.260001055218
ES111	GasCCGT	2	946.0320214282407
ES111	GasCCGT	3	865.6825659271562
ES111	GasCCS	1	0.0
ES111	GasCCS	2	0.0
ES111	GasCCS	3	0.0
ES111	GasOCGT	1	214.06000103098862
ES111	GasOCGT	2	183.20732406922815
ES111	GasOCGT	3	166.52050185693113
ES111	Hydroregulated	1	334.0940003670138
ES111	Hydroregulated	2	334.09400059256274
ES111	Hydroregulated	3	334.0940009841929
ES111	Hydrorun-of-the-river	1	0.0
ES111	Hydrorun-of-the-river	2	0.0
ES111	Hydrorun-of-the-river	3	0.0
ES111	Lignite	1	2.3958416388101604e-05
ES111	Lignite	2	2.5470431601160876e-05
ES111	Lignite	3	5.541287795959023e-05
ES111	Oil	1	249.0970001374767
ES111	Oil	2	196.36181178805296
ES111	Oil	3	137.01637592009808
ES111	Solar	1	0.0
ES111	Solar	2	0.0
ES111	Solar	3	0.0
ES111	Waste	1	110.73000826768613
ES111	Waste	2	110.73000868672038
ES111	Waste	3	110.73000869614737
ES111	Windonshore	1	1632.8870555530507
ES111	Windonshore	2	1736.5712230134857
ES111	Windonshore	3	3203.6489926928143
ES112	BioCCS	1	0.0
ES112	BioCCS	2	0.0
ES112	BioCCS	3	0.0
ES112	CoalCCS	1	0.0
ES112	CoalCCS	2	0.0
ES112	CoalCCS	3	0.0
ES112	GasCCS	1	0.0
ES112	GasCCS	2	0.0
ES112	GasCCS	3	0.0
ES112	GasOCGT	1	98.8790009774264
ES112	GasOCGT	2	84.627473775073
ES112	GasOCGT	3	76.91946428139829
ES112	Hydroregulated	1	461.2390002113989
ES112	Hydroregulated	2	461.23900039032253
ES112	Hydroregulated	3	461.23900106711767
ES112	Hydrorun-of-the-river	1	7.650999954760646
ES112	Hydrorun-of-the-river	2	7.6509999176173515
ES112	Hydrorun-of-the-river	3	7.650999996420745
ES112	Lignite	1	2.3543739888695174e-05
ES112	Lignite	2	2.7882299062779988e-05
ES112	Lignite	3	7.905319199799373e-05
ES112	Solar	1	1.4380008248158653
ES112	Solar	2	1.3853264358869644
ES112	Solar	3	1.1106055606227194
ES112	Waste	1	6.929577833196028e-05
ES112	Waste	2	6.931459055219472e-05
ES112	Waste	3	6.930753557234558e-05
ES112	Windonshore	1	1526.1180006726297
ES112	Windonshore	2	1221.6470270379448
ES112	Windonshore	3	1599.424571336951
ES113	BioCCS	1	0.0
ES113	BioCCS	2	0.0
ES113	BioCCS	3	0.0
ES113	CoalCCS	1	0.0
ES113	CoalCCS	2	0.0
ES113	CoalCCS	3	0.0
ES113	GasCCS	1	0.0
ES113	GasCCS	2	0.0
ES113	GasCCS	3	0.0
ES113	GasOCGT	1	145.07000119309012
ES113	GasOCGT	2	124.16092093776032
ES113	GasOCGT	3	112.85214008424246
ES113	Hydroregulated	1	2625.4110003779924
ES113	Hydroregulated	2	2625.411000596441
ES113	Hydroregulated	3	2625.411001167621
ES113	Hydrorun-of-the-river	1	761.1959998995321
ES113	Hydrorun-of-the-river	2	761.1959998714523
ES113	Hydrorun-of-the-river	3	761.1959999029505
ES113	Lignite	1	2.079466186613526e-05
ES113	Lignite	2	2.3971821251578933e-05
ES113	Lignite	3	0.00010829811131658364
ES113	Solar	1	0.0
ES113	Solar	2	0.0
ES113	Solar	3	0.0
ES113	Waste	1	2.655340258000644e-05
ES113	Waste	2	3.173765210529667e-05
ES113	Waste	3	3.1854801565757295e-05
ES113	Windonshore	1	526.555
ES113	Windonshore	2	421.5036773874219
ES113	Windonshore	3	270.51724738277676
ES114	BioCCS	1	0.0
ES114	BioCCS	2	0.0
ES114	BioCCS	3	0.0
ES114	CoalCCS	1	0.0
ES114	CoalCCS	2	0.0
ES114	CoalCCS	3	0.0
ES114	GasCCS	1	0.0
ES114	GasCCS	2	0.0
ES114	GasCCS	3	0.0
ES114	GasOCGT	1	28.11700006651402
ES114	GasOCGT	2	24.06446930397395
ES114	GasOCGT	3	21.87263828548204
ES114	Lignite	1	2.229069581594048e-05
ES114	Lignite	2	2.6031213480178093e-05
ES114	Lignite	3	0.00010694937728197931
ES114	Solar	1	8.630000114167236
