Node	Generator	Period	genInvCap
ES111	Bio	1	2.865943956895974e-07
ES111	Bio	2	2.4635116664234538e-08
ES111	BioCCS	1	0.0
ES111	BioCCS	2	0.0
ES111	Coal	1	0.0
ES111	Coal	2	0.0
ES111	CoalCCS	1	0.0
ES111	CoalCCS	2	0.0
ES111	GasCCGT	1	5.93887669118488e-07
ES111	GasCCGT	2	4.7289640236887515e-07
ES111	GasCCS	1	0.0
ES111	GasCCS	2	0.0
ES111	GasOCGT	1	5.003711759798958e-07
ES111	GasOCGT	2	3.119270966917829e-07
ES111	Hydroregulated	1	1.602455199645192e-07
ES111	Hydroregulated	2	7.060816271542946e-09
ES111	Hydrorun-of-the-river	1	0.0
ES111	Hydrorun-of-the-river	2	0.0
ES111	Lignite	1	8.29456224998199e-06
ES111	Lignite	2	3.607976049509912e-06
ES111	Oil	1	2.3764853139093874e-07
ES111	Oil	2	3.2735973802849074e-07
ES111	Solar	1	0.0
ES111	Solar	2	0.0
ES111	Waste	1	1.3091908480335467e-06
ES111	Waste	2	8.073971193221525e-06
ES111	Windonshore	1	2.7320379558659624e-07
ES111	Windonshore	2	1896.5341187428808
ES112	BioCCS	1	0.0
ES112	BioCCS	2	0.0
ES112	CoalCCS	1	0.0
ES112	CoalCCS	2	0.0
ES112	GasCCS	1	0.0
ES112	GasCCS	2	0.0
ES112	GasOCGT	1	2.4212920181228514e-07
ES112	GasOCGT	2	4.677355854245603e-07
ES112	Hydroregulated	1	1.3832607237418415e-07
ES112	Hydroregulated	2	1.6654965712365876e-07
ES112	Hydrorun-of-the-river	1	1.563369700363637e-06
ES112	Hydrorun-of-the-river	2	2.5559978896613234
ES112	Lignite	1	8.386576411960857e-06
ES112	Lignite	2	3.7076539246429275e-06
ES112	Solar	1	2.1380236248091933e-08
ES112	Solar	2	3.4603375262121445e-08
ES112	Waste	1	0.00011863129826374204
ES112	Waste	2	4.15954212032892e-08
ES112	Windonshore	1	2.9372654353210237e-07
ES112	Windonshore	2	4.4841507226702026e-05
ES113	BioCCS	1	0.0
ES113	BioCCS	2	0.0
ES113	CoalCCS	1	0.0
ES113	CoalCCS	2	0.0
ES113	GasCCS	1	0.0
ES113	GasCCS	2	0.0
ES113	GasOCGT	1	3.648611923852864e-07
ES113	GasOCGT	2	6.181303000732892e-07
ES113	Hydroregulated	1	6.396112439688295e-08
ES113	Hydroregulated	2	1.5175302349273664e-07
ES113	Hydrorun-of-the-river	1	3.841317948172218e-07
ES113	Hydrorun-of-the-river	2	3.4032855508482424e-07
ES113	Lignite	1	8.347320469584473e-06
ES113	Lignite	2	3.6924619572276056e-06
ES113	Solar	1	0.0
ES113	Solar	2	0.0
ES113	Waste	1	6.364843112248547e-05
ES113	Waste	2	4.125929700326929e-08
ES113	Windonshore	1	0.0
ES113	Windonshore	2	0.0
ES114	BioCCS	1	0.0
ES114	BioCCS	2	0.0
ES114	CoalCCS	1	0.0
ES114	CoalCCS	2	0.0
ES114	GasCCS	1	0.0
ES114	GasCCS	2	0.0
ES114	GasOCGT	1	1.3763435960459695e-08
ES114	GasOCGT	2	8.636681448072289e-08
ES114	Lignite	1	8.402708798139636e-06
ES114	Lignite	2	3.7099193712466724e-06
ES114	Solar	1	5.96170242062044e-08
ES114	Solar	2	1.3397131080769956e-07
ES114	Waste	1	0.00012328549170698106
ES114	Waste	2	4.149229341900722e-08
ES114	Windonshore	1	2.413650008747936e-07
ES114	Windonshore	2	9.198946069271608e-07
ES120	Bio	1	4.067044461030057e-07
ES120	Bio	2	4.2009161338397176e-07
ES120	BioCCS	1	0.0
ES120	BioCCS	2	0.0
ES120	Coal	1	0.0
ES120	Coal	2	0.0
ES120	CoalCCS	1	0.0
ES120	CoalCCS	2	0.0
ES120	GasCCGT	1	5.691079322102136e-07
ES120	GasCCGT	2	1.4557395458070186e-06
ES120	GasCCS	1	0.0
ES120	GasCCS	2	0.0
ES120	GasOCGT	1	2.2676568018304182e-07
ES120	GasOCGT	2	4.947543247187039e-07
ES120	Hydroregulated	1	1.5352497939602472e-07
ES120	Hydroregulated	2	3.966354138645903e-09
ES120	Hydrorun-of-the-river	1	0.0
ES120	Hydrorun-of-the-river	2	0.0
ES120	Lignite	1	8.405438047896684e-06
ES120	Lignite	2	3.7516444580252318e-06
ES120	Solar	1	5.854125867721584e-05
ES120	Solar	2	2.857899618170071e-05
ES120	Waste	1	18.718477507918614
ES120	Waste	2	1.0793399632891429e-05
ES120	Windonshore	1	0.0
ES120	Windonshore	2	4.6854086122039007e-07
ES130	BioCCS	1	0.0
ES130	BioCCS	2	0.0
ES130	CoalCCS	1	0.0
ES130	CoalCCS	2	0.0
ES130	GasCCGT	1	2.5926298782517028e-06
ES130	GasCCGT	2	7.703843554378326e-09
ES130	GasCCS	1	0.0
ES130	GasCCS	2	0.0
ES130	GasOCGT	1	5.5218411867948155e-09
ES130	GasOCGT	2	1.0715484348369328e-07
ES130	Lignite	1	8.401004828972742e-06
ES130	Lignite	2	3.7270874340519377e-06
ES130	Oil	1	2.190536312292892e-07
ES130	Oil	2	1.7334211509288633e-07
ES130	Solar	1	2.0604440464921936e-07
ES130	Solar	2	1.4364148384647217e-07
ES130	Waste	1	0.00019146604982221309
ES130	Waste	2	3.953621621926704e-08
ES130	Windonshore	1	3.065970872739854e-07
ES130	Windonshore	2	6.94698508159571e-07
ES211	BioCCS	1	0.0
ES211	BioCCS	2	0.0
ES211	CoalCCS	1	0.0
ES211	CoalCCS	2	0.0
ES211	GasCCGT	1	3.0409039161819616e-09
ES211	GasCCGT	2	2.666715276407206e-07
ES211	GasCCS	1	0.0
ES211	GasCCS	2	0.0
ES211	GasOCGT	1	5.6331189795416454e-08
ES211	GasOCGT	2	3.1621117348440095e-07
ES211	Lignite	1	8.364841871724056e-06
ES211	Lignite	2	3.7818632074020677e-06
ES211	Solar	1	1.0962470708975047e-08
ES211	Solar	2	2.79791820355904e-08
ES211	Waste	1	0.00010052887159861386
ES211	Waste	2	3.848783018905873e-08
