Generator,Period,MarginalCost_EurperMWh
Lignite,1,14.44092641526996
Lignite,2,13.5553349298168
LigniteCCS,1,22.999871014329692
LigniteCCS,2,21.886041306799246
Coal,1,19.590360164549605
Coal,2,19.213643392152417
CoalCCS,1,29.420719403496825
CoalCCS,2,28.901522877357294
GasOCGT,1,49.932124132045274
GasOCGT,2,50.572129617671806
GasCCGT,1,38.20380554319914
GasCCGT,2,38.48564164140152
GasCCS,1,43.2261130450977
GasCCS,2,43.51822366737394
Oil,1,125.38158853190166
Oil,2,124.18492612981186
Nuclear,1,14.27877999837576
Nuclear,2,14.27877999837576
Wave,1,0.104048964
Wave,2,0.104048964
Geo,1,0.1299999996
Geo,2,0.1299999996
Hydroregulated,1,0.320256
Hydroregulated,2,0.320256
Hydrorun-of-the-river,1,0.0036
Hydrorun-of-the-river,2,0.0036
Bio,1,50.69862144249088
Bio,2,53.08524814266809
Windonshore,1,0.18
Windonshore,2,0.18
Windoffshoregrounded,1,0.39312
Windoffshoregrounded,2,0.39312
Windoffshorefloating,1,0.39312
Windoffshorefloating,2,0.39312
Solar,1,0.0036
Solar,2,0.0036
BioCCS,1,42.56142098762584
BioCCS,2,45.26093581946782
Waste,1,2.952
Waste,2,2.952
