Period,Scenario,AnnualCO2emission_Ton,CO2Price_EuroPerTon,CO2Cap_Ton,AnnualGeneration_GWh,AvgCO2factor_TonPerMWh,AvgELPrice_EuroPerMWh,TotAnnualCurtailedRES_GWh,TotAnnualLossesChargeDischarge_GWh,AnnualLossesTransmission_GWh
2020-2025,scenario1,567165265.1900893,-18.634173256561485,567165265.1890126,3387035.967476678,0.16745179875152685,47.81640172188776,6612.7900556464465,8156.030703580224,8785.303890014548
2020-2025,scenario2,567165265.1900926,-15.326420738903106,567165265.1890126,3304104.327336301,0.1716547690391022,44.48429172868439,8316.752597974288,7463.950491092832,9013.91111552443
2020-2025,scenario3,567165265.1900643,-19.964636756763195,567165265.1890126,3299119.444918925,0.17191413486515517,47.968257662139415,4793.2479282429185,4451.182874306577,9837.035539962659
2020-2025,scenario4,567165265.1901237,-19.964636746417327,567165265.1890126,3304104.5802950873,0.17165475589741608,46.536302139964505,4038.0629508770908,5210.125837737925,9309.833287830828
2020-2025,scenario5,567165265.1900755,-27.816101687721773,567165265.1890126,3286124.8994063754,0.17259394653335908,53.92628381176039,3298.6567400725344,11806.661962740285,9750.336079533756
2020-2025,scenario6,567165265.1901,-16.563309901362548,567165265.1890126,3308947.720641699,0.17140351346503996,46.5874578899751,8231.512656292696,5005.640981439765,9066.735178200448
2020-2025,scenario7,567165265.1900901,-19.964636748995943,567165265.1890126,3413685.0344252638,0.16614457967577945,49.4272321812331,4853.823418799389,5125.4905526973125,8923.746997737324
2020-2025,scenario8,567165265.1901288,-40.15353353862863,567165265.1890126,3433826.955768439,0.16517001948436563,61.53612779080963,1209.3050700362649,16231.013078199292,10645.973136679178
2020-2025,scenario9,567165265.1894528,-16.077302707328002,567165265.1890126,3285434.960708433,0.1726301911230268,47.2800911376005,6832.288366492332,10059.834652809464,8676.457677622186
2020-2025,scenario10,567165265.1901093,-16.90376754246736,567165265.1890126,3179645.949638195,0.1783737164996685,44.38909672633001,7334.219944440729,5176.704426735421,10219.473864379364
2025-2030,scenario1,407583000.31759495,-12.879689852801695,407583000.3165586,3506038.891364248,0.11625170539937295,30.80104098559084,12113.205777251906,25078.714446445094,14248.380957870379
2025-2030,scenario2,407583000.317585,-11.344597461353299,407583000.3165586,3458102.0760210133,0.11786320685668589,156.48790483513525,15356.420820412513,25712.74001714339,14503.645693338389
2025-2030,scenario3,407583000.3175829,-13.900640362114952,407583000.3165586,3630804.7866673926,0.11225693042332457,32.43064531282933,11405.227280713125,21623.636234279158,13966.33823415702
2025-2030,scenario4,407583000.3176013,-12.879689880812071,407583000.3165586,3600246.965107348,0.11320973373988748,32.11123171034137,7697.281332919241,23417.72140001885,13690.093419147815
2025-2030,scenario5,407583000.31759393,-129.38969656409196,407583000.3165586,3699982.8699816745,0.11015807765607136,242.37396683849386,5614.491431873738,27906.426893718857,14680.730357381923
2025-2030,scenario6,407583000.31759596,-14.849024815489335,407583000.3165586,3702952.268848057,0.11006974185071026,34.330196894524974,6482.634121252938,15890.993636896661,13783.045526145224
2025-2030,scenario7,407583000.31758785,-12.879689856804806,407583000.3165586,3435440.0521423803,0.11864069642648935,30.977909517219842,15389.181839493758,23671.645216464007,13983.48328228302
2025-2030,scenario8,407583000.31760013,-13.254816536004281,407583000.3165586,3623728.138723892,0.11247615293269686,32.69927748746034,13015.255416573049,22016.924599551214,12990.994681269894
2025-2030,scenario9,407583000.3176192,-16.57462510791129,407583000.3165586,3641470.4919370175,0.11192813486202115,34.60218850469801,9148.669667132439,16685.331590545637,13943.90093254362
2025-2030,scenario10,407583000.3175979,-14.849024789093164,407583000.3165586,3427052.931411628,0.11893104906019568,33.06127794095143,9758.0465516455,19845.84549525569,14021.338862343986
""
GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,TotDiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
Lignite,2020-2025,0.0003927653968350499,52316.560392765394,473.1492217177851,5313.616809503917
Lignite,2025-2030,0.00017841279891025818,32369.451301240362,92.83149603041657,6911.211911933134
LigniteCCS,2020-2025,0.0,0.0,0.0,0.0
LigniteCCS,2025-2030,0.0,0.0,0.0,0.0
Coal,2020-2025,0.0,61704.909999999996,0.0,46761.87397365685
Coal,2025-2030,0.0,48874.34443019128,0.0,62897.185283821316
CoalCCS,2020-2025,0.0,0.0,0.0,0.0
CoalCCS,2025-2030,0.0,0.0,0.0,0.0
GasOCGT,2020-2025,2.9413187048168605e-05,42023.58702941319,15.357141447585912,3073.6018554528646
GasOCGT,2025-2030,2815.6640744093916,38782.35020228971,629724087.8369567,2924.8193500821653
GasCCGT,2020-2025,1.8062513782151857e-05,184781.34401806252,12.20710547257274,704847.7242837902
GasCCGT,2025-2030,0.0015673183973304882,154799.6648790024,445.48980781081286,413126.17729542666
GasCCS,2020-2025,0.0,0.0,0.0,0.0
GasCCS,2025-2030,0.0,0.0,0.0,0.0
Oil,2020-2025,2.5186548753279835e-06,14774.309002518652,12.618036272451942,4.2404426622993974e-05
Oil,2025-2030,3.562358706383877e-06,11646.507516040958,7.8379631222701125,53.01544226989622
Nuclear,2020-2025,1.598653808302156e-05,103746.80001598653,56.20378420613588,745101.122080922
Nuclear,2025-2030,2490.0000133950252,102510.79043465717,3823607911.882541,645098.1144865459
Wave,2020-2025,1.4682445812080736e-05,251.09001468244583,25.40009557989018,1011.7922814870261
Wave,2025-2030,2055.999986663694,2307.090001331636,1239400927.8555377,9296.470786729024
Geo,2020-2025,1088.299999508764,2042.099999508764,1925097894.007462,16099.916333195828
Geo,2025-2030,4.3599251683440587e-08,2042.0999995475877,0.033416380689398,16003.633269730652
Hydroregulated,2020-2025,3.106890972048859e-06,96552.03900310688,3.4369192286337578,226508.87368709096
Hydroregulated,2025-2030,222.4450984847155,96774.4841014949,108103603.9499239,227338.8884286655
Hydrorun-of-the-river,2020-2025,14231.561399770619,73856.32039977063,11684040479.566652,289736.31737635954
Hydrorun-of-the-river,2025-2030,541.3609949650364,74397.68139461052,192203270.64569527,294242.4519342452
Bio,2020-2025,3.883010364687674e-06,32864.970003883005,4.864983194656484,91391.18085963122
Bio,2025-2030,23171.80017608107,50760.9003529216,11967627177.871952,59025.195799729525
Windonshore,2020-2025,7.611339887445771e-05,217423.1700761134,104.30614179416752,453924.1606975184
Windonshore,2025-2030,1896.5342627765854,175942.29537759753,975705425.9202329,369161.0190230921
Windoffshoregrounded,2020-2025,53000.62318725552,98086.52318725552,66423262039.86686,328313.4037983876
Windoffshoregrounded,2025-2030,140291.4606239141,238377.9838111406,69077520703.21541,763009.4940347554
Windoffshorefloating,2020-2025,1.6486037532291217e-05,1.6486037532291217e-05,38.01739460809338,4.2595692499760614e-05
Windoffshorefloating,2025-2030,1.1329469399930376e-05,2.778649906811418e-05,10.251027778518626,6.985127914137057e-05
Solar,2020-2025,72684.45804870069,288838.6170487007,31915926741.60562,349001.1973124094
Solar,2025-2030,241205.7514953418,522126.10754958383,37806471919.94997,647986.4780440098
BioCCS,2020-2025,0.0,0.0,0.0,0.0
BioCCS,2025-2030,0.0,0.0,-0.0,0.0
Waste,2020-2025,297.8509412545078,7129.169941254508,519673054.90994465,59118.20262718563
Waste,2025-2030,5.8705983971364336e-05,7129.169999728739,43.08117276881485,55507.79205937523
""
StorageType,Period,storPWInvCap_MW,storPWInstalledCap_MW,storENInvCap_MWh,storENInstalledCap_MWh,TotDiscountedInvestmentCostPWEN_Euro,ExpectedAnnualDischargeVolume_GWh
HydroPumpStorage,2020-2025,7.594813439482095e-06,61047.00000759482,4.048451327294167e-06,2601010.795004048,6.294102558752834,37272.61419656413
