Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh
ES111,Hydrorun-of-the-river,2020-2025,0.0
ES111,Hydrorun-of-the-river,2025-2030,0.0
ES112,Hydrorun-of-the-river,2020-2025,2.402966075576834
ES112,Hydrorun-of-the-river,2025-2030,4.181181277379318
ES113,Hydrorun-of-the-river,2020-2025,1596.8370867046003
ES113,Hydrorun-of-the-river,2025-2030,1559.7686248741647
ES120,Hydrorun-of-the-river,2020-2025,0.0
ES120,Hydrorun-of-the-river,2025-2030,0.0
ES213,Hydrorun-of-the-river,2020-2025,0.0
ES213,Hydrorun-of-the-river,2025-2030,0.0
ES230,Hydrorun-of-the-river,2020-2025,1.5134018043382021e-05
ES230,Hydrorun-of-the-river,2025-2030,9.019397113275273e-05
ES241,Hydrorun-of-the-river,2020-2025,643.8177344868722
ES241,Hydrorun-of-the-river,2025-2030,609.2819647715967
ES243,Hydrorun-of-the-river,2020-2025,30.30199618318218
ES243,Hydrorun-of-the-river,2025-2030,33.745996002097876
ES413,Hydrorun-of-the-river,2020-2025,68.67932054791527
ES413,Hydrorun-of-the-river,2025-2030,78.98643131779131
ES415,Hydrorun-of-the-river,2020-2025,0.0
ES415,Hydrorun-of-the-river,2025-2030,0.0
ES418,Hydrorun-of-the-river,2020-2025,1.5628494813854248e-05
ES418,Hydrorun-of-the-river,2025-2030,9.807134300461397e-05
ES419,Hydrorun-of-the-river,2020-2025,0.0
ES419,Hydrorun-of-the-river,2025-2030,0.0
ES425,Hydrorun-of-the-river,2020-2025,0.0
ES425,Hydrorun-of-the-river,2025-2030,0.0
ES431,Hydrorun-of-the-river,2020-2025,0.0
ES431,Hydrorun-of-the-river,2025-2030,0.0
ES432,Hydrorun-of-the-river,2020-2025,0.0
ES432,Hydrorun-of-the-river,2025-2030,0.0
ES511,Hydrorun-of-the-river,2020-2025,1.5115923433164506e-05
ES511,Hydrorun-of-the-river,2025-2030,0.00010144906869090728
ES512,Hydrorun-of-the-river,2020-2025,1.4525210095511456e-05
ES512,Hydrorun-of-the-river,2025-2030,9.116045832816397e-05
ES513,Hydrorun-of-the-river,2020-2025,4.514874082647935
ES513,Hydrorun-of-the-river,2025-2030,6.538136618339824
ES514,Hydrorun-of-the-river,2020-2025,0.0
ES514,Hydrorun-of-the-river,2025-2030,0.0
ES523,Hydrorun-of-the-river,2020-2025,0.0
ES523,Hydrorun-of-the-river,2025-2030,0.0
ES613,Hydrorun-of-the-river,2020-2025,1.5584701491961346e-05
ES613,Hydrorun-of-the-river,2025-2030,0.0001679637871115252
ES614,Hydrorun-of-the-river,2020-2025,1.7250634714530492e-05
ES614,Hydrorun-of-the-river,2025-2030,0.0006385461419367707
ES615,Hydrorun-of-the-river,2020-2025,1.5819159568107953e-05
ES615,Hydrorun-of-the-river,2025-2030,0.00014242294664793613
ES616,Hydrorun-of-the-river,2020-2025,1.739438100200928e-05
ES616,Hydrorun-of-the-river,2025-2030,0.00013064594290509215
ES617,Hydrorun-of-the-river,2020-2025,1.496799425296204e-05
ES617,Hydrorun-of-the-river,2025-2030,0.00020202103969195692
ES618,Hydrorun-of-the-river,2020-2025,1.6874866572612538e-05
ES618,Hydrorun-of-the-river,2025-2030,0.00016435151259895213
EU,Hydrorun-of-the-river,2020-2025,1.600302803542817e-05
EU,Hydrorun-of-the-river,2025-2030,0.00011893154381492804
France,Hydrorun-of-the-river,2020-2025,2.855347594334189e-05
France,Hydrorun-of-the-river,2025-2030,6.566239675996533e-05
Italy,Hydrorun-of-the-river,2020-2025,3159.263758452653
Italy,Hydrorun-of-the-river,2025-2030,7268.856419574407
Portugal,Hydrorun-of-the-river,2020-2025,1.6901251128619686e-05
Portugal,Hydrorun-of-the-river,2025-2030,7.541681248791768e-05
ES111,Windonshore,2020-2025,0.005652003052864573
ES111,Windonshore,2025-2030,33.554159062651884
ES112,Windonshore,2020-2025,6.428726257814418e-05
ES112,Windonshore,2025-2030,3.9351394782175664
ES113,Windonshore,2020-2025,6.755189029014952e-05
ES113,Windonshore,2025-2030,3.295663036646176
ES114,Windonshore,2020-2025,5.4752357231912034e-05
ES114,Windonshore,2025-2030,1.4829117656445114
ES120,Windonshore,2020-2025,3.718735387919708e-05
ES120,Windonshore,2025-2030,0.06415151019888811
ES130,Windonshore,2020-2025,3.627095159621382e-05
ES130,Windonshore,2025-2030,0.045780376699769004
ES211,Windonshore,2020-2025,3.645360928546288e-05
ES211,Windonshore,2025-2030,0.0337642608700545
ES212,Windonshore,2020-2025,3.198075265578754e-05
ES212,Windonshore,2025-2030,0.00036491777916266893
ES213,Windonshore,2020-2025,3.4701987650951974e-05
ES213,Windonshore,2025-2030,0.0005800368955354054
ES220,Windonshore,2020-2025,4.128860791985225e-05
