BetweenNode,AndNode,Period,transmisionInvCap_MW,transmissionInstalledCap_MW,DiscountedInvestmentCost_Euro,transmisionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
ES111,ES112,2020-2025,1.3808128642267548e-05,7641.461766640498,0.4711194379060848,2236.1985080050126,67.08595524015057
ES111,ES112,2025-2030,1.7798529576426065e-05,7641.461784434193,0.2667806599797774,4194.801721426487,125.84405164279455
ES111,ES114,2020-2025,6.116439180914313e-06,5049.62093050274,0.1904549270043486,2042.9307110340358,61.28792133102117
ES111,ES114,2025-2030,3.843748578695319e-06,5049.620934341653,0.052580237369771146,2558.7801075743523,76.7634032272301
ES112,ES113,2020-2025,3.4567688089737203e-06,1474.668061020909,0.13078605561519963,1614.4096490935817,48.432289472807355
ES112,ES113,2025-2030,9.309726678173327e-06,1474.668070325801,0.15473980940384918,1934.610282942159,58.03830848826471
ES112,ES114,2020-2025,0.00014930371047627318,0.00014930371047627318,6.4231243539249805,0.00038242129177426987,1.1472638753228124e-05
ES112,ES114,2025-2030,3.9119447553852705e-05,0.0001884183233834617,0.7393370352510683,0.0005104732146560928,1.5314196439682906e-05
ES112,ES120,2020-2025,4.739345058624167e-07,4027.4764338850146,0.02400774363517876,1810.9310400566505,54.32793120169965
ES112,ES120,2025-2030,5.942836944862879e-07,4027.476434474464,0.01322515738754022,3033.0147361311733,90.9904420839351
ES112,ES413,2020-2025,5.8251048358215485e-06,4066.508891835315,0.3290912064320064,177.37976110823172,5.321392833246974
ES112,ES413,2025-2030,9.800086873317999e-06,4066.508901630567,0.24322962864419104,455.8170789712147,13.67451236913643
ES113,ES114,2020-2025,7.665836164960638e-06,6863.7329704282265,0.23995243338988173,1154.2996204714514,34.62898861414338
ES113,ES114,2025-2030,6.991458972559577e-06,6863.732977414851,0.09614073944078978,1334.6509541536952,40.03952862461066
ES113,ES413,2020-2025,4.016445018351078e-06,2770.588475803615,0.25019871939727084,1375.8002024188336,41.27400607256513
ES113,ES413,2025-2030,2.3024350626288962e-06,2770.588478101215,0.06300930159794077,2564.417622609289,76.93252867827898
ES113,ES419,2020-2025,1.178083948616404e-06,6618.064906376334,0.06900956217972078,174.87885102351277,5.246365530705385
ES113,ES419,2025-2030,6.148353315363052e-07,6618.064906986335,0.01582216353293977,256.9230365359181,7.707691096077534
ES113,Portugal,2020-2025,0.0,8666.90573364432,0.0,4929.688696687897,147.89066090063756
ES113,Portugal,2025-2030,0.0,8666.90573364432,0.0,8673.016914659487,260.19050743978516
ES114,Portugal,2020-2025,0.0,0.0,0.0,0.0,0.0
ES114,Portugal,2025-2030,0.0,0.0,0.0,0.0,0.0
ES120,ES130,2020-2025,1.9262488422100432e-06,5049.620926312549,0.12447620467732423,566.9990541619109,17.00997162485743
ES120,ES130,2025-2030,2.504587514566395e-06,5049.620928812302,0.07110238653350838,2188.2471355480043,65.64741406644005
ES120,ES413,2020-2025,7.4953986768377945e-06,5853.985326916689,0.23369930578057996,2045.7830383145454,61.373491149436234
ES120,ES413,2025-2030,3.365442088152019e-06,5853.985330277296,0.04609765418345623,1824.5892710122287,54.7376781303672
ES130,ES213,2020-2025,3.8009566196706146e-06,5362.429304034196,0.14877483228203883,1953.475721453416,58.60427164360234
ES130,ES213,2025-2030,5.9938463835576385e-06,5362.429310023208,0.10306618094715207,5481.99070832355,164.4597212497059
ES130,ES412,2020-2025,1.3261683307064231e-06,983.1120397022623,0.053857547685385095,369.72295322303955,11.091688596691188
ES130,ES412,2025-2030,3.973027224444143e-07,983.1120400947306,0.0070883227242266545,218.3407031765195,6.550221095295542
ES130,ES413,2020-2025,3.5166713132639416e-06,2279.0324561157913,0.2305536513268174,628.5570221381028,18.85671066414307
ES130,ES413,2025-2030,2.990872354091261e-06,2279.032459101829,0.08614143923073733,1533.4068079924155,46.002204239772205
ES130,ES414,2020-2025,3.4203167160740122e-06,1787.4764368313968,0.14211603760691896,1136.0167285579334,34.080501856738096
ES130,ES414,2025-2030,1.2964403723660903e-06,1787.4764381230023,0.023664826978692776,1169.6298956935134,35.08889687080516
ES211,ES212,2020-2025,5.586971383308992e-06,4558.064910785221,0.12241058065773097,2633.9469105053267,79.01840731516023
ES211,ES212,2025-2030,2.785680747895928e-06,4558.064913566068,0.02681315218820579,5380.260146531771,161.40780439595332
ES211,ES213,2020-2025,1.7358865989081096e-06,1474.6680593000267,0.03385130890672866,302.4416369656746,9.073249108970218
ES211,ES213,2025-2030,1.3642871700688107e-06,1474.6680606594791,0.011687831175647818,501.034570473975,15.031037114219286
ES211,ES220,2020-2025,0.00032525804353053745,0.00032525804353053745,12.053721236100843,0.0011721288338086575,3.516386501425947e-05
ES211,ES220,2025-2030,6.149996929572311e-05,0.0003867531781796392,1.0012488178574224,0.001537503341056723,4.612510023170187e-05
ES211,ES230,2020-2025,3.839204282485298e-06,491.5560230272513,0.10214498805032127,226.93814369984014,6.808144310995157
ES211,ES230,2025-2030,4.58123482659189e-08,491.556023068229,0.0005354666330402099,119.22177846960847,3.5766533540882572
ES211,ES412,2020-2025,4.579216238198569e-06,3262.144495554436,0.16689621248493583,288.10450121848936,8.643135036554671
ES211,ES412,2025-2030,3.874395412516874e-06,3262.144499423997,0.06203450054764255,99.2866497703472,2.978599493110422
ES211,ES414,2020-2025,3.0770206649322063e-07,4867.4764337187835,0.019959413627230305,1654.0484492554542,49.621453477663465
ES211,ES414,2025-2030,2.547529229350238e-07,4867.476433968702,0.007259564367957767,4394.644636446743,131.83933909340212
ES212,ES213,2020-2025,1.3907756510889158e-05,5049.620938294057,0.3149410884658173,3277.382727387904,98.32148182163724
ES212,ES213,2025-2030,1.7896033439875753e-05,5049.620956185257,0.1780340400967538,758.849262990195,22.76547788970584
ES212,ES220,2020-2025,2.0024102695970214e-06,983.1120403785043,0.05777268118885515,1667.2492314164244,50.01747694249271
