Node	Storage	Period	storENInstalledCap
ES111	HydroPumpStorage	1	0.0
ES111	HydroPumpStorage	2	0.0
ES111	Li-Ion_BESS	1	0.00012963951627127977
ES111	Li-Ion_BESS	2	0.001745378640807556
ES112	HydroPumpStorage	1	0.0
ES112	HydroPumpStorage	2	0.0
ES112	Li-Ion_BESS	1	0.00013023430534943965
ES112	Li-Ion_BESS	2	0.00246729921152742
ES113	HydroPumpStorage	1	61011.39900015091
ES113	HydroPumpStorage	2	61011.39900019618
ES113	Li-Ion_BESS	1	0.00013031863741128224
ES113	Li-Ion_BESS	2	0.002173111393601333
ES114	HydroPumpStorage	1	0.0
ES114	HydroPumpStorage	2	0.0
ES114	Li-Ion_BESS	1	0.00013025341865398354
ES114	Li-Ion_BESS	2	0.0024828940236560596
ES120	HydroPumpStorage	1	34997.33600039874
ES120	HydroPumpStorage	2	34997.336000461684
ES120	Li-Ion_BESS	1	0.00012964725454759919
ES120	Li-Ion_BESS	2	0.0027487992157317334
ES130	HydroPumpStorage	1	102184.73500038349
ES130	HydroPumpStorage	2	102184.73500042451
ES130	Li-Ion_BESS	1	0.00012993391400801672
ES130	Li-Ion_BESS	2	0.0030346951618470727
ES211	HydroPumpStorage	1	0.0
ES211	HydroPumpStorage	2	0.0
ES211	Li-Ion_BESS	1	0.0001295582170064231
ES211	Li-Ion_BESS	2	0.004108911418578368
ES212	HydroPumpStorage	1	0.0
ES212	HydroPumpStorage	2	0.0
ES212	Li-Ion_BESS	1	0.0001292139388171263
ES212	Li-Ion_BESS	2	0.0036221994491921314
ES213	HydroPumpStorage	1	0.0
ES213	HydroPumpStorage	2	0.0
ES213	Li-Ion_BESS	1	0.00012903172493827498
ES213	Li-Ion_BESS	2	0.0027891969437413523
ES220	HydroPumpStorage	1	0.0
ES220	HydroPumpStorage	2	0.0
ES220	Li-Ion_BESS	1	0.00012985421927404819
ES220	Li-Ion_BESS	2	0.0037251639782073702
ES230	HydroPumpStorage	1	0.0
ES230	HydroPumpStorage	2	0.0
ES230	Li-Ion_BESS	1	0.0001299780395396658
ES230	Li-Ion_BESS	2	0.005858538162724048
ES241	HydroPumpStorage	1	0.0
ES241	HydroPumpStorage	2	0.0
ES241	Li-Ion_BESS	1	0.0001298693158688923
ES241	Li-Ion_BESS	2	0.0037171681050068976
ES242	HydroPumpStorage	1	0.0
ES242	HydroPumpStorage	2	0.0
ES242	Li-Ion_BESS	1	0.00013082034952790746
ES242	Li-Ion_BESS	2	0.004378588514873224
ES243	HydroPumpStorage	1	0.0
ES243	HydroPumpStorage	2	0.0
ES243	Li-Ion_BESS	1	0.0001301041063581014
ES243	Li-Ion_BESS	2	0.0036258617003912612
ES300	HydroPumpStorage	1	0.0
ES300	HydroPumpStorage	2	0.0
ES300	Li-Ion_BESS	1	0.00013153087799241755
ES300	Li-Ion_BESS	2	0.010735259156491503
ES412	HydroPumpStorage	1	0.0
ES412	HydroPumpStorage	2	0.0
ES412	Li-Ion_BESS	1	0.00012997565463098213
ES412	Li-Ion_BESS	2	0.004173312962315134
ES413	HydroPumpStorage	1	0.0
ES413	HydroPumpStorage	2	0.0
ES413	Li-Ion_BESS	1	0.00013004296863504975
ES413	Li-Ion_BESS	2	0.002850485564045231
ES414	HydroPumpStorage	1	0.0
ES414	HydroPumpStorage	2	0.0
ES414	Li-Ion_BESS	1	0.00013001092524991072
ES414	Li-Ion_BESS	2	0.0034362683512029505
ES415	HydroPumpStorage	1	352967.78600016685
ES415	HydroPumpStorage	2	352967.78600020666
ES415	Li-Ion_BESS	1	0.00012997336928122013
ES415	Li-Ion_BESS	2	0.0021802172779170313
ES416	HydroPumpStorage	1	0.0
ES416	HydroPumpStorage	2	0.0
ES416	Li-Ion_BESS	1	0.00013351114810892216
ES416	Li-Ion_BESS	2	143.2152535685053
ES417	HydroPumpStorage	1	0.0
ES417	HydroPumpStorage	2	0.0
ES417	Li-Ion_BESS	1	0.00013047717371632688
ES417	Li-Ion_BESS	2	0.00363273095909263
ES418	HydroPumpStorage	1	0.0
ES418	HydroPumpStorage	2	0.0
ES418	Li-Ion_BESS	1	0.00013079937906407645
ES418	Li-Ion_BESS	2	0.0051293213951289504
ES419	HydroPumpStorage	1	0.0
ES419	HydroPumpStorage	2	0.0
ES419	Li-Ion_BESS	1	0.0001300524780689033
ES419	Li-Ion_BESS	2	0.002479564987465044
ES421	HydroPumpStorage	1	0.0
ES421	HydroPumpStorage	2	0.0
ES421	Li-Ion_BESS	1	0.0001317976860529958
