Node	Storage	Period	storENInvCap
ES111	HydroPumpStorage	1	0.0
ES111	HydroPumpStorage	2	0.0
ES111	Li-Ion_BESS	1	0.00012963951627127977
ES111	Li-Ion_BESS	2	0.0016157439591808062
ES112	HydroPumpStorage	1	0.0
ES112	HydroPumpStorage	2	0.0
ES112	Li-Ion_BESS	1	0.00013023430534943965
ES112	Li-Ion_BESS	2	0.0023370697408250695
ES113	HydroPumpStorage	1	1.5091063687577844e-07
ES113	HydroPumpStorage	2	5.010502413011384e-08
ES113	Li-Ion_BESS	1	0.00013031863741128224
ES113	Li-Ion_BESS	2	0.002042797590836435
ES114	HydroPumpStorage	1	0.0
ES114	HydroPumpStorage	2	0.0
ES114	Li-Ion_BESS	1	0.00013025341865398354
ES114	Li-Ion_BESS	2	0.0023526454396496253
ES120	HydroPumpStorage	1	3.987370291724801e-07
ES120	HydroPumpStorage	2	6.777450530911235e-08
ES120	Li-Ion_BESS	1	0.00012964725454759919
ES120	Li-Ion_BESS	2	0.0026191567958320236
ES130	HydroPumpStorage	1	3.8348662201315165e-07
ES130	HydroPumpStorage	2	4.5858934752878055e-08
ES130	Li-Ion_BESS	1	0.00012993391400801672
ES130	Li-Ion_BESS	2	0.0029047660824848766
ES211	HydroPumpStorage	1	0.0
ES211	HydroPumpStorage	2	0.0
ES211	Li-Ion_BESS	1	0.0001295582170064231
ES211	Li-Ion_BESS	2	0.003979358036219273
ES212	HydroPumpStorage	1	0.0
ES212	HydroPumpStorage	2	0.0
ES212	Li-Ion_BESS	1	0.0001292139388171263
ES212	Li-Ion_BESS	2	0.0034929903450218076
ES213	HydroPumpStorage	1	0.0
ES213	HydroPumpStorage	2	0.0
ES213	Li-Ion_BESS	1	0.00012903172493827498
ES213	Li-Ion_BESS	2	0.0026601700534502233
ES220	HydroPumpStorage	1	0.0
ES220	HydroPumpStorage	2	0.0
ES220	Li-Ion_BESS	1	0.00012985421927404819
ES220	Li-Ion_BESS	2	0.0035953145935808174
ES230	HydroPumpStorage	1	0.0
ES230	HydroPumpStorage	2	0.0
ES230	Li-Ion_BESS	1	0.0001299780395396658
ES230	Li-Ion_BESS	2	0.005728564957830642
ES241	HydroPumpStorage	1	0.0
ES241	HydroPumpStorage	2	0.0
ES241	Li-Ion_BESS	1	0.0001298693158688923
ES241	Li-Ion_BESS	2	0.0035873036237850237
ES242	HydroPumpStorage	1	0.0
ES242	HydroPumpStorage	2	0.0
ES242	Li-Ion_BESS	1	0.00013082034952790746
ES242	Li-Ion_BESS	2	0.004247772999992985
ES243	HydroPumpStorage	1	0.0
ES243	HydroPumpStorage	2	0.0
ES243	Li-Ion_BESS	1	0.0001301041063581014
ES243	Li-Ion_BESS	2	0.0034957624286801182
ES300	HydroPumpStorage	1	0.0
ES300	HydroPumpStorage	2	0.0
ES300	Li-Ion_BESS	1	0.00013153087799241755
ES300	Li-Ion_BESS	2	0.010603733113145946
ES412	HydroPumpStorage	1	0.0
ES412	HydroPumpStorage	2	0.0
ES412	Li-Ion_BESS	1	0.00012997565463098213
ES412	Li-Ion_BESS	2	0.004043342142332051
ES413	HydroPumpStorage	1	0.0
ES413	HydroPumpStorage	2	0.0
ES413	Li-Ion_BESS	1	0.00013004296863504975
ES413	Li-Ion_BESS	2	0.002720447430057278
ES414	HydroPumpStorage	1	0.0
ES414	HydroPumpStorage	2	0.0
ES414	Li-Ion_BESS	1	0.00013001092524991072
ES414	Li-Ion_BESS	2	0.0033062622606011964
ES415	HydroPumpStorage	1	1.667954533723909e-07
ES415	HydroPumpStorage	2	4.465964542029387e-08
ES415	Li-Ion_BESS	1	0.00012997336928122013
ES415	Li-Ion_BESS	2	0.0020502487432812267
ES416	HydroPumpStorage	1	0.0
ES416	HydroPumpStorage	2	0.0
ES416	Li-Ion_BESS	1	0.00013351114810892216
ES416	Li-Ion_BESS	2	143.2151200621918
ES417	HydroPumpStorage	1	0.0
ES417	HydroPumpStorage	2	0.0
ES417	Li-Ion_BESS	1	0.00013047717371632688
ES417	Li-Ion_BESS	2	0.003502258620022308
ES418	HydroPumpStorage	1	0.0
ES418	HydroPumpStorage	2	0.0
ES418	Li-Ion_BESS	1	0.00013079937906407645
ES418	Li-Ion_BESS	2	0.004998526850712475
ES419	HydroPumpStorage	1	0.0
ES419	HydroPumpStorage	2	0.0
ES419	Li-Ion_BESS	1	0.0001300524780689033
ES419	Li-Ion_BESS	2	0.002349517344042544
ES421	HydroPumpStorage	1	0.0
ES421	HydroPumpStorage	2	0.0
