Node	Storage	Period	storPWInstalledCap
ES111	HydroPumpStorage	1	0.0
ES111	HydroPumpStorage	2	0.0
ES111	Li-Ion_BESS	1	6.481975813563988e-05
ES111	Li-Ion_BESS	2	0.000872689320403778
ES112	HydroPumpStorage	1	0.0
ES112	HydroPumpStorage	2	0.0
ES112	Li-Ion_BESS	1	6.511715267471982e-05
ES112	Li-Ion_BESS	2	0.00123364960576371
ES113	HydroPumpStorage	1	326.0000006563285
ES113	HydroPumpStorage	2	326.00000145454356
ES113	Li-Ion_BESS	1	6.515931870564112e-05
ES113	Li-Ion_BESS	2	0.0010865556968006665
ES114	HydroPumpStorage	1	0.0
ES114	HydroPumpStorage	2	0.0
ES114	Li-Ion_BESS	1	6.512670932699177e-05
ES114	Li-Ion_BESS	2	0.0012414470118280298
ES120	HydroPumpStorage	1	187.00000070961482
ES120	HydroPumpStorage	2	187.0000009803593
ES120	Li-Ion_BESS	1	6.482362727379959e-05
ES120	Li-Ion_BESS	2	0.0013743996078658667
ES130	HydroPumpStorage	1	546.0000000244319
ES130	HydroPumpStorage	2	546.0000021639223
ES130	Li-Ion_BESS	1	6.496695700400836e-05
ES130	Li-Ion_BESS	2	0.0015173475809235363
ES211	HydroPumpStorage	1	0.0
ES211	HydroPumpStorage	2	0.0
ES211	Li-Ion_BESS	1	6.477910850321155e-05
ES211	Li-Ion_BESS	2	0.002054455709289184
ES212	HydroPumpStorage	1	0.0
ES212	HydroPumpStorage	2	0.0
ES212	Li-Ion_BESS	1	6.460696940856315e-05
ES212	Li-Ion_BESS	2	0.0018110997245960657
ES213	HydroPumpStorage	1	0.0
ES213	HydroPumpStorage	2	0.0
ES213	Li-Ion_BESS	1	6.451586246913749e-05
ES213	Li-Ion_BESS	2	0.0013945984718706761
ES220	HydroPumpStorage	1	0.0
ES220	HydroPumpStorage	2	0.0
ES220	Li-Ion_BESS	1	6.492710963702409e-05
ES220	Li-Ion_BESS	2	0.0018625819891036851
ES230	HydroPumpStorage	1	0.0
ES230	HydroPumpStorage	2	0.0
ES230	Li-Ion_BESS	1	6.49890197698329e-05
ES230	Li-Ion_BESS	2	0.002929269081362024
ES241	HydroPumpStorage	1	0.0
ES241	HydroPumpStorage	2	0.0
ES241	Li-Ion_BESS	1	6.493465793444615e-05
ES241	Li-Ion_BESS	2	0.0018585840525034488
ES242	HydroPumpStorage	1	0.0
ES242	HydroPumpStorage	2	0.0
ES242	Li-Ion_BESS	1	6.541017476395373e-05
ES242	Li-Ion_BESS	2	0.002189294257436612
ES243	HydroPumpStorage	1	0.0
ES243	HydroPumpStorage	2	0.0
ES243	Li-Ion_BESS	1	6.50520531790507e-05
ES243	Li-Ion_BESS	2	0.0018129308501956306
ES300	HydroPumpStorage	1	0.0
ES300	HydroPumpStorage	2	0.0
ES300	Li-Ion_BESS	1	6.576543899620877e-05
ES300	Li-Ion_BESS	2	0.005367629578245751
ES412	HydroPumpStorage	1	0.0
ES412	HydroPumpStorage	2	0.0
ES412	Li-Ion_BESS	1	6.498782731549106e-05
ES412	Li-Ion_BESS	2	0.002086656481157567
ES413	HydroPumpStorage	1	0.0
ES413	HydroPumpStorage	2	0.0
ES413	Li-Ion_BESS	1	6.502148431752487e-05
ES413	Li-Ion_BESS	2	0.0014252427820226155
ES414	HydroPumpStorage	1	0.0
ES414	HydroPumpStorage	2	0.0
ES414	Li-Ion_BESS	1	6.500546262495536e-05
ES414	Li-Ion_BESS	2	0.0017181341756014753
ES415	HydroPumpStorage	1	1886.0000002007216
ES415	HydroPumpStorage	2	1886.0000026651333
ES415	Li-Ion_BESS	1	6.498668464061006e-05
ES415	Li-Ion_BESS	2	0.0010901086389585157
ES416	HydroPumpStorage	1	0.0
ES416	HydroPumpStorage	2	0.0
ES416	Li-Ion_BESS	1	6.675557405446108e-05
ES416	Li-Ion_BESS	2	71.60762678425264
ES417	HydroPumpStorage	1	0.0
ES417	HydroPumpStorage	2	0.0
ES417	Li-Ion_BESS	1	6.523858685816344e-05
ES417	Li-Ion_BESS	2	0.001816365479546315
ES418	HydroPumpStorage	1	0.0
ES418	HydroPumpStorage	2	0.0
ES418	Li-Ion_BESS	1	6.539968953203823e-05
ES418	Li-Ion_BESS	2	0.0025646606975644752
ES419	HydroPumpStorage	1	0.0
ES419	HydroPumpStorage	2	0.0
ES419	Li-Ion_BESS	1	6.502623903445165e-05
ES419	Li-Ion_BESS	2	0.001239782493732522
ES421	HydroPumpStorage	1	0.0
ES421	HydroPumpStorage	2	0.0
