Node	Storage	Period	storPWInvCap
ES111	HydroPumpStorage	1	0.0
ES111	HydroPumpStorage	2	0.0
ES111	Li-Ion_BESS	1	7.579927938479224e-05
ES111	Li-Ion_BESS	2	0.0005275994265941678
ES112	HydroPumpStorage	1	0.0
ES112	HydroPumpStorage	2	0.0
ES112	Li-Ion_BESS	1	7.618064011007003e-05
ES112	Li-Ion_BESS	2	0.0006539447059402564
ES113	HydroPumpStorage	1	3.206469045835547e-08
ES113	HydroPumpStorage	2	9.214371681654396e-07
ES113	Li-Ion_BESS	1	7.62867382505833e-05
ES113	Li-Ion_BESS	2	0.0006164738698512559
ES114	HydroPumpStorage	1	0.0
ES114	HydroPumpStorage	2	0.0
ES114	Li-Ion_BESS	1	7.61793613215041e-05
ES114	Li-Ion_BESS	2	0.0006526013385162748
ES120	HydroPumpStorage	1	7.731519531262165e-07
ES120	HydroPumpStorage	2	7.034716058218042e-07
ES120	Li-Ion_BESS	1	7.600206373297446e-05
ES120	Li-Ion_BESS	2	0.0006741791848999874
ES130	HydroPumpStorage	1	3.744206651390414e-07
ES130	HydroPumpStorage	2	4.194478859180999e-07
ES130	Li-Ion_BESS	1	7.600299228625491e-05
ES130	Li-Ion_BESS	2	0.0006977162516104743
ES211	HydroPumpStorage	1	0.0
ES211	HydroPumpStorage	2	0.0
ES211	Li-Ion_BESS	1	7.573929163672792e-05
ES211	Li-Ion_BESS	2	0.0007518529783999606
ES212	HydroPumpStorage	1	0.0
ES212	HydroPumpStorage	2	0.0
ES212	Li-Ion_BESS	1	7.550451218516302e-05
ES212	Li-Ion_BESS	2	0.000706424743008127
ES213	HydroPumpStorage	1	0.0
ES213	HydroPumpStorage	2	0.0
ES213	Li-Ion_BESS	1	7.532325896864882e-05
ES213	Li-Ion_BESS	2	0.0006608036835495722
ES220	HydroPumpStorage	1	0.0
ES220	HydroPumpStorage	2	0.0
ES220	Li-Ion_BESS	1	7.627833892345085e-05
ES220	Li-Ion_BESS	2	0.0006995962501298587
ES230	HydroPumpStorage	1	0.0
ES230	HydroPumpStorage	2	0.0
ES230	Li-Ion_BESS	1	7.61991214346417e-05
ES230	Li-Ion_BESS	2	0.0008799982014180768
ES241	HydroPumpStorage	1	0.0
ES241	HydroPumpStorage	2	0.0
ES241	Li-Ion_BESS	1	7.607386466263461e-05
ES241	Li-Ion_BESS	2	0.0007438004665385351
ES242	HydroPumpStorage	1	0.0
ES242	HydroPumpStorage	2	0.0
ES242	Li-Ion_BESS	1	7.671332390127811e-05
ES242	Li-Ion_BESS	2	0.0007469723362911371
ES243	HydroPumpStorage	1	0.0
ES243	HydroPumpStorage	2	0.0
ES243	Li-Ion_BESS	1	7.626668902246578e-05
ES243	Li-Ion_BESS	2	0.0007467130107865578
ES300	HydroPumpStorage	1	0.0
ES300	HydroPumpStorage	2	0.0
ES300	Li-Ion_BESS	1	7.797805697744813e-05
ES300	Li-Ion_BESS	2	0.0013687296578027632
ES412	HydroPumpStorage	1	0.0
ES412	HydroPumpStorage	2	0.0
ES412	Li-Ion_BESS	1	7.583414748400238e-05
ES412	Li-Ion_BESS	2	0.0007910336268076089
ES413	HydroPumpStorage	1	0.0
ES413	HydroPumpStorage	2	0.0
ES413	Li-Ion_BESS	1	7.634604284922908e-05
ES413	Li-Ion_BESS	2	0.0007198489790283389
ES414	HydroPumpStorage	1	0.0
ES414	HydroPumpStorage	2	0.0
ES414	Li-Ion_BESS	1	7.621898401691712e-05
ES414	Li-Ion_BESS	2	0.0007847998330426094
ES415	HydroPumpStorage	1	7.725022896920564e-07
ES415	HydroPumpStorage	2	1.3403396155778242e-06
ES415	Li-Ion_BESS	1	7.614450904549543e-05
ES415	Li-Ion_BESS	2	0.0006356657146601509
ES416	HydroPumpStorage	1	0.0
ES416	HydroPumpStorage	2	0.0
ES416	Li-Ion_BESS	1	7.865268353411643e-05
ES416	Li-Ion_BESS	2	0.0026609680838148367
ES417	HydroPumpStorage	1	0.0
ES417	HydroPumpStorage	2	0.0
ES417	Li-Ion_BESS	1	7.627662374267807e-05
ES417	Li-Ion_BESS	2	0.0007984490814906299
ES418	HydroPumpStorage	1	0.0
ES418	HydroPumpStorage	2	0.0
ES418	Li-Ion_BESS	1	7.688085595528249e-05
ES418	Li-Ion_BESS	2	0.001047775323055226
ES419	HydroPumpStorage	1	0.0
ES419	HydroPumpStorage	2	0.0
ES419	Li-Ion_BESS	1	7.633261007576736e-05
ES419	Li-Ion_BESS	2	0.0007030977818401964
