FromNode	ToNode	Period	transmisionInvCap
ES111	ES112	1	1.3808128642267548e-05
ES111	ES112	2	1.7798529576426065e-05
ES111	ES114	1	6.116439180914313e-06
ES111	ES114	2	3.843748578695319e-06
ES112	ES113	1	3.4567688089737203e-06
ES112	ES113	2	9.309726678173327e-06
ES112	ES114	1	0.00014930371047627318
ES112	ES114	2	3.9119447553852705e-05
ES112	ES120	1	4.739345058624167e-07
ES112	ES120	2	5.942836944862879e-07
ES112	ES413	1	5.8251048358215485e-06
ES112	ES413	2	9.800086873317999e-06
ES113	ES114	1	7.665836164960638e-06
ES113	ES114	2	6.991458972559577e-06
ES113	ES413	1	4.016445018351078e-06
ES113	ES413	2	2.3024350626288962e-06
ES113	ES419	1	1.178083948616404e-06
ES113	ES419	2	6.148353315363052e-07
ES113	Portugal	1	0.0
ES113	Portugal	2	0.0
ES114	Portugal	1	0.0
ES114	Portugal	2	0.0
ES120	ES130	1	1.9262488422100432e-06
ES120	ES130	2	2.504587514566395e-06
ES120	ES413	1	7.4953986768377945e-06
ES120	ES413	2	3.365442088152019e-06
ES130	ES213	1	3.8009566196706146e-06
ES130	ES213	2	5.9938463835576385e-06
ES130	ES412	1	1.3261683307064231e-06
ES130	ES412	2	3.973027224444143e-07
ES130	ES413	1	3.5166713132639416e-06
ES130	ES413	2	2.990872354091261e-06
ES130	ES414	1	3.4203167160740122e-06
ES130	ES414	2	1.2964403723660903e-06
ES211	ES212	1	5.586971383308992e-06
ES211	ES212	2	2.785680747895928e-06
ES211	ES213	1	1.7358865989081096e-06
ES211	ES213	2	1.3642871700688107e-06
ES211	ES220	1	0.00032525804353053745
ES211	ES220	2	6.149996929572311e-05
ES211	ES230	1	3.839204282485298e-06
ES211	ES230	2	4.58123482659189e-08
ES211	ES412	1	4.579216238198569e-06
ES211	ES412	2	3.874395412516874e-06
ES211	ES414	1	3.0770206649322063e-07
ES211	ES414	2	2.547529229350238e-07
ES212	ES213	1	1.3907756510889158e-05
ES212	ES213	2	1.7896033439875753e-05
ES212	ES220	1	2.0024102695970214e-06
ES212	ES220	2	2.5373560774206665e-06
ES212	France	1	0.0
ES212	France	2	0.0
ES213	ES412	1	1.9011397398571717e-06
ES213	ES412	2	2.8583281127456983e-06
ES220	ES230	1	3.178383849444799e-06
ES220	ES230	2	7.239644784591967e-06
ES220	ES241	1	2.4496721948708e-06
ES220	ES241	2	2.742625683117987e-06
ES220	ES243	1	5.707343007088639e-07
ES220	ES243	2	3.48685752243925e-07
ES220	France	1	0.0
ES220	France	2	1999.9999998029878
ES230	ES243	1	0.0002706488644089001
ES230	ES243	2	1.6517609555264667e-07
ES230	ES412	1	3.892319909937214e-06
ES230	ES412	2	8.228015897366212e-06
ES230	ES417	1	0.0034888080320686467
ES230	ES417	2	6.423496952363607e-07
ES241	ES243	1	3.294610905868467e-06
ES241	ES243	2	6.921688597258396e-06
ES241	ES513	1	2.100009169225814e-06
ES241	ES513	2	2.2142951796416593e-06
ES241	France	1	0.0
ES241	France	2	0.0
ES242	ES243	1	1.7072334230761044e-05
ES242	ES243	2	2.600527774184115e-08
ES242	ES423	1	0.00017015747668202983
ES242	ES423	2	1.7098884765458656e-05
ES242	ES424	1	0.0001578087933327646
ES242	ES424	2	1.3384437946256235e-05
ES242	ES514	1	0.0001820997642720876
ES242	ES514	2	2.5053912952128042e-05
ES242	ES522	1	8.08986442280002e-06
ES242	ES522	2	6.3309007963905006e-06
ES242	ES523	1	1.9023448203370208e-06
ES242	ES523	2	5.016123743653317e-06
ES243	ES417	1	3.751437361643184e-06
ES243	ES417	2	5.179341511217474e-06
ES243	ES424	1	3.3669371077849064e-06
ES243	ES424	2	4.087346945266107e-06
ES243	ES513	1	5.018252068111906e-06
ES243	ES513	2	3.0987844304821645e-06
ES243	ES514	1	1.4810975699219853e-06
ES243	ES514	2	3.7212545727867613e-06
ES300	ES414	1	2.6286384127161e-06
ES300	ES414	2	1.944637734394419e-06
ES300	ES416	1	6.37521043245215e-06
ES300	ES416	2	5.40344057699766e-06
ES300	ES418	1	3.3161782084789593e-06
ES300	ES418	2	4.364650870646171e-06
