Timestep,a_0,a_1,b
0,-8.2245384554890961226,0,3554127578.3302321434
0,-13.876813940197965991,-160.53839183860335993,3776911016.3692760468
0,-4.3917296497348479178,-117.1269636081647576,3720485061.177549839
0,-11.455418188923319534,-117.63777172011303662,3989980696.3116335869
0,-31.383823281711013209,-22.868766465006839184,4008295328.833533287
0,-30.745272775512727748,-25.550620975889835051,4014708487.3677444458
0,-0.40414451561366426802,-60.401136729244370827,4336321193.0982036591
0,-10.912629372803278827,-31.885708106942821871,4546697086.4168739319
0,-3.9002443233128363254,-43.578065883022865989,4595793641.9447927475
0,-17.239809879914176349,-31.429448630959321065,4773664981.9877996445
0,-7.6728516344657231585,-31.41114064961609742,4703553843.077466011
0,-14.783032870569062567,-31.662204246733292479,4824436359.1624450684
0,-3.8793887415490653225,-32.159008372441725498,4845939306.9072885513
0,-15.429815985243344301,-21.810926103515274832,5030387207.1697635651
0,-13.893042273544457643,-22.694345996575975732,5020943223.4752006531
0,-9.9481257966035450124,-21.81120037189587535,4991637783.8664064407
0,-10.925218085376773303,-21.817159117438556848,5006880876.1101427078
0,-11.598416333023276792,-25.238592311550277714,5029012120.1877994537
0,-11.859695407186130467,-27.143735387559345895,5039912966.8617353439
0,-12.248658609301486422,-27.840727105980693779,5046749013.7804613113
0,-8.3712096187853735074,-41.419012193779970232,5148631358.1308832169
0,-10.535041494237034954,-42.423423939108722891,5177666036.8526620865
0,-10.15283531745744483,-42.349912822859174355,5174705186.032834053
0,-9.5815326116174190929,-41.744191663475518794,5168794222.1103811264
0,-12.240517041798341324,-42.522976758619051907,5200870491.7980566025
0,-11.871876759091492204,-42.31378106750774748,5197503981.4910755157
0,-12.66006419667557914,-36.146583691065195865,5179582701.4098424911
0,-12.66404581725738332,-35.572138059941899257,5176895737.8992290497
0,-12.846013115388965176,-37.011474170187078414,5185008326.3975458145
0,-13.018245513404053781,-38.164923261073369076,5192266925.3532972336
0,-11.879178428076444973,-37.349247939975882105,5182094030.3113584518
0,-12.342247626186836129,-39.828319104651875193,5197501683.4377861023
0,-13.904272837402917418,-44.560739935000363232,5236172513.2378892899
0,-13.626664459945390107,-44.183278836319757943,5233096673.2982559204
0,-12.78608913824150406,-44.198866153749101215,5228922517.8387565613
0,-11.666895970327177068,-45.023296004439082196,5226595240.9948034286
0,-11.274901728184046235,-44.603463338116611681,5221962486.212937355
0,-11.112451189154603171,-43.565124735959798841,5216200994.4605350494
0,-13.116423020136027233,-39.588027657950753735,5218854150.0926742554
0,-12.700365499823563553,-38.375952882059927163,5210556633.5012016296
0,-13.487355210565604935,-37.994275311729147404,5215970317.5070161819
0,-14.237067359958455626,-38.488519599546343386,5223542385.419459343
0,-13.49000400726319171,-38.641882677379143729,5218963103.9251775742
0,-13.613816556577418737,-38.638062579086202675,5220954149.0183572769
0,-12.858878249134457761,-38.606573537918976058,5216303358.3973865509
0,-13.979119559736068013,-41.447865448437333669,5239569655.9861745834
0,-13.070001176276434762,-44.246752084494623602,5246885739.0039253235
0,-13.064808579254382437,-43.412751731781092701,5244805975.3919630051
0,-12.682808763535737384,-44.121583169295277571,5248995954.7916975021
0,-11.939178184485179202,-44.213845109836512393,5245853471.9312324524
0,-11.319137975998362577,-44.033518836402215868,5240822129.7421274185
0,-11.175417419145000864,-43.601752202193750918,5238161049.1013097763
0,-12.319993308730271764,-41.373953737279592247,5240484451.2442684174
0,-11.815960559152808074,-40.506857270263353143,5233470769.5719566345
0,-12.714028136591807083,-40.125500302336725156,5240264838.7384338379
0,-13.831509987620597357,-43.157837486473127342,5264710843.184431076
0,-13.359191334279355345,-43.010399543051072158,5262331322.8437347412
0,-12.850307276062110873,-44.658512057197960132,5267685346.7194576263
0,-12.075893763479996323,-44.548587214902688913,5262122067.0642604828
0,-12.551970511662318586,-44.515633922733087502,5266600282.6777591705
0,-12.604807580407872081,-44.468453122802962696,5267557838.5657453537
0,-12.255832682593199578,-44.445025991207685934,5265328399.5568180084
0,-12.489824705263893989,-44.416121131294588054,5267464358.4398336411
0,-12.562715110119597739,-44.420842199449396048,5268098788.0703926086
0,-12.544946719195312568,-44.420864139429525608,5267982876.8087863922
0,-12.433104989098353599,-44.404861799058011229,5267317945.3378067017
0,-12.20329983697296683,-44.363566601821744939,5265731801.3344707489
0,-12.28487981573874599,-44.305456832547093882,5266372569.520734787
0,-12.389949439195540037,-44.255803446393791489,5267147151.5208930969
0,-12.369248092396336602,-44.18939043470749084,5266742079.2566051483
0,-12.430810372900019445,-44.119424254483298853,5266977384.0923652649
0,-12.367266415295773641,-43.727833283718766211,5264983006.8567667007
0,-12.975656019671916397,-43.855915236098063303,5269787256.6412630081
0,-12.412148134298970348,-43.723281452283217163,5265443299.9266252518
0,-12.443812492633737676,-43.687676385018718861,5265645414.4709892273
0,-12.406918164621759004,-43.488208885554158201,5264626092.2489471436
0,-13.051999109336644977,-42.489208427194128603,5266288274.6426343918
0,-13.107087020583096049,-42.535825371674981454,5266965567.5385284424
0,-13.298062839903854737,-42.369231693514755932,5267864285.5797405243
0,-13.309053530219307149,-42.092656431098546932,5267269811.9557991028
0,-12.780207745017367671,-42.15112738388778979,5264419513.5465984344
0,-12.094296639219246359,-41.991850306700726492,5258973662.1148900986
0,-11.99469254471411972,-41.943190205899746559,5258366593.6447572708
0,-12.086848668197951895,-43.187219718214301167,5266655475.3332014084
0,-11.721126180681984863,-43.205836009921483765,5264381776.6774110794
0,-12.232905404525656223,-43.487984891073871552,5270490485.1723031998
0,-12.822950389582354447,-43.850224349538635238,5277190662.1226234436
0,-12.795286787344087642,-43.817989440663716039,5277257299.8803720474
0,-12.821361277279153867,-43.828928816802864787,5277853683.6904983521
0,-12.416795817073236208,-43.72855976086333385,5274777913.1138458252
0,-12.575293879755660598,-43.786741316649454347,5276555451.1634054184
0,-12.619699446353195071,-43.813448301342702962,5277214937.1530532837
0,-12.487864046006640351,-43.785014373626033546,5276286748.6336145401
0,-12.510875603140110712,-43.820262019683866583,5276673781.2402982712
0,-12.501677262355554987,-43.80765940812035808,5276599158.8040094376
0,-12.514567382774123061,-43.813887564884083758,5276728433.3870830536
0,-12.47742724429864758,-43.799343462359132673,5276502416.7140979767
0,-12.251424113550562822,-43.746704417970427414,5274754773.2569665909
0,-12.295805027802217069,-43.754985470089820865,5275311254.6193857193
0,-12.315453022165790742,-43.755456161146007332,5275608577.8513422012
0,-12.314251413488499054,-43.749357670673070686,5275637221.8768262863
0,-12.359752087756561423,-43.755380260133932779,5276096425.1879138947
0,-12.357850543824007161,-43.734377899427855141,5276110217.5408143997
0,-13.086941807630280366,-43.971069251927474397,5282243790.7223272324
0,-12.478380412445133629,-43.75742576619403934,5277396398.3781766891
0,-12.54652094739751611,-43.763257897124489659,5278149213.8109283447
0,-12.539913998093632941,-43.764964395367542238,5278419277.7976808548
0,-12.561180030981827116,-43.774966190581203307,5278837720.6069612503
0,-12.541945230982570081,-43.767879251336438529,5278727749.8622522354
0,-12.681366441006417745,-43.812042666765158572,5280069623.3697929382
0,-12.686415924892111562,-43.816955972818441012,5280167407.4447813034
0,-12.67956781690167567,-43.855871961839760331,5280454940.4641504288
0,-12.063225513328429628,-43.776928492127659354,5275827928.0073566437
0,-12.001264275652292923,-43.78732587528401865,5275569459.9457759857
0,-12.079991796525010983,-43.817698786385193443,5276407465.603427887
0,-12.003087024231614777,-43.806501810144048648,5275810595.048248291
0,-11.974840039835326522,-43.858363760886817317,5276211792.162694931
0,-12.367449369820272764,-43.98092144262570713,5280041154.710062027
1,-8.2245384554890961226,0,3538602846.7113018036
1,-13.876813940197965991,-160.53839183860350204,3767484041.3912882805
1,-4.3917296497348470297,-117.12696360816472918,3696665208.3349575996
1,-11.455418188923319534,-117.63777172011303662,3970199937.1342859268
1,-31.383823281711013209,-22.868766465006839184,4037155718.5319123268
1,-19.403323822260936993,-73.185783217915442833,4092563382.3177161217
1,-0.40414451561366426802,-60.401136729244370827,4306843225.758105278
1,-10.912629372803278827,-31.885708106942821871,4518230624.8501520157
1,-3.9002443233128363254,-43.578065883022858884,4562158526.6699266434
1,-17.239809879914176349,-31.429448630959321065,4757292606.6270837784
1,-2.1094318323871226184,-31.400494111465949487,4615227045.2693529129
1,-14.783032870569062567,-31.662204246733292479,4800473136.6459360123
1,-3.8793887415490653225,-32.159008372441725498,4814396220.8824872971
1,-15.429815985243344301,-21.810926103515274832,5010294587.4307994843
1,-10.599259072271705051,-24.587789111383511198,4966169136.6074476242
1,-7.1574345401570145242,-21.811340000066273603,4934669249.3428249359
1,-10.660494856497230387,-21.817525415076669759,4977954661.4527215958
1,-12.211198115083753635,-27.619339826108596725,5017421919.606672287
1,-13.792089038224526476,-39.146567583621106223,5077249720.0605115891
1,-13.259181551338327765,-30.817146270278431786,5040917099.3125
1,-8.3712096187853735074,-41.419012193779970232,5115675729.4301528931
1,-10.535041494237038506,-42.423423939108737102,5146856776.5054979324
1,-9.6511897104342310172,-42.253429482781605486,5137883407.8215227127
1,-9.0650486335317950193,-41.376274180840852068,5130516664.1677036285
1,-12.240517041798335995,-42.522976758619051907,5171867368.4840517044
1,-11.388036388038759839,-42.039211722924108017,5162063901.728181839
1,-12.660064196675573811,-36.14658369106520297,5152162603.7040576935
1,-12.667079432938759709,-35.134465198133668196,5147482660.560505867
1,-13.897329202720870356,-41.901383080507500267,5185406218.5607738495
1,-13.044488501348466158,-38.32050141004749122,5165741614.2903318405
1,-11.609385580433924545,-37.104051324034628578,5150052190.1136169434
1,-13.036537985321180244,-42.409204370499836045,5185084789.6980800629
1,-13.904272837402917418,-44.560739935000363232,5208731467.3178100586
1,-13.626664459945375896,-44.183278836319786365,5205389801.4720935822
1,-12.785735473813659269,-44.198872711971247895,5200222227.2963914871
1,-11.602588410589939727,-45.070412839843498887,5196164546.2769126892
1,-10.635669279970214163,-44.034825596248083457,5182456715.4779586792
1,-10.173310053501801065,-41.079554190109455192,5165097779.8519477844
1,-13.116423020136020128,-39.588027657950739524,5191306143.5030918121
1,-12.101638144894778293,-36.631717315785309097,5168866175.3420886993
1,-14.301618006492253343,-38.542985466319173327,5198208319.2800188065
1,-14.397407806561034249,-38.629047334436926064,5199325416.7516098022
1,-13.908400440527138642,-41.059432322576029151,5205439171.9525146484
1,-13.600351989589334778,-38.6255696960589745,5193985901.6032648087
1,-12.637154838713833271,-38.58539402284564801,5186503394.023680687
1,-15.164047192169196165,-43.975369663786743502,5233816887.9227542877
1,-11.306866908032660035,-44.518811623437656522,5202516811.7683115005
1,-12.974719042445862272,-43.341827148681943527,5215429917.1936731339
1,-12.679586199810502833,-44.121773067345188224,5220173279.6904230118
1,-11.915299215786312459,-44.216597839568166251,5216042370.3900098801
1,-10.481456233660557231,-43.799593332251347988,5200972161.8059768677
1,-10.252996373575351541,-42.884395628816228907,5195522368.3208770752
1,-12.377409890262345726,-41.331997018070225636,5212068819.8040761948
1,-11.388189640212194931,-39.878179367172414516,5197362216.8711252213
1,-13.618008929577889887,-40.294128212676049827,5220255759.9189119339
1,-14.928780633040954484,-44.630699031272335731,5253374836.1599779129
1,-12.536240902594602886,-42.16086128209175854,5222953736.3062791824
1,-12.796464973345749172,-44.659232546280122733,5238496104.0554265976
1,-11.110976740078772451,-44.419984360108088595,5222429117.4470205307
1,-13.649870528106905709,-44.588509779971147395,5246688886.0796556473
1,-12.042686609674777998,-44.403876759418409392,5233072354.2700033188
1,-11.481292208842475588,-44.366189634678150355,5228384400.8844633102
1,-13.554386784819826062,-44.468826599945259659,5246603445.5572872162
1,-13.70421706146766283,-44.478531017819008753,5247915287.1879558563
1,-13.665544681220676893,-44.478578769540504823,5247657742.921497345
1,-12.696156779704288908,-44.407384274390466317,5240184392.4015436172
1,-11.177654901589113123,-44.27841848601534025,5225781125.947013855
1,-13.128479750328937214,-44.326057477523697514,5243806152.452252388
1,-11.998314120554397277,-44.196768941877351722,5233917514.128575325
1,-12.632784154466509818,-44.047161557623816464,5238847023.9919300079
1,-13.060078044423423904,-44.029550773278664622,5242290983.0676851273
1,-11.859757264053598647,-43.497114682894732596,5230013381.4764680862
1,-13.686757736014078191,-44.027590673774412267,5246718873.6342258453
1,-12.954549130354664044,-43.95815553445314805,5241478309.8112726212
1,-12.94025943692686198,-43.849653831824070949,5241145008.4930114746
1,-12.000562909532156652,-43.212822259824726245,5230471122.0763731003
1,-13.692003752695907082,-42.048747833419014341,5241531503.7126932144
1,-13.635977545603877203,-42.217621825027428883,5241886967.1840133667
1,-14.031651519046105747,-41.865797375942072733,5243813694.5310173035
1,-12.962206495582451637,-42.201548777573670179,5236774875.1776599884
1,-12.477493192208120476,-42.220146502086159046,5233567855.135430336
1,-10.891323760049958835,-41.851818261091125351,5217164693.7949409485
1,-10.767842462136336223,-41.767577349994603253,5216402660.1239614487
1,-12.067071593473329472,-43.200657516495226673,5237246411.8066978455
1,-11.315308702468279023,-43.238924338337781705,5230836695.0058259964
1,-12.932026701331285068,-43.677745312206155859,5247639384.1384429932
1,-14.083326974720225877,-44.384549705302859479,5260708286.6062221527
1,-13.100014491371249292,-43.924044281561869241,5251534609.475979805
1,-12.38108134982225117,-43.649695587663373431,5244303822.819814682
1,-11.500556524668176905,-43.431245289442038882,5235552216.916852951
1,-13.611902773997552885,-44.137714867788247375,5257106638.0394830704
1,-11.901964320093224359,-43.580613615062361532,5240526596.8182506561
1,-11.631453586584992621,-43.516290187597711281,5237978810.316576004
1,-13.665116999868690328,-44.219225049296987606,5257980877.495552063
1,-13.643845836804405991,-44.190081510056323566,5257815786.6207618713
1,-13.763079450676160675,-44.247691960120782539,5258919829.662314415
1,-12.761252178790256195,-43.888548866523734659,5249804122.4064245224
1,-11.108821346730040958,-43.394562397448844138,5232682174.4207048416
1,-13.22211961511053957,-44.03664575838087103,5254517296.0402603149
1,-11.830994659865689655,-43.599878096241013736,5240974156.1001396179
1,-12.538398780553405842,-43.801303827168823091,5248222008.623462677
1,-13.165624201927936809,-43.992458610373162742,5254170195.0237884521
1,-11.781768894219574406,-43.541403216916869212,5240546401.7071819305
