Timestep,a_0,a_1,b
0,-28.18048690044524,-150.65645705581602,1.0039796736045773e8
0,-28.50056222023618,-26.049545877085816,1.4675791502273002e9
0,0.0,0.0,1.4204836299556227e9
0,-14.706035911272203,-142.5561816073903,1.696431595757169e9
0,-29.456474501560624,-14.327364519455122,2.146948481362764e9
0,-29.332159787245953,-14.74248252947788,2.148022399658298e9
0,0.0,-12.32903628483571,2.211807908476395e9
0,-12.415135140000007,-14.85246626221833,2.235958820024535e9
0,-24.575254077649667,-16.009056979152305,2.454459391525252e9
0,-11.49248330683055,-12.329036284835706,2.974078184464716e9
0,-11.492977571653487,-12.451105980463792,2.9746210239742723e9
0,-11.551361582517648,-13.30060717306814,2.978691288344386e9
0,-12.416834729924618,-15.685494326621681,3.0156678156060133e9
0,-12.415456684039816,-15.685420907823595,3.015657533220485e9
0,-12.415535199437196,-15.685425090925285,3.015658160825088e9
0,-12.415383738538141,-15.685452542142864,3.0156571747200184e9
0,-12.466471819786603,-18.69694388381222,3.099309910013206e9
0,-12.449597089396574,-18.69690238724923,3.099193558807718e9
0,-12.415135140000007,-18.679474976363856,3.0988603369529424e9
0,-12.398093253396103,-14.730838041738467,3.0975107204239197e9
0,-12.398503930640778,-14.732532486001476,3.0975208256138916e9
0,-12.399040134696905,-14.734314268993092,3.0975320518707795e9
0,-12.398124407422014,-14.772491627261958,3.097719935098954e9
0,-12.398142595603183,-14.774872445246794,3.097730791245293e9
0,-12.398156269580971,-14.776572276444863,3.097738311155184e9
0,-12.398160368620324,-14.777244262029354,3.0977421119126186e9
0,-12.398179136639635,-14.775363182561978,3.0977337617521214e9
0,-12.410744437312818,-14.785113632501723,3.1077503106997013e9
0,-12.411079970684277,-14.785113632501723,3.107754860312954e9
0,-12.411927010091977,-14.785113632501396,3.1077694459044294e9
0,-12.413759044868483,-14.785113634497995,3.107793157144232e9
0,-12.414572324901114,-14.785113636155058,3.1077984422477407e9
0,-12.414873231674298,-14.785291240842357,3.1078058613670597e9
0,-12.414925692825731,-14.785290341237571,3.1078061925816255e9
0,-12.415135128436647,-14.778924196784208,3.108357593291736e9
0,-12.415135128398395,-14.778983997714112,3.108357888211022e9
0,-12.415135128438148,-14.778984901342168,3.108357892433855e9
0,-12.415135051197963,-14.778994386993835,3.1083579370176e9
0,-12.415135008257279,-14.778994222244647,3.1083579359745083e9
0,-12.415135043883803,-14.778995637742725,3.1083579427682233e9
0,-12.415134999105913,-14.778993449018442,3.1083579324910917e9
0,-12.415134911357452,-14.77899849603602,3.1083579549524136e9
0,-12.415135000584533,-14.7789954939251,3.10835794201425e9
0,-12.415134913282298,-14.778999668848245,3.108357960126509e9
0,-12.415134924034735,-14.778999317811227,3.10835795866492e9
0,-12.415136411392476,-14.7796503418732,3.108360922624395e9
0,-12.415136553820505,-14.77999050224867,3.1083625710281773e9
0,-12.415135747524284,-14.780113313730267,3.1083632073816175e9
0,-12.415135420938105,-14.779537440346099,3.10836052575297e9
0,-12.415135480069791,-14.78001897733661,3.1083627952262077e9
0,-12.415135079289914,-14.779382446030098,3.1083597946273627e9
0,-12.415135106237802,-14.779098195537498,3.108358444741464e9
0,-12.415147394437634,-15.087009480415421,3.111380494913933e9
0,-12.415135140000007,-15.087009675014206,3.111380413244502e9
0,-12.415135140000007,-15.087009675014206,3.1113804132445035e9
0,-12.415135140000007,-15.087009675014206,3.111380413244504e9
0,-12.409833267324293,-15.086898458149355,3.111340427689647e9
0,-12.410698530680566,-15.085382757070438,3.1113420743308764e9
0,-12.412409868550933,-15.085919425197812,3.1113579281963124e9
0,-12.407612518764848,-15.076460680339633,3.1112804913294716e9
0,-12.41466024947012,-14.838455061228034,3.1108008710180807e9
0,-12.414665482844704,-14.826483490552638,3.1107457552514806e9
0,-12.414863346792714,-14.82868239828352,3.110761778402814e9
0,-12.414928381110075,-14.869920709992579,3.110957548538559e9
0,-12.414946666700882,-14.829159808245073,3.1107659817590723e9
0,-12.415000252056934,-14.826759614503702,3.1107554756800375e9
0,-12.414968606622413,-14.830768548571358,3.1107859432455044e9
0,-12.415079042545246,-14.963799017493422,3.1114308773385043e9
0,-12.414991014334948,-14.976505955759109,3.111545762706024e9
0,-12.414994345122436,-14.97395141680052,3.1115335629524274e9
0,-12.415134352222328,-14.877036650131483,3.1111404088614383e9
0,-12.415134301233707,-14.877075128928233,3.111140602852888e9
0,-12.415133170006827,-14.877808530314045,3.111144217592386e9
0,-12.415133709470151,-14.878140130699855,3.1111458280909343e9
0,-12.41515318648213,-14.877353521853362,3.1111429342251854e9
0,-12.415142456141409,-14.877355166422563,3.1111428638120975e9
0,-12.415135140000007,-14.877353219202408,3.1111428046569414e9
0,-12.41157207864624,-14.877194282607263,3.11111610546926e9
0,-12.412120946781497,-14.875173291612496,3.1111119489463296e9
0,-12.410799486730493,-14.86938965233889,3.111078911387244e9
0,-12.415114337980798,-14.804555426398037,3.11092773800366e9
0,-12.415126940436792,-14.80679708501991,3.1109416883781815e9
0,-12.415125644993886,-14.805941623241152,3.1109376028024387e9
0,-12.415126300093888,-14.813787569194716,3.1109771462972517e9
0,-12.415126132667478,-14.817227178436516,3.110995190110948e9
0,-12.415149561229015,-14.83585552947669,3.1110875919291453e9
0,-12.415140498248215,-14.81672538468251,3.1109952491266007e9
0,-12.414801950753736,-14.809742142505367,3.110983128718356e9
0,-12.414835722797333,-14.811052093527078,3.110989915892336e9
0,-12.415001918932866,-14.821149381247867,3.111041391411603e9
0,-12.414518492139374,-14.817576280485628,3.111021257158232e9
0,-12.415052862416168,-14.810315940219109,3.110993197781446e9
0,-12.415057830331472,-14.824174283002867,3.1110594400674276e9
0,-12.415938342716803,-14.788742203415518,3.1109514119281483e9
0,-12.415308805452288,-14.788819206453699,3.1109471825534377e9
0,-12.415135140000007,-14.78884181393976,3.1109460155377e9
0,-12.415135140000007,-14.788844591913243,3.110946401044192e9
0,-12.41384940278956,-14.789137436376908,3.1109384764481664e9
0,-12.413099868552688,-14.788960523546725,3.1109335596467056e9
0,-12.413688157876027,-14.788899217470608,3.110938532365097e9
0,-12.413762391150378,-14.788929264909381,3.110939896299106e9
0,-12.41374750992607,-14.78893523705513,3.1109407844945135e9
0,-12.413291075148104,-14.789036142035304,3.1109387556333385e9
0,-12.414958405114202,-14.848803555712212,3.111327631893351e9
0,-12.414966371645995,-14.848800487221359,3.1113276902287893e9
0,-12.415023444677065,-14.822324540119025,3.111208179306358e9
0,-12.415031182671834,-14.818856126377199,3.111192787960845e9
0,-12.415040799863965,-14.839272540361168,3.11129339852775e9
0,-12.415046869662305,-14.845748005454112,3.1113239806712117e9
0,-12.41506138316684,-14.861551464457905,3.11140061393272e9
0,-12.415065982911495,-14.868141913289197,3.1114314124473705e9
0,-12.41513579412301,-14.801771310343899,3.111150278386048e9
0,-12.415137270192783,-14.78899970575498,3.1110927627493997e9
0,-12.41513603778634,-14.788634925268786,3.1110910035766287e9
0,-12.411582767563656,-14.788421467913853,3.1110634456662035e9
0,-12.412673088370083,-14.788348096008622,3.11107209674047e9
0,-12.414059969846324,-14.789622273074174,3.111088787516618e9
0,-12.414096414661039,-14.78997030224779,3.1110906957802453e9
0,-12.41402768190485,-14.789093845249063,3.1110862836046543e9
0,-12.414695453995835,-14.79404923025237,3.1111753951700935e9
0,-12.41477779081486,-14.833983336969673,3.1113669027683673e9
0,-12.414772465353549,-14.792803084924026,3.111170449408209e9
0,-12.41466179101019,-14.819065452027104,3.1112966600511236e9
0,-12.41459603097403,-14.809203952130867,3.111250627144381e9
0,-12.414444057602982,-14.797968158375554,3.1111946220826426e9
0,-12.415174483635452,-14.792586148191337,3.111176940524569e9
0,-12.415420091504757,-14.844888524014682,3.1114273972624917e9
0,-12.415015023090058,-14.799014359344724,3.111207292271436e9
0,-12.41337614658752,-14.791377144488807,3.111157691566609e9
0,-12.414283166462935,-14.813053971009944,3.111270273268838e9
0,-12.414204480999928,-14.79958625972149,3.1112050217744203e9
0,-12.413139389104222,-14.866636677310265,3.1115114827386556e9
0,-12.411412382532339,-14.798553488155935,3.1111838262084236e9
0,-12.415156421572119,-14.793712447887,3.111221498035421e9
0,-12.415135140000007,-14.793712852875894,3.11122135545376e9
0,-12.412943663358003,-14.793709065724853,3.1112063276914034e9
0,-12.413291900622418,-14.794090555912616,3.1112106766737986e9
0,-12.41350341298405,-14.793700729709538,3.1112106348981934e9
0,-12.41350341298405,-14.793700611731234,3.111210640465717e9
0,-12.413334973417784,-14.793687428173017,3.111209416116415e9
0,-12.41481622499431,-14.793660802199092,3.1112194602901073e9
0,-12.41294928442693,-14.793527987519465,3.1112063621683755e9
0,-12.412941737050328,-14.793920895393649,3.111208181075723e9
0,-12.415135140000007,-14.819950566626497,3.1113677077866726e9
0,-12.413173149585287,-14.819787738024425,3.1113534314115376e9
0,-12.41396890419183,-14.819750694889935,3.111359390716856e9
0,-12.41511295906177,-14.784062577178249,3.111227774286149e9
0,-12.415109520367826,-14.783689355696946,3.1112260022716193e9
0,-12.41511392143615,-14.784522344518802,3.1112307173132133e9
0,-12.4150814384136,-14.78453378123792,3.111230599417683e9
1,-28.18048690044524,-149.41820942621797,1.2254926393848956e8
1,-28.50056222023618,-26.049545877085816,1.4676452205267541e9
1,0.0,0.0,1.4148619734280283e9
1,-14.706035911272203,-140.3360824082861,1.6954412255642054e9
1,-29.456474501560624,-14.327364519455122,2.148294650810308e9
1,-29.321036291369673,-14.77962667205274,2.149010257292884e9
1,0.0,-12.32903628483571,2.19647112544932e9
1,-12.673542195405409,-54.72166741730306,2.3657580875202413e9
1,-24.575254077649667,-16.009056979152305,2.4477137228012285e9
1,-11.49248330683055,-12.329036284835706,2.9497955519712405e9
1,-11.493245298432576,-12.517227065595675,2.9504724064599233e9
1,-11.643080558441746,-14.814093868567056,2.959661110235638e9
1,-12.416834729924618,-15.685494326621681,2.989620917264227e9
1,-12.415456684039812,-15.685420907823595,2.98960845005398e9
1,-12.415553519696575,-15.685426066982334,2.9896093721870914e9
1,-12.415239424553457,-15.68547504602929,2.989606739439146e9
