Timestep,a_0,a_1,b
0,-150.0,-150.0,1.1754726462846257e11
0,-15.390118887670704,-86.9397985873599,1.1720995476114899e11
0,0.0,0.0,1.3586729272272134e11
0,-126.0916171714188,-128.1927345489417,1.3943210051170746e11
0,-15.378779995977572,-127.43813363799838,1.3923009739724155e11
0,0.0,-51.4361475762598,1.3959201040852258e11
0,-87.77110740378689,-97.22877031425107,1.401961185964064e11
0,-87.0000000000001,-87.57401039801002,1.4112347144553842e11
0,-15.378779995977572,-87.57401039801002,1.4103651874646317e11
0,-57.999255991369054,-86.05549196695073,1.4108863937019534e11
0,-37.36353996277482,-82.93973310250182,1.410459097508074e11
0,-15.378779995977572,-103.88298941560919,1.4117316800046844e11
0,-87.0000000000001,-79.4841397338646,1.4157291442155365e11
0,-15.378779995977572,-79.4841397338646,1.4142399445997125e11
0,-15.378779995977572,-79.4841397338646,1.414874364370588e11
0,-15.378779995977572,-79.4841397338646,1.414874364370588e11
0,-15.378779995977572,-79.4841397338646,1.4148743643705884e11
0,-17.247716941423977,-79.5155926787552,1.4149211312163934e11
0,-15.378779995977572,-79.63494703012998,1.414899815219036e11
0,-20.723603721402036,-79.62094371950988,1.4150212486463437e11
0,-17.723411962739146,-79.63272933108458,1.4149587012185168e11
0,-15.378779995977572,-103.66731782844425,1.4172509259803458e11
0,-15.378779995977572,-103.66731782844425,1.417250925980346e11
0,-15.378779995977572,-103.66731782844425,1.4172509259803464e11
0,-15.378779995977572,-103.66731782844425,1.4172509259803458e11
0,-15.378779995977572,-84.31505477764925,1.417057511139489e11
0,-87.0000000000001,-80.75337192189947,1.418720424361216e11
0,-15.378779995977572,-80.75337192189947,1.417857708430921e11
0,-15.378779995977572,-80.75337192189947,1.4178577084309213e11
0,-15.378779995977572,-80.75337192189947,1.417857708430921e11
0,-18.667826297804528,-81.59039579711293,1.4179962988966553e11
0,-20.324111265766007,-83.0250257398407,1.4181192762583472e11
0,-15.378779995977572,-83.81433592916395,1.4180463102433347e11
0,-20.8640529979858,-86.6210709516736,1.4183602729646066e11
0,-15.378779995977572,-86.61337395414324,1.418237109456977e11
0,-20.631586267788432,-86.40443104453401,1.4183702465790714e11
0,-15.378779995977572,-86.42313970476162,1.4182447254436887e11
0,-18.3156809102505,-86.53608287942997,1.4183301499340918e11
0,-16.151223905562908,-86.51346374861713,1.4182775738898126e11
