Timestep,a_0,a_1,b
0,-30.697037351981166,-29.561992161671416,2.449264975900335e10
0,-23.61703530361112,-29.211553785240657,2.447124077803455e10
0,0.0,-24.420911830070214,2.4891222510996105e10
0,-23.94634859629588,-24.378949425127786,2.497898951020667e10
0,-24.26575925596813,-24.420911830070214,2.5117337141053936e10
0,0.0,-16.11504433073369,2.575358283010201e10
0,-23.7753800619175,-25.254979449758707,2.603502377732611e10
0,-18.218883878643567,-24.692937883674723,2.616830273162329e10
0,-24.529269235765646,-24.385491355443932,2.618664387644785e10
0,-24.479415996344468,-24.38549108884515,2.618651996713709e10
0,-21.409977571551448,-24.404066854506645,2.617926160029941e10
0,-21.58313441122713,-24.38771271550937,2.617986934165502e10
0,-21.61736742894376,-24.527209452022525,2.6183046960496468e10
0,-20.374731325022147,-24.517067111532533,2.618086966004064e10
0,-24.26575925596813,-24.254968919644284,2.6200818437910526e10
0,-20.30442489567617,-24.42875387282825,2.6187861242530655e10
0,-21.446952317076384,-24.36167838485104,2.6196500749916203e10
0,-21.35718869972834,-24.371566538615827,2.619655416751047e10
0,-21.562298263253844,-24.01927745573107,2.6194080742292255e10
0,-21.702872096490125,-24.329454795757837,2.619740796954912e10
0,-24.405077571329617,-23.513177853322595,2.622838828969627e10
0,-21.764450636674212,-23.51759464003555,2.622153430866386e10
0,-22.061253498284444,-23.52726467997465,2.622477852211473e10
0,-21.09246634179787,-23.56747644093014,2.622273090809396e10
0,-20.547718325148047,-23.564136428271524,2.6221411082269722e10
0,-20.72421096865314,-23.62895075955722,2.62224694315046e10
0,-24.24452842723846,-24.26575925596813,2.6248886167318703e10
0,-22.91646336420858,-24.261386967745683,2.6246138321466537e10
0,-22.426831829908345,-24.259944979385505,2.624506380855003e10
0,-21.817087226113934,-24.249604902858632,2.6244035721665577e10
0,-19.579442118543653,-24.251279937213248,2.62385979209078e10
0,-22.241489043769718,-24.255062828291848,2.624537879459609e10
0,-20.15343393770719,-24.25329300586321,2.624022050601881e10
0,-24.1491608764352,-23.95713112394965,2.6253083745879993e10
0,-19.670323569474682,-23.86667794497105,2.6242864597002163e10
0,-21.15760312156834,-24.006384916208525,2.6249629382790848e10
0,-20.34967798079016,-24.031924871472878,2.6247869960220783e10
0,-20.79937642613507,-24.090556542947947,2.624947033847192e10
0,-19.603769701574496,-24.213577862330716,2.6247277634184948e10
0,-21.274400636596756,-24.16012541312115,2.6250977298185165e10
0,-19.960092613150753,-24.24820530597632,2.6248505515493958e10
0,-20.433593959750407,-24.263515331636007,2.6249888728825546e10
0,-20.314044623440818,-24.255679939843926,2.6249635032472084e10
0,-20.455444282630406,-24.251755149012144,2.62499848148568e10
0,-22.141925698580003,-24.193288551161377,2.625363111882448e10
0,-21.529231964122,-24.20440984026213,2.625236867988096e10
0,-22.070213172826556,-24.196691907778288,2.6253766827722584e10
0,-19.87463967666908,-24.23970417426827,2.6248745405928295e10
0,-22.496298678255197,-24.182948896715324,2.625439886109348e10
0,-20.499476485853144,-24.212880735379528,2.6250288078348648e10
0,-20.194612060082985,-24.237925728457355,2.6249948986801865e10
0,-21.028235859602514,-24.218926897550546,2.625408602487493e10
0,-20.008023574522586,-24.219217704824118,2.625158984841264e10
0,-22.638186048947812,-24.219308740388907,2.625814677833062e10
0,-20.98841978475732,-24.220639351266083,2.625452547158163e10
0,-20.299422635920532,-24.221048384869775,2.625282870720154e10
0,-22.436360028134928,-24.22022491146295,2.625785885573823e10
0,-20.318148877944854,-24.221353391397155,2.6252937867360577e10
0,-20.326883690432688,-24.22135387649272,2.6252961340263184e10
0,-20.309371521170135,-24.221809788496643,2.6252938537293888e10
1,-30.697037351981166,-29.561992161671416,2.423188180215714e10
1,-21.265410976317117,-29.09515559699131,2.418986870334952e10
1,0.0,-24.420911830070214,2.4631394878207054e10
1,-23.751924716495413,-24.378949425127786,2.469803613972861e10
1,-24.26575925596813,-24.420911830070214,2.4837359103409904e10
1,0.0,-16.11504433073369,2.549438670912871e10
1,-23.775380061917502,-25.254979449758707,2.5755897663957474e10
1,-18.218883878643567,-24.692937883674723,2.588773766427628e10
1,-24.529269235765646,-24.385491355443932,2.590637627234099e10
1,-24.479415996344475,-24.38549108884515,2.5906240509488506e10
1,-21.330650302539887,-24.404539251374207,2.589845822593649e10
1,-21.50861705442876,-24.387768900949062,2.589904784159689e10
1,-21.617367428943776,-24.527209452022547,2.590255526888189e10
1,-20.37473132502215,-24.517067111532533,2.5900395052835808e10
1,-24.26575925596813,-24.254968919644284,2.592428439739887e10
1,-20.304424895676178,-24.428753872828224,2.590825599026438e10
1,-21.446952317076384,-24.36167838485104,2.5918407090672935e10
1,-21.357188699728347,-24.371566538615834,2.5918179765033905e10
1,-21.71857221641614,-23.750866725914115,2.5911189037192547e10
1,-22.156581554739976,-24.274183133256702,2.592015701962672e10
1,-24.405077571329617,-23.513177853322595,2.594884359282232e10
