Timestep,a_0,a_1,b
0,-126.71551756893352,-117.98195152348931,4.017342544644988e10
0,-98.73407211500113,-117.11103200986541,4.009105229916922e10
0,-103.58666168407424,-93.62142653051413,3.996786842395084e10
0,0.0,-115.26454105127385,4.3880921605537766e10
0,-105.14700306422105,-86.23369917399937,4.406175857845451e10
0,-120.61470563737389,-115.26450903787139,4.612228218672902e10
0,-57.89076491641311,-115.24126093332413,4.598521152526448e10
0,0.0,-44.71391126610613,4.575028740293682e10
0,-112.9084449564817,-115.26454105127385,4.6830119240203514e10
0,-46.79951010770892,-86.8883276793808,4.655724573017288e10
0,-110.51369464466292,-80.21441315523609,4.6954426428179855e10
0,-53.88303815144834,-76.43845585777487,4.680201590246113e10
0,-65.80992201166208,-61.79428139812304,4.680113529611662e10
0,-51.907870987862296,-67.78758297481308,4.6805503521096275e10
0,-83.07010269561079,-97.91182880597194,4.712569858740491e10
0,-67.07543420457424,-92.57368452013813,4.7054085007717865e10
0,-64.31987107509035,-63.56210299351125,4.718062562933533e10
0,-62.031810343253696,-63.56220125604399,4.7174555989289e10
0,-60.156577981957454,-64.06616968731002,4.717332979431778e10
0,-59.404595138122765,-63.76376052610863,4.717379316440419e10
0,-59.37090422172819,-62.67089017207936,4.717065407255548e10
0,-59.25378077708637,-62.65713107702512,4.717036926380573e10
0,-59.195397043547636,-62.72693325877839,4.717065080631942e10
0,-74.1340554800314,-72.62568292208897,4.73320825642629e10
0,-62.903177412040584,-72.43332040817273,4.730334699995756e10
0,-82.97911281205299,-65.1928624478602,4.733945630846685e10
0,-60.45848514585614,-65.19578109946994,4.7287838582633896e10
0,-60.98022172979511,-65.85420683722324,4.731754384186663e10
0,-59.79380464785615,-65.84842308864245,4.731478845087079e10
0,-59.34933390249788,-65.8488331669044,4.731373239538142e10
0,-61.35907533832762,-68.06954555926141,4.733740450379668e10
0,-59.41937169602267,-69.18078206032327,4.733953598967117e10
0,-58.10517886858147,-68.88671343576193,4.7337671441340546e10
0,-58.687786617878444,-68.90308482090981,4.733900535496017e10
0,-63.19318745259445,-70.85511391148975,4.736104668389859e10
0,-59.56971030208501,-70.82346439602479,4.73528712260261e10
0,-62.55363279932114,-69.79911216188724,4.737082834809029e10
0,-62.8235310869665,-69.6837654755804,4.7371024797061775e10
0,-58.8738862792489,-69.68821989884722,4.736197206342334e10
