Timestep,a_0,a_1,b
0,-150.0,-150.0,2.5158477856193542e10
0,0.0,0.0,4.238541747082012e10
0,-61.268422222597174,-53.24480375949405,5.43746848842868e10
0,-46.33013221617933,-53.08551344809409,5.4323970990065834e10
0,-52.483010929371574,-51.211342348144896,6.117405793514341e10
0,0.0,-52.48301092937159,6.129768473228169e10
0,-55.4855849033448,-52.48301092937159,6.14198737939336e10
0,-52.47836732186554,-52.084182573016264,6.227264728741769e10
0,-52.07138224070961,-52.08418257301707,6.2271638462631615e10
0,-35.33477644776416,-52.48301092937159,6.264608579848716e10
0,-36.07790853993023,-52.48301092937159,6.264690897530498e10
0,-73.25013518201067,-52.48301092937159,6.277472693044803e10
0,-52.230336331844164,-52.483010758194226,6.274707186402057e10
0,-52.077039917951,-52.483007275143756,6.274669745804521e10
0,-46.86475777233276,-52.48301092937159,6.290964625415509e10
0,-52.426550601194705,-52.48301092937159,6.293255908371791e10
0,-51.697121969758285,-52.446458188700674,6.293047179969709e10
0,-52.48301092937159,-52.464278957957006,6.3244997587375145e10
0,-51.50830890135198,-52.464278957957,6.324260805359432e10
0,-49.37840209432073,-52.410142722975884,6.323754830829106e10
0,-50.14214141086716,-50.76037467500068,6.323771837588885e10
0,-50.010729041581534,-50.76037189877415,6.323739283852299e10
0,-50.40810401278844,-50.76037467493864,6.3238435855680595e10
0,-50.12474180065758,-50.760373618941514,6.323778717559055e10
0,-50.08159498130795,-50.760373832797455,6.323768044997065e10
0,-49.69308316186487,-50.7796747908271,6.323679839197091e10
0,-54.10342039725532,-52.350427954343196,6.326473665881722e10
0,-50.60923472004743,-52.27180728597963,6.325551012867962e10
0,-51.90159978419281,-52.084228622639586,6.325795904920718e10
0,-52.46245810873997,-52.462646427921676,6.336066625506637e10
0,-52.44632182248516,-52.46264642792168,6.336062497044318e10
0,-52.44802633107992,-52.462646409064554,6.336063041595887e10
0,-50.53806493766656,-51.3573970081006,6.340328703712657e10
0,-50.539784852791264,-51.35740442919873,6.3403291477211044e10
0,-50.75679289119614,-51.35740019868482,6.340414352475004e10
0,-50.545790240533414,-51.357401977917455,6.340363338317054e10
0,-50.535978907255355,-51.35885733751059,6.3403670551576416e10
0,-50.5545781151529,-51.373147987610515,6.340444953628898e10
0,-50.5545781151529,-51.373147987610515,6.3404449536289e10
0,-50.55556200358465,-51.373401204733646,6.340445263491173e10
0,-50.55524670343083,-51.37325387216248,6.3404451934359604e10
0,-50.56000975220157,-51.378786564454174,6.340451105703807e10
0,-50.750634003514826,-51.314535248947934,6.340522469184153e10
0,-50.70996116060177,-51.3266104632609,6.340512440495145e10
0,-50.740209965447676,-51.31456881372875,6.3405198199312195e10
0,-50.488722407328225,-51.41601003708268,6.3406842147769714e10
0,-51.39278241925343,-51.47510904972768,6.340902141645838e10
0,-51.01192746566804,-51.4049309774149,6.3408316915227036e10
0,-50.62157724803102,-51.40493101854514,6.340738557603608e10
0,-50.623232872361946,-51.40518612473093,6.340746069939162e10
0,-50.62818994568682,-51.40741356716438,6.3407660479157364e10
0,-50.62634887574117,-51.40741345831693,6.340765591361745e10
0,-50.3696355307969,-51.44007439368319,6.340716382340564e10
0,-51.99678734943835,-52.461334021941504,6.342552102447384e10
0,-50.539057348230344,-52.461388494817115,6.342203234362634e10
0,-50.56163218551406,-52.46059229312235,6.342307166411824e10
0,-50.56240118311134,-52.4605580373734,6.34230739750643e10
0,-50.56428661724305,-52.459817338251575,6.342308138561075e10
0,-50.56392437469065,-52.459817297332556,6.342308046406602e10
0,-50.56413420476408,-52.45968916801299,6.342308071734074e10
1,-150.0,-150.0,2.4982922681646908e10
1,0.0,0.0,4.207616391848498e10
1,-61.268422222597174,-53.24480375949405,5.377570527203725e10
1,-45.99786627913837,-53.08197042244954,5.368476647660631e10
1,-52.483010929371574,-51.211342348144896,6.053264578477968e10
1,0.0,-52.48301092937159,6.069827724983279e10
1,-55.4855849033448,-52.48301092937159,6.0789058005077065e10
1,-52.47836732186554,-52.084182573016264,6.16341173646333e10
1,-52.041126909801086,-52.08418257301711,6.163292989522495e10
1,-35.33477644776416,-52.48301092937159,6.2012755642374e10
1,-44.53964217553188,-52.48301092937159,6.201213307063559e10
1,-73.25013518201067,-52.48301092937159,6.214159051124081e10
1,-52.230336331844164,-52.483010758194226,6.210726677507966e10
1,-51.36922788810371,-52.48299119293442,6.2104876509533035e10
1,-46.86475777233276,-52.48301092937159,6.2271162403852196e10
