Timestep,a_0,a_1,b
0,-30.236177308565498,-160.87199998868618,9.355526272028722e8
0,-25.073550307742423,-12.323932796371082,2.669310866208211e9
0,-24.741771934995654,-14.289890586281544,2.6746481760704083e9
0,0.0,-17.800341799216056,2.744815416272181e9
0,-12.703340486479172,-17.59296600184169,2.773721162354787e9
0,-12.640255963643048,-50.91760884088013,3.6469273053734703e9
0,-12.560666132639962,-50.917403579943105,3.6463770009956303e9
0,-12.415135140000007,-50.83951455774422,3.6449567410150685e9
0,-12.396843292699224,-50.588064430707135,3.6434840730079203e9
0,-12.281121313918703,-48.53145111131996,3.6329713224535713e9
0,-10.233399248076852,-50.13520341690194,3.6753832574081473e9
0,-12.414805484451401,-27.126085452943784,3.766897771413095e9
0,-12.414961397288113,-41.862538916244446,3.842399896647716e9
0,-12.410628020405259,-45.62853434944557,3.871894506316293e9
0,-12.378475577785704,-44.87087519476757,3.86801992877514e9
0,-12.405831352620254,-27.767664504809517,3.8443028095870376e9
0,-12.406135139593992,-28.69056738416779,3.849062641752051e9
0,-12.411060048927954,-29.60329000374733,3.853536527802415e9
0,-12.42512926855121,-35.92643816430062,3.884944444210623e9
0,-12.141588989722074,-37.78698838554061,3.893458032506167e9
0,-12.417749484431424,-39.27824975488754,3.921672711659605e9
0,-12.415629745703264,-39.27826585909081,3.9216579907618976e9
0,-12.415135140000007,-39.27826961673824,3.9216544214586873e9
0,-12.415228714051974,-39.2782821187373,3.921655156845893e9
0,-12.381072154811578,-39.28283073782224,3.9214288371610813e9
0,-12.377089590201301,-39.300675651742864,3.9215003216309013e9
0,-11.938708550140454,-45.28788272700537,3.9522723270989738e9
0,-11.963178774873294,-44.9347198917237,3.950646397386227e9
0,-11.946144314897293,-45.064294604954185,3.9512353803196325e9
0,-12.058279066020873,-41.60013729738113,3.934951445079697e9
0,-12.222113077115136,-38.465923314823335,3.922567357221745e9
0,-12.459964914668795,-44.3004507897471,3.954305161385579e9
0,-12.415135140000007,-44.305706023194666,3.954014185106933e9
0,-12.389508827711763,-43.53865799670551,3.950225620882553e9
0,-12.403968870837348,-43.735245666198004,3.9513004204075923e9
0,-12.341243861694325,-43.76498104846821,3.9511207374565516e9
0,-12.298625389266583,-41.32788392333568,3.9412975767962823e9
0,-12.43141271228259,-44.68500066293284,3.9615412550179176e9
0,-12.424992048270486,-44.68435242055852,3.961493737401745e9
0,-12.415401542926249,-44.682669158507345,3.9614168509770885e9
0,-12.415535814671387,-44.682669628588,3.9614178836256285e9
0,-12.415361261402696,-44.68238087206616,3.9614152317794833e9
0,-12.37549157276545,-44.68164573096851,3.961129250699198e9
0,-12.375076963197147,-44.66905261477957,3.961121707724626e9
0,-12.179145248361515,-42.63220397516016,3.951463070106533e9
0,-12.235141912609715,-42.611063731226835,3.9518149406124983e9
0,-12.2198400288288,-42.2893764645339,3.950166079130541e9
0,-12.197442155644731,-42.509260464292026,3.951125055647301e9
0,-12.273289589048922,-41.94602150294278,3.949096149889652e9
0,-12.300088693097,-39.982591795914026,3.940357621250811e9
0,-12.34069750964385,-38.93342678641427,3.935608040158933e9
0,-12.381350992916568,-44.993435218918236,3.968973283960851e9
0,-12.394593542016432,-42.9958253787979,3.9591165805802083e9
0,-12.387099192290105,-44.15008646089936,3.9649487043000293e9
0,-12.384547439741825,-44.67333562801685,3.96750844663016e9
0,-12.38503321664296,-44.09004622169737,3.9647223981198606e9
0,-12.400615665014268,-44.710838212749216,3.9679757513549337e9
0,-12.413143083354827,-42.22835575472666,3.9569121242664657e9
0,-12.40882215779688,-42.3084160578556,3.957387448714862e9
0,-12.40606310127131,-42.25840994857675,3.9572103982099447e9
0,-12.398546622756152,-43.37417031866002,3.9623437040061e9
0,-12.409271660242089,-41.31320524161564,3.9527035519638157e9
0,-12.401137079940119,-45.56824583242341,3.9744037387861686e9
0,-12.378573131018536,-43.98249073975144,3.966829721838371e9
