Date,Price,Open,High,Low,Vol.,Change %
12/31/2025,85.73,85.21,85.85,85.21,0.65K,0.13%
12/30/2025,85.62,85.47,85.73,85.28,0.32K,-0.20%
12/29/2025,85.79,86.58,86.75,85.63,0.31K,-0.64%
12/24/2025,86.34,86.7,86.7,86.16,0.10K,-0.59%
12/23/2025,86.85,86.18,87.06,85.94,0.63K,1.22%
12/22/2025,85.8,85.26,86.14,85.08,3.38K,0.49%
12/19/2025,85.38,84.65,85.48,84.45,0.64K,0.67%
12/18/2025,84.81,84.79,85.32,83.94,1.06K,-0.36%
12/17/2025,85.12,86.02,86.67,84.87,0.54K,-0.64%
12/16/2025,85.67,85.52,86.15,85.31,3.04K,0.34%
12/15/2025,85.38,85.38,85.51,83.67,6.63K,1.90%
12/12/2025,83.79,84.08,84.4,83.4,20.51K,-0.13%
12/11/2025,83.9,82.72,84.4,82.72,44.12K,1.80%
12/10/2025,82.42,82.62,82.9,81.92,44.60K,-0.52%
12/9/2025,82.85,82.1,82.95,81.88,41.00K,1.06%
12/8/2025,81.98,81.74,82.58,81.66,33.52K,0.00%
12/5/2025,81.98,82.47,82.74,81.61,39.01K,-0.55%
12/4/2025,82.43,81.55,82.68,81.28,48.55K,0.78%
12/3/2025,81.79,81.88,82.36,81.22,46.31K,-0.04%
12/2/2025,81.82,82.5,82.56,81.51,47.75K,-0.99%
12/1/2025,82.64,83,83.37,82.53,39.25K,-0.74%
11/28/2025,83.26,82.26,83.32,82.26,33.71K,1.28%
11/27/2025,82.21,81.69,82.52,81.01,55.62K,0.65%
11/26/2025,81.68,82.01,82.34,81.3,46.71K,-0.23%
11/25/2025,81.87,80.54,82.2,80.49,45.25K,1.56%
11/24/2025,80.61,80.3,80.9,79.57,45.78K,0.25%
11/21/2025,80.41,80.85,81,80.04,32.45K,-1.17%
11/20/2025,81.36,80.66,81.89,80.66,28.33K,0.87%
11/19/2025,80.66,80.89,81.59,80.2,32.51K,-0.69%
11/18/2025,81.22,79.91,81.45,79.52,40.88K,1.63%
11/17/2025,79.92,81.45,81.45,79.78,34.46K,-1.25%
11/14/2025,80.93,81.28,81.75,80.44,28.11K,-0.50%
11/13/2025,81.34,82.16,82.79,80.92,41.70K,-0.70%
11/12/2025,81.91,80.79,82.37,80.79,41.00K,1.56%
11/11/2025,80.65,80.01,80.9,79.5,36.43K,0.86%
11/10/2025,79.96,79.55,80.35,78.91,28.31K,0.62%
11/7/2025,79.47,80.35,80.68,79.42,32.54K,-0.87%
11/6/2025,80.17,81.24,81.24,80.12,33.90K,-1.62%
