delivery_time,-12,-9,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,3890.5,3890.5,3883.7162824724523,4247.19357935165,4243.680141843971,4243.680141843971,4243.680141843971,4243.680141843971,4243.680141843971,4243.680141843971,4243.680141843971,4243.680141843971,4243.680141843971,4243.680141843971,4243.680141843971,4243.680141843971,4243.680141843971,4243.680141843971,4243.680141843971,4243.680141843971,4243.680141843971,4243.680141843971,4243.680141843971,4243.680141843971,4243.680141843971,4243.680141843971,4243.680141843971,4243.680141843971
1,3927.5,3927.5,3949.665178737719,4225.567499984792,4299.796730598297,4668.243779300396,4668.243779300396,4668.243779300396,4668.243779300396,4668.243779300396,4668.243779300396,4668.243779300396,4668.243779300396,4668.243779300396,4668.243779300396,4668.243779300396,4668.243779300396,4668.243779300396,4668.243779300396,4668.243779300396,4668.243779300396,4668.243779300396,4668.243779300396,4668.243779300396,4668.243779300396,4668.243779300396,4668.243779300396,4668.243779300396
2,3929.5,3929.5,3889.1869044338714,4188.64486151272,4150.948702365478,4864.503758057842,4172.768390386016,4172.768390386016,4172.768390386016,4172.768390386016,4172.768390386016,4172.768390386016,4172.768390386016,4172.768390386016,4172.768390386016,4172.768390386016,4172.768390386016,4172.768390386016,4172.768390386016,4172.768390386016,4172.768390386016,4172.768390386016,4172.768390386016,4172.768390386016,4172.768390386016,4172.768390386016,4172.768390386016,4172.768390386016
3,3890.2,3890.2,4076.128116372476,4059.3622639341474,4012.636010210586,4667.46972430174,4080.44361138569,3984.6018109380657,3984.6018109380657,3984.6018109380657,3984.6018109380657,3984.6018109380657,3984.6018109380657,3984.6018109380657,3984.6018109380657,3984.6018109380657,3984.6018109380657,3984.6018109380657,3984.6018109380657,3984.6018109380657,3984.6018109380657,3984.6018109380657,3984.6018109380657,3984.6018109380657,3984.6018109380657,3984.6018109380657,3984.6018109380657,3984.6018109380657
4,3919.1,3919.1,4038.1572913790283,4161.999577578267,3973.141314378934,4310.656137458856,3712.596444947742,3937.5373799288604,4181.449639546859,4181.449639546859,4181.449639546859,4181.449639546859,4181.449639546859,4181.449639546859,4181.449639546859,4181.449639546859,4181.449639546859,4181.449639546859,4181.449639546859,4181.449639546859,4181.449639546859,4181.449639546859,4181.449639546859,4181.449639546859,4181.449639546859,4181.449639546859,4181.449639546859,4181.449639546859
5,4090.7,4090.7,4357.717552200304,4324.642862302866,4303.163384154889,4572.89911971853,3819.341875212886,4007.6540682574405,4491.301015339738,4923.883592644978,4923.883592644978,4923.883592644978,4923.883592644978,4923.883592644978,4923.883592644978,4923.883592644978,4923.883592644978,4923.883592644978,4923.883592644978,4923.883592644978,4923.883592644978,4923.883592644978,4923.883592644978,4923.883592644978,4923.883592644978,4923.883592644978,4923.883592644978,4923.883592644978
6,4145.6,4145.6,4242.4360541132955,4355.531950082141,4311.502945041794,4710.984322602591,4170.188804305144,3787.5075995821066,4360.377766620974,4942.671716329114,5495.461580381472,5495.461580381472,5495.461580381472,5495.461580381472,5495.461580381472,5495.461580381472,5495.461580381472,5495.461580381472,5495.461580381472,5495.461580381472,5495.461580381472,5495.461580381472,5495.461580381472,5495.461580381472,5495.461580381472,5495.461580381472,5495.461580381472,5495.461580381472
7,3669.6,3669.6,3669.6,3872.493541321936,3713.3910873454793,3871.7809033863523,3742.7750700885495,4004.2649135891998,3890.8426562377163,4436.575067312716,4959.628222142427,4957.134394463668,4957.134394463668,4957.134394463668,4957.134394463668,4957.134394463668,4957.134394463668,4957.134394463668,4957.134394463668,4957.134394463668,4957.134394463668,4957.134394463668,4957.134394463668,4957.134394463668,4957.134394463668,4957.134394463668,4957.134394463668,4957.134394463668
8,3443.5,3443.5,3443.5,3443.5,3548.1888676549625,3828.7454004551896,3565.4480237264775,3440.0807025237414,3864.7209732375595,4052.581978707873,4655.212498142146,4568.998911626943,4638.030512168543,4638.030512168543,4638.030512168543,4638.030512168543,4638.030512168543,4638.030512168543,4638.030512168543,4638.030512168543,4638.030512168543,4638.030512168543,4638.030512168543,4638.030512168543,4638.030512168543,4638.030512168543,4638.030512168543,4638.030512168543
9,3367.9,3367.9,3367.9,3367.9,3367.9,3476.8502730477335,3798.023876185216,3401.539773991687,3525.295729978672,3782.0386732447923,4280.595396404946,4362.857048583155,4339.825589031191,3934.050168476226,3934.050168476226,3934.050168476226,3934.050168476226,3934.050168476226,3934.050168476226,3934.050168476226,3934.050168476226,3934.050168476226,3934.050168476226,3934.050168476226,3934.050168476226,3934.050168476226,3934.050168476226,3934.050168476226
