delivery_time,-12,-9,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,34849.3,34849.3,35350.673467569424,35290.30521072839,34908.15941275822,34908.15941275822,34908.15941275822,34908.15941275822,34908.15941275822,34908.15941275822,34908.15941275822,34908.15941275822,34908.15941275822,34908.15941275822,34908.15941275822,34908.15941275822,34908.15941275822,34908.15941275822,34908.15941275822,34908.15941275822,34908.15941275822,34908.15941275822,34908.15941275822,34908.15941275822,34908.15941275822,34908.15941275822,34908.15941275822,34908.15941275822
1,32298.499999999996,32298.499999999996,32596.684654482255,32504.10391369377,32391.742066560448,32815.590067720084,32815.590067720084,32815.590067720084,32815.590067720084,32815.590067720084,32815.590067720084,32815.590067720084,32815.590067720084,32815.590067720084,32815.590067720084,32815.590067720084,32815.590067720084,32815.590067720084,32815.590067720084,32815.590067720084,32815.590067720084,32815.590067720084,32815.590067720084,32815.590067720084,32815.590067720084,32815.590067720084,32815.590067720084,32815.590067720084
2,30599.000000000004,30599.000000000004,30779.03038405029,30771.958410444353,30536.989633390036,30949.21090347559,31161.685573685576,31161.685573685576,31161.685573685576,31161.685573685576,31161.685573685576,31161.685573685576,31161.685573685576,31161.685573685576,31161.685573685576,31161.685573685576,31161.685573685576,31161.685573685576,31161.685573685576,31161.685573685576,31161.685573685576,31161.685573685576,31161.685573685576,31161.685573685576,31161.685573685576,31161.685573685576,31161.685573685576,31161.685573685576
3,29451.5,29451.5,29907.50162948139,29696.104775879994,29459.63928466761,29501.904133009128,29821.41338484507,29919.272474942176,29919.272474942176,29919.272474942176,29919.272474942176,29919.272474942176,29919.272474942176,29919.272474942176,29919.272474942176,29919.272474942176,29919.272474942176,29919.272474942176,29919.272474942176,29919.272474942176,29919.272474942176,29919.272474942176,29919.272474942176,29919.272474942176,29919.272474942176,29919.272474942176,29919.272474942176,29919.272474942176
4,28798.799999999996,28798.799999999996,28888.77697785076,29127.869076151284,28903.238965220688,28874.69197546319,28966.150718896664,29052.275219661766,29192.869770368034,29192.869770368034,29192.869770368034,29192.869770368034,29192.869770368034,29192.869770368034,29192.869770368034,29192.869770368034,29192.869770368034,29192.869770368034,29192.869770368034,29192.869770368034,29192.869770368034,29192.869770368034,29192.869770368034,29192.869770368034,29192.869770368034,29192.869770368034,29192.869770368034,29192.869770368034
5,28892.200000000004,28892.200000000004,28974.504938197228,28970.581191598023,29251.700889194486,29252.535974287464,28991.200702080023,29332.942347439755,29375.719875371866,29221.363382541724,29221.363382541724,29221.363382541724,29221.363382541724,29221.363382541724,29221.363382541724,29221.363382541724,29221.363382541724,29221.363382541724,29221.363382541724,29221.363382541724,29221.363382541724,29221.363382541724,29221.363382541724,29221.363382541724,29221.363382541724,29221.363382541724,29221.363382541724,29221.363382541724
6,30637.199999999997,30637.199999999997,30470.611376184996,30211.984855456823,30327.87181048281,30528.86713391755,30285.18709017311,30087.7855053464,30258.882528137146,30329.87652826294,29934.911287083694,29934.911287083694,29934.911287083694,29934.911287083694,29934.911287083694,29934.911287083694,29934.911287083694,29934.911287083694,29934.911287083694,29934.911287083694,29934.911287083694,29934.911287083694,29934.911287083694,29934.911287083694,29934.911287083694,29934.911287083694,29934.911287083694,29934.911287083694
7,32690.1,32690.1,32690.1,32289.026924695125,31935.055659925714,32388.476584265984,32420.419772652305,32478.027007305896,32300.249422334542,31973.625060378487,32011.326785962785,32143.4350786636,32143.4350786636,32143.4350786636,32143.4350786636,32143.4350786636,32143.4350786636,32143.4350786636,32143.4350786636,32143.4350786636,32143.4350786636,32143.4350786636,32143.4350786636,32143.4350786636,32143.4350786636,32143.4350786636,32143.4350786636,32143.4350786636
8,34947.8,34947.8,34947.8,34947.8,34651.1525704842,34285.927744929024,34664.25535843436,34660.98262861636,34671.07798661288,34450.82347930833,34347.79055347637,34574.95658768591,34712.775424960295,34712.775424960295,34712.775424960295,34712.775424960295,34712.775424960295,34712.775424960295,34712.775424960295,34712.775424960295,34712.775424960295,34712.775424960295,34712.775424960295,34712.775424960295,34712.775424960295,34712.775424960295,34712.775424960295,34712.775424960295
9,37256.0,37256.0,37256.0,37256.0,37256.0,37007.802764981825,36651.82019618637,37047.70543633459,37093.090314543784,37135.73763660726,36852.99226224579,36795.34040819081,36969.52805980971,36229.87881325903,36229.87881325903,36229.87881325903,36229.87881325903,36229.87881325903,36229.87881325903,36229.87881325903,36229.87881325903,36229.87881325903,36229.87881325903,36229.87881325903,36229.87881325903,36229.87881325903,36229.87881325903,36229.87881325903
10,39270.700000000004,39270.700000000004,39270.700000000004,39270.700000000004,39270.700000000004,39270.700000000004,39065.21780326814,39301.17050388578,39189.68434467542,39308.06527581743,39059.76030716036,39007.20245672813,39116.913867558076,38574.53656837823,39373.605502869985,39373.605502869985,39373.605502869985,39373.605502869985,39373.605502869985,39373.605502869985,39373.605502869985,39373.605502869985,39373.605502869985,39373.605502869985,39373.605502869985,39373.605502869985,39373.605502869985,39373.605502869985
11,40415.5,40415.5,40415.5,40415.5,40415.5,40415.5,40415.5,40537.031544666104,40796.83768382794,40719.987436910014,40406.389409640964,40363.22895379652,40402.2665837805,39693.34969613219,40488.791825327484,40139.71412974251,40139.71412974251,40139.71412974251,40139.71412974251,40139.71412974251,40139.71412974251,40139.71412974251,40139.71412974251,40139.71412974251,40139.71412974251,40139.71412974251,40139.71412974251,40139.71412974251
12,41476.899999999994,41476.899999999994,41476.899999999994,41476.899999999994,41476.899999999994,41476.899999999994,41476.899999999994,41476.899999999994,41520.35201769566,41845.54671666683,41725.64910177466,41454.23915048965,41388.527379341765,40829.45968729902,41736.349528816536,41349.59095522096,41508.936105994886,41508.936105994886,41508.936105994886,41508.936105994886,41508.936105994886,41508.936105994886,41508.936105994886,41508.936105994886,41508.936105994886,41508.936105994886,41508.936105994886,41508.936105994886
13,42331.100000000006,42331.100000000006,42331.100000000006,42331.100000000006,42331.100000000006,42331.100000000006,42331.100000000006,42331.100000000006,42331.100000000006,42162.549087099185,42347.421555101624,42229.55422385227,42359.60282081198,41460.93607453981,42352.69898146979,42058.34901094214,42195.656353445964,42392.11340443932,42392.11340443932,42392.11340443932,42392.11340443932,42392.11340443932,42392.11340443932,42392.11340443932,42392.11340443932,42392.11340443932,42392.11340443932,42392.11340443932
14,42739.3,42739.3,42739.3,42739.3,42739.3,42739.3,42739.3,42739.3,42739.3,42739.3,42536.344528402486,42606.70813137653,42678.6943671047,42166.50519611923,42804.72074884024,42293.01722498189,42836.10498024308,42663.0384368755,42903.607575757575,42903.607575757575,42903.607575757575,42903.607575757575,42903.607575757575,42903.607575757575,42903.607575757575,42903.607575757575,42903.607575757575,42903.607575757575
15,42947.0,42947.0,42947.0,42947.0,42947.0,42947.0,42947.0,42947.0,42947.0,42947.0,42947.0,43110.21382321883,43010.11999275684,42817.825349532664,43274.166627347346,42511.463932026396,42927.26305631231,43104.5452627226,43246.27372591165,43454.243219398355,43454.243219398355,43454.243219398355,43454.243219398355,43454.243219398355,43454.243219398355,43454.243219398355,43454.243219398355,43454.243219398355
16,43367.2,43367.2,43367.2,43367.2,43367.2,43367.2,43367.2,43367.2,43367.2,43367.2,43367.2,43367.2,43558.682302597386,42879.24141269548,43431.44736234623,43133.62828055649,43165.820582853055,43164.636920250035,43899.61619704029,43803.62819159418,43664.575085714285,43664.575085714285,43664.575085714285,43664.575085714285,43664.575085714285,43664.575085714285,43664.575085714285,43664.575085714285
17,43103.09999999999,43103.09999999999,43103.09999999999,43103.09999999999,43103.09999999999,43103.09999999999,43103.09999999999,43103.09999999999,43103.09999999999,43103.09999999999,43103.09999999999,43103.09999999999,43103.09999999999,42608.53437682413,42919.549364263105,42860.614695114076,43071.50487140418,42885.49208118785,43140.39165041343,43552.51934225944,43158.20550340528,43176.39628160072,43176.39628160072,43176.39628160072,43176.39628160072,43176.39628160072,43176.39628160072,43176.39628160072
18,41687.6,41687.6,41687.6,41687.6,41687.6,41687.6,41687.6,41687.6,41687.6,41687.6,41687.6,41687.6,41687.6,41687.6,41814.251335507666,41340.43342775271,41551.75154502845,41738.42072290484,41631.07413711173,41715.31501015339,41810.76956378015,41556.2466682289,41899.52295526434,41899.52295526434,41899.52295526434,41899.52295526434,41899.52295526434,41899.52295526434
19,40865.3,40865.3,40865.3,40865.3,40865.3,40865.3,40865.3,40865.3,40865.3,40865.3,40865.3,40865.3,40865.3,40865.3,40865.3,40732.04185682901,40468.34853406307,40563.98767566678,41128.23426948269,40937.19759294762,40623.755013129616,40887.80848366934,40790.94140103794,40926.1473352999,40926.1473352999,40926.1473352999,40926.1473352999,40926.1473352999
