delivery_time,-12,-9,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,356.29999999999995,356.29999999999995,57.42988227418283,244.13233135751105,651.5199999999999,651.5199999999999,651.5199999999999,651.5199999999999,651.5199999999999,651.5199999999999,651.5199999999999,651.5199999999999,651.5199999999999,651.5199999999999,651.5199999999999,651.5199999999999,651.5199999999999,651.5199999999999,651.5199999999999,651.5199999999999,651.5199999999999,651.5199999999999,651.5199999999999,651.5199999999999,651.5199999999999,651.5199999999999,651.5199999999999,651.5199999999999
1,356.29999999999995,356.29999999999995,624.0897998806638,0.0,809.1067805161562,1200.1684210526314,1200.1684210526314,1200.1684210526314,1200.1684210526314,1200.1684210526314,1200.1684210526314,1200.1684210526314,1200.1684210526314,1200.1684210526314,1200.1684210526314,1200.1684210526314,1200.1684210526314,1200.1684210526314,1200.1684210526314,1200.1684210526314,1200.1684210526314,1200.1684210526314,1200.1684210526314,1200.1684210526314,1200.1684210526314,1200.1684210526314,1200.1684210526314,1200.1684210526314
2,344.09999999999997,344.09999999999997,127.95709646568663,684.299559243778,0.0,736.1892409108674,974.9499999999999,974.9499999999999,974.9499999999999,974.9499999999999,974.9499999999999,974.9499999999999,974.9499999999999,974.9499999999999,974.9499999999999,974.9499999999999,974.9499999999999,974.9499999999999,974.9499999999999,974.9499999999999,974.9499999999999,974.9499999999999,974.9499999999999,974.9499999999999,974.9499999999999,974.9499999999999,974.9499999999999,974.9499999999999
3,344.09999999999997,344.09999999999997,522.0654103511838,231.6066894287137,988.0682289356258,280.59844300689974,156.34167931022927,710.3999999999999,710.3999999999999,710.3999999999999,710.3999999999999,710.3999999999999,710.3999999999999,710.3999999999999,710.3999999999999,710.3999999999999,710.3999999999999,710.3999999999999,710.3999999999999,710.3999999999999,710.3999999999999,710.3999999999999,710.3999999999999,710.3999999999999,710.3999999999999,710.3999999999999,710.3999999999999,710.3999999999999
4,331.29999999999995,331.29999999999995,0.0,491.5305912894326,707.7802247025274,1758.1951535514543,173.12431304600102,0.0,560.6615384615384,560.6615384615384,560.6615384615384,560.6615384615384,560.6615384615384,560.6615384615384,560.6615384615384,560.6615384615384,560.6615384615384,560.6615384615384,560.6615384615384,560.6615384615384,560.6615384615384,560.6615384615384,560.6615384615384,560.6615384615384,560.6615384615384,560.6615384615384,560.6615384615384,560.6615384615384
5,356.29999999999995,356.29999999999995,0.0,0.0,1379.1342497107348,694.5534212109409,2112.745846271213,0.0,0.0,783.86,783.86,783.86,783.86,783.86,783.86,783.86,783.86,783.86,783.86,783.86,783.86,783.86,783.86,783.86,783.86,783.86,783.86,783.86
6,395.2,395.2,0.0,175.75883493059018,0.0,405.98669061296323,1262.5098191224847,3102.4268799745355,0.0,0.0,831.9999999999999,831.9999999999999,831.9999999999999,831.9999999999999,831.9999999999999,831.9999999999999,831.9999999999999,831.9999999999999,831.9999999999999,831.9999999999999,831.9999999999999,831.9999999999999,831.9999999999999,831.9999999999999,831.9999999999999,831.9999999999999,831.9999999999999,831.9999999999999
7,362.70000000000005,362.70000000000005,362.70000000000005,0.0,973.6485117218585,0.0,2137.2210495016666,0.0,4633.770808293591,0.0,0.0,1329.9,1329.9,1329.9,1329.9,1329.9,1329.9,1329.9,1329.9,1329.9,1329.9,1329.9,1329.9,1329.9,1329.9,1329.9,1329.9,1329.9
8,1169.7,1169.7,1169.7,1169.7,611.6182145283328,0.0,0.0,2862.5947676530996,1167.0405178050103,2517.3449356189885,0.0,0.0,754.6451612903226,754.6451612903226,754.6451612903226,754.6451612903226,754.6451612903226,754.6451612903226,754.6451612903226,754.6451612903226,754.6451612903226,754.6451612903226,754.6451612903226,754.6451612903226,754.6451612903226,754.6451612903226,754.6451612903226,754.6451612903226
9,6138.700000000001,6138.700000000001,6138.700000000001,6138.700000000001,6138.700000000001,4770.4550018003165,4225.763407507974,4164.6201283127375,4996.631258889076,4911.584963245052,4479.578563659689,4330.331779434078,4675.201806051997,2049.0097693351427,2049.0097693351427,2049.0097693351427,2049.0097693351427,2049.0097693351427,2049.0097693351427,2049.0097693351427,2049.0097693351427,2049.0097693351427,2049.0097693351427,2049.0097693351427,2049.0097693351427,2049.0097693351427,2049.0097693351427,2049.0097693351427
10,12758.0,12758.0,12758.0,12758.0,12758.0,12758.0,12397.854836590845,12277.636658473828,12344.414596585084,12669.940625303505,12914.978840795715,12212.293634748634,12216.732236528711,10138.407931875312,10178.874030789975,10178.874030789975,10178.874030789975,10178.874030789975,10178.874030789975,10178.874030789975,10178.874030789975,10178.874030789975,10178.874030789975,10178.874030789975,10178.874030789975,10178.874030789975,10178.874030789975,10178.874030789975
11,15803.099999999999,15803.099999999999,15803.099999999999,15803.099999999999,15803.099999999999,15803.099999999999,15803.099999999999,15485.789787133484,15492.599322357584,15333.971332484301,15796.924287692282,15855.57551595071,15436.722513600502,14693.256325870063,14615.133111783398,15464.80733944954,15464.80733944954,15464.80733944954,15464.80733944954,15464.80733944954,15464.80733944954,15464.80733944954,15464.80733944954,15464.80733944954,15464.80733944954,15464.80733944954,15464.80733944954,15464.80733944954
