delivery_time,-12,-9,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,6665.1,6665.1,7246.222466421434,8431.944108082167,7657.976621525303,7657.976621525303,7657.976621525303,7657.976621525303,7657.976621525303,7657.976621525303,7657.976621525303,7657.976621525303,7657.976621525303,7657.976621525303,7657.976621525303,7657.976621525303,7657.976621525303,7657.976621525303,7657.976621525303,7657.976621525303,7657.976621525303,7657.976621525303,7657.976621525303,7657.976621525303,7657.976621525303,7657.976621525303,7657.976621525303,7657.976621525303
1,6434.8,6434.8,7047.579663399848,7844.3450226055875,7304.563893949615,6990.504023552502,6990.504023552502,6990.504023552502,6990.504023552502,6990.504023552502,6990.504023552502,6990.504023552502,6990.504023552502,6990.504023552502,6990.504023552502,6990.504023552502,6990.504023552502,6990.504023552502,6990.504023552502,6990.504023552502,6990.504023552502,6990.504023552502,6990.504023552502,6990.504023552502,6990.504023552502,6990.504023552502,6990.504023552502,6990.504023552502
2,6196.2,6196.2,6655.05150583459,7385.046692381355,6706.961220205056,6636.225957609195,6747.178539493293,6747.178539493293,6747.178539493293,6747.178539493293,6747.178539493293,6747.178539493293,6747.178539493293,6747.178539493293,6747.178539493293,6747.178539493293,6747.178539493293,6747.178539493293,6747.178539493293,6747.178539493293,6747.178539493293,6747.178539493293,6747.178539493293,6747.178539493293,6747.178539493293,6747.178539493293,6747.178539493293,6747.178539493293
3,6016.5,6016.5,6587.520517076045,7035.907235460118,6525.5325750555485,6595.166260672951,6841.164938894153,6494.601101494885,6494.601101494885,6494.601101494885,6494.601101494885,6494.601101494885,6494.601101494885,6494.601101494885,6494.601101494885,6494.601101494885,6494.601101494885,6494.601101494885,6494.601101494885,6494.601101494885,6494.601101494885,6494.601101494885,6494.601101494885,6494.601101494885,6494.601101494885,6494.601101494885,6494.601101494885,6494.601101494885
4,5848.0,5848.0,6336.71996647318,6838.892836378566,6303.851440575518,5863.66626818333,6471.089788822025,6396.590010795037,6894.2770611329215,6894.2770611329215,6894.2770611329215,6894.2770611329215,6894.2770611329215,6894.2770611329215,6894.2770611329215,6894.2770611329215,6894.2770611329215,6894.2770611329215,6894.2770611329215,6894.2770611329215,6894.2770611329215,6894.2770611329215,6894.2770611329215,6894.2770611329215,6894.2770611329215,6894.2770611329215,6894.2770611329215,6894.2770611329215
5,5795.0,5795.0,6254.811224851621,6633.560159105587,6393.805571295163,6018.023073192841,6057.113483636956,6083.419522540413,6881.170785303607,6645.251396648045,6645.251396648045,6645.251396648045,6645.251396648045,6645.251396648045,6645.251396648045,6645.251396648045,6645.251396648045,6645.251396648045,6645.251396648045,6645.251396648045,6645.251396648045,6645.251396648045,6645.251396648045,6645.251396648045,6645.251396648045,6645.251396648045,6645.251396648045,6645.251396648045
6,5991.2,5991.2,6361.927188628383,6653.312872767745,6398.362332217217,6613.244813642512,6840.396371704496,6042.6143589342755,7023.107292599608,6639.192760644117,7442.620036429872,7442.620036429872,7442.620036429872,7442.620036429872,7442.620036429872,7442.620036429872,7442.620036429872,7442.620036429872,7442.620036429872,7442.620036429872,7442.620036429872,7442.620036429872,7442.620036429872,7442.620036429872,7442.620036429872,7442.620036429872,7442.620036429872,7442.620036429872
7,5868.8,5868.8,5868.8,6526.130594269772,6216.090161691816,6047.035839386231,6655.92483870589,6694.558827377524,6811.5351184666,6539.100614102781,7348.386317436641,7817.72607879925,7817.72607879925,7817.72607879925,7817.72607879925,7817.72607879925,7817.72607879925,7817.72607879925,7817.72607879925,7817.72607879925,7817.72607879925,7817.72607879925,7817.72607879925,7817.72607879925,7817.72607879925,7817.72607879925,7817.72607879925,7817.72607879925
8,5957.4,5957.4,5957.4,5957.4,6245.337229828718,6271.9545735668635,6442.283082423645,6109.039772194296,6983.29815759717,6531.098956347464,7312.269754504157,7696.914293114974,8299.592769528728,8299.592769528728,8299.592769528728,8299.592769528728,8299.592769528728,8299.592769528728,8299.592769528728,8299.592769528728,8299.592769528728,8299.592769528728,8299.592769528728,8299.592769528728,8299.592769528728,8299.592769528728,8299.592769528728,8299.592769528728
9,5782.5,5782.5,5782.5,5782.5,5782.5,5609.380587440557,6428.845153019426,5913.963999257049,6381.847431644132,6069.760404944618,6914.509142609425,7330.776925531532,7928.35207799093,8475.114503816794,8475.114503816794,8475.114503816794,8475.114503816794,8475.114503816794,8475.114503816794,8475.114503816794,8475.114503816794,8475.114503816794,8475.114503816794,8475.114503816794,8475.114503816794,8475.114503816794,8475.114503816794,8475.114503816794
10,5491.2,5491.2,5491.2,5491.2,5491.2,5491.2,5287.895342899399,5736.615568037676,5733.194784530083,5646.93128157437,5875.981828087194,6781.201406432505,7393.11114274638,8046.5789299285725,8395.811583011584,8395.811583011584,8395.811583011584,8395.811583011584,8395.811583011584,8395.811583011584,8395.811583011584,8395.811583011584,8395.811583011584,8395.811583011584,8395.811583011584,8395.811583011584,8395.811583011584,8395.811583011584
11,5269.8,5269.8,5269.8,5269.8,5269.8,5269.8,5269.8,5039.336610671646,5644.646128806233,5304.760145424353,5696.25093831571,5750.048611654297,6750.447152947326,7498.054197717656,7718.874266953945,8021.664891041162,8021.664891041162,8021.664891041162,8021.664891041162,8021.664891041162,8021.664891041162,8021.664891041162,8021.664891041162,8021.664891041162,8021.664891041162,8021.664891041162,8021.664891041162,8021.664891041162
12,5070.5,5070.5,5070.5,5070.5,5070.5,5070.5,5070.5,5070.5,5153.026586427358,5091.217725047498,5381.823411266976,5525.749822094983,5811.2641889067645,6745.308871707559,7312.839064455638,7434.537095133626,6917.956792687994,6917.956792687994,6917.956792687994,6917.956792687994,6917.956792687994,6917.956792687994,6917.956792687994,6917.956792687994,6917.956792687994,6917.956792687994,6917.956792687994,6917.956792687994
13,4894.1,4894.1,4894.1,4894.1,4894.1,4894.1,4894.1,4894.1,4894.1,4710.128571230072,5196.225898808894,5546.709834647768,5814.743658356516,5863.451277472346,6506.788555908424,7047.496233108056,6308.937419640752,6259.6143209876545,6259.6143209876545,6259.6143209876545,6259.6143209876545,6259.6143209876545,6259.6143209876545,6259.6143209876545,6259.6143209876545,6259.6143209876545,6259.6143209876545,6259.6143209876545
14,4765.7,4765.7,4765.7,4765.7,4765.7,4765.7,4765.7,4765.7,4765.7,4765.7,5038.68844659566,5166.287453670306,5792.487807887206,5861.021250490489,5847.3442484858115,6365.13499217953,6168.040177423157,5946.029078334946,5099.20033126294,5099.20033126294,5099.20033126294,5099.20033126294,5099.20033126294,5099.20033126294,5099.20033126294,5099.20033126294,5099.20033126294,5099.20033126294
15,4624.9,4624.9,4624.9,4624.9,4624.9,4624.9,4624.9,4624.9,4624.9,4624.9,4624.9,5051.161947589163,5435.632261409811,5817.477235891694,5766.241478817844,5820.357266296584,5634.8726354531955,5884.87253470393,4739.626261133221,4272.750253807107,4272.750253807107,4272.750253807107,4272.750253807107,4272.750253807107,4272.750253807107,4272.750253807107,4272.750253807107,4272.750253807107
16,4515.2,4515.2,4515.2,4515.2,4515.2,4515.2,4515.2,4515.2,4515.2,4515.2,4515.2,4515.2,5267.73747104766,5374.474892316586,5728.732232810909,5699.5565036413445,5282.70064585884,5574.307813463932,4806.570792987157,3982.158699849162,3601.2235294117645,3601.2235294117645,3601.2235294117645,3601.2235294117645,3601.2235294117645,3601.2235294117645,3601.2235294117645,3601.2235294117645
17,4713.2,4713.2,4713.2,4713.2,4713.2,4713.2,4713.2,4713.2,4713.2,4713.2,4713.2,4713.2,4713.2,5466.729407537356,5482.052799129859,5935.993151697796,5495.829171821718,5355.338400636661,5008.893277445901,4300.682059209467,3491.7363584285954,3731.5272877846787,3731.5272877846787,3731.5272877846787,3731.5272877846787,3731.5272877846787,3731.5272877846787,3731.5272877846787
18,5194.7,5194.7,5194.7,5194.7,5194.7,5194.7,5194.7,5194.7,5194.7,5194.7,5194.7,5194.7,5194.7,5194.7,5898.444250695756,5880.207976929186,5941.646654100897,5742.979601997851,4917.6860849221775,5048.850715112204,4050.63617081048,3900.309980811132,3930.9176297386825,3930.9176297386825,3930.9176297386825,3930.9176297386825,3930.9176297386825,3930.9176297386825
19,5440.3,5440.3,5440.3,5440.3,5440.3,5440.3,5440.3,5440.3,5440.3,5440.3,5440.3,5440.3,5440.3,5440.3,5440.3,6137.689087011442,5740.575226896254,6017.451237782109,5264.099184168596,4596.637210142001,4847.080325649781,4279.93972718174,4029.6136593989204,4946.063831235114,4946.063831235114,4946.063831235114,4946.063831235114,4946.063831235114
20,5645.6,5645.6,5645.6,5645.6,5645.6,5645.6,5645.6,5645.6,5645.6,5645.6,5645.6,5645.6,5645.6,5645.6,5645.6,5645.6,6040.492872385159,5812.838296076347,5568.474398727489,4946.2339145532,4393.128148899144,5128.184178454105,4424.731880095893,5365.577168091939,4760.532621747832,4760.532621747832,4760.532621747832,4760.532621747832
