delivery_time,-12,-9,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,27362.6,27362.6,27479.830943450826,27563.79038427571,27651.92546368521,27651.92546368521,27651.92546368521,27651.92546368521,27651.92546368521,27651.92546368521,27651.92546368521,27651.92546368521,27651.92546368521,27651.92546368521,27651.92546368521,27651.92546368521,27651.92546368521,27651.92546368521,27651.92546368521,27651.92546368521,27651.92546368521,27651.92546368521,27651.92546368521,27651.92546368521,27651.92546368521,27651.92546368521,27651.92546368521,27651.92546368521
1,25591.7,25591.7,25520.658647560398,25617.70085598358,25757.611744449412,25450.54142316634,25450.54142316634,25450.54142316634,25450.54142316634,25450.54142316634,25450.54142316634,25450.54142316634,25450.54142316634,25450.54142316634,25450.54142316634,25450.54142316634,25450.54142316634,25450.54142316634,25450.54142316634,25450.54142316634,25450.54142316634,25450.54142316634,25450.54142316634,25450.54142316634,25450.54142316634,25450.54142316634,25450.54142316634,25450.54142316634
2,24545.0,24545.0,24903.826384974152,24664.09848042957,24898.186575426855,24792.31062137719,24587.98598949212,24587.98598949212,24587.98598949212,24587.98598949212,24587.98598949212,24587.98598949212,24587.98598949212,24587.98598949212,24587.98598949212,24587.98598949212,24587.98598949212,24587.98598949212,24587.98598949212,24587.98598949212,24587.98598949212,24587.98598949212,24587.98598949212,24587.98598949212,24587.98598949212,24587.98598949212,24587.98598949212,24587.98598949212
3,24452.100000000002,24452.100000000002,24694.49410289424,24894.202800316743,24721.00825777779,24548.932121662066,24482.52813768341,24508.833410672854,24508.833410672854,24508.833410672854,24508.833410672854,24508.833410672854,24508.833410672854,24508.833410672854,24508.833410672854,24508.833410672854,24508.833410672854,24508.833410672854,24508.833410672854,24508.833410672854,24508.833410672854,24508.833410672854,24508.833410672854,24508.833410672854,24508.833410672854,24508.833410672854,24508.833410672854,24508.833410672854
4,24272.7,24272.7,24682.34854355464,24644.59502593356,24816.408025316505,23969.1082968584,24221.83814028864,24270.193726827918,24229.18494083901,24229.18494083901,24229.18494083901,24229.18494083901,24229.18494083901,24229.18494083901,24229.18494083901,24229.18494083901,24229.18494083901,24229.18494083901,24229.18494083901,24229.18494083901,24229.18494083901,24229.18494083901,24229.18494083901,24229.18494083901,24229.18494083901,24229.18494083901,24229.18494083901,24229.18494083901
5,23396.300000000003,23396.300000000003,23766.063572565297,23871.001936151028,23909.507816339697,23350.960392060188,23129.91398361237,23199.674811228175,23667.037892003314,23638.679285751474,23638.679285751474,23638.679285751474,23638.679285751474,23638.679285751474,23638.679285751474,23638.679285751474,23638.679285751474,23638.679285751474,23638.679285751474,23638.679285751474,23638.679285751474,23638.679285751474,23638.679285751474,23638.679285751474,23638.679285751474,23638.679285751474,23638.679285751474,23638.679285751474
6,23959.800000000003,23959.800000000003,24178.08467635812,24201.85692444281,24279.716179188534,23765.6023248575,24095.13723153407,23790.969883249527,23680.092919836483,24056.73100500054,23606.945510329315,23606.945510329315,23606.945510329315,23606.945510329315,23606.945510329315,23606.945510329315,23606.945510329315,23606.945510329315,23606.945510329315,23606.945510329315,23606.945510329315,23606.945510329315,23606.945510329315,23606.945510329315,23606.945510329315,23606.945510329315,23606.945510329315,23606.945510329315
7,25155.5,25155.5,25155.5,25160.35349014519,25185.082002544932,25210.760422681058,24791.129848347595,25088.5142643072,25002.43770748441,24867.83735133454,24818.43478922035,24691.109923286316,24691.109923286316,24691.109923286316,24691.109923286316,24691.109923286316,24691.109923286316,24691.109923286316,24691.109923286316,24691.109923286316,24691.109923286316,24691.109923286316,24691.109923286316,24691.109923286316,24691.109923286316,24691.109923286316,24691.109923286316,24691.109923286316
8,26399.499999999996,26399.499999999996,26399.499999999996,26399.499999999996,26330.714211850696,25998.677253517286,26336.78182066156,25967.960967595005,26400.348285890115,26398.875934994667,26020.09691280283,26145.159920983817,26229.44661331251,26229.44661331251,26229.44661331251,26229.44661331251,26229.44661331251,26229.44661331251,26229.44661331251,26229.44661331251,26229.44661331251,26229.44661331251,26229.44661331251,26229.44661331251,26229.44661331251,26229.44661331251,26229.44661331251,26229.44661331251
9,29632.4,29632.4,29632.4,29632.4,29632.4,29417.8992375485,29057.30456091037,29281.133511048287,29433.10323988163,29554.6671104456,29182.054757649752,29121.38845949993,29094.134048456584,29236.175747828886,29236.175747828886,29236.175747828886,29236.175747828886,29236.175747828886,29236.175747828886,29236.175747828886,29236.175747828886,29236.175747828886,29236.175747828886,29236.175747828886,29236.175747828886,29236.175747828886,29236.175747828886,29236.175747828886
10,31337.299999999996,31337.299999999996,31337.299999999996,31337.299999999996,31337.299999999996,31337.299999999996,31100.772517951937,30799.873711786375,31397.873899842096,31634.929968525354,31215.59373665568,30902.50291436028,30953.19817576863,30953.969705604264,31262.956172568312,31262.956172568312,31262.956172568312,31262.956172568312,31262.956172568312,31262.956172568312,31262.956172568312,31262.956172568312,31262.956172568312,31262.956172568312,31262.956172568312,31262.956172568312,31262.956172568312,31262.956172568312
11,33529.1,33529.1,33529.1,33529.1,33529.1,33529.1,33529.1,33400.885423284424,33517.17602089023,33734.25422684625,33848.745899431604,33595.192799689015,33347.23657822056,33374.75806988438,33581.910984722665,33449.196169678056,33449.196169678056,33449.196169678056,33449.196169678056,33449.196169678056,33449.196169678056,33449.196169678056,33449.196169678056,33449.196169678056,33449.196169678056,33449.196169678056,33449.196169678056,33449.196169678056
12,33915.0,33915.0,33915.0,33915.0,33915.0,33915.0,33915.0,33915.0,33495.10800968804,33853.43939189577,34078.75764475617,34098.433919048904,34254.16173803509,33825.907759170754,34078.89284083602,33896.640949564695,33707.98482734566,33707.98482734566,33707.98482734566,33707.98482734566,33707.98482734566,33707.98482734566,33707.98482734566,33707.98482734566,33707.98482734566,33707.98482734566,33707.98482734566,33707.98482734566
13,34292.1,34292.1,34292.1,34292.1,34292.1,34292.1,34292.1,34292.1,34292.1,33916.59121370397,34169.29240117888,34264.05643672627,34576.59982616107,34414.24325989285,34335.36597371945,34205.73796021599,33863.91642321317,33710.777936494276,33710.777936494276,33710.777936494276,33710.777936494276,33710.777936494276,33710.777936494276,33710.777936494276,33710.777936494276,33710.777936494276,33710.777936494276,33710.777936494276
14,32994.8,32994.8,32994.8,32994.8,32994.8,32994.8,32994.8,32994.8,32994.8,32994.8,32550.018933777697,32949.533088385724,33063.32714541314,33102.32967443753,33313.54423072436,32858.96371729624,32676.35410835889,32331.365448393757,32284.355827911862,32284.355827911862,32284.355827911862,32284.355827911862,32284.355827911862,32284.355827911862,32284.355827911862,32284.355827911862,32284.355827911862,32284.355827911862
15,30848.999999999996,30848.999999999996,30848.999999999996,30848.999999999996,30848.999999999996,30848.999999999996,30848.999999999996,30848.999999999996,30848.999999999996,30848.999999999996,30848.999999999996,30498.789010487795,30901.545458841814,30861.87742333425,31182.947135513532,31119.728101217654,30629.7066734376,30585.19529100713,30601.02195920583,30956.170401250645,30956.170401250645,30956.170401250645,30956.170401250645,30956.170401250645,30956.170401250645,30956.170401250645,30956.170401250645,30956.170401250645
16,28578.1,28578.1,28578.1,28578.1,28578.1,28578.1,28578.1,28578.1,28578.1,28578.1,28578.1,28578.1,28428.145949387355,28513.444000990068,28654.93201647828,28834.814964318222,28617.58597012471,28315.992212680852,28439.785781599825,28648.24186528101,28458.738878521282,28458.738878521282,28458.738878521282,28458.738878521282,28458.738878521282,28458.738878521282,28458.738878521282,28458.738878521282
17,28292.8,28292.8,28292.8,28292.8,28292.8,28292.8,28292.8,28292.8,28292.8,28292.8,28292.8,28292.8,28292.8,28116.845123590607,28400.246729809478,28443.21169670899,28393.128378480193,28282.29003026205,28129.474799146497,28467.95273354128,28349.635995196764,28926.661369614514,28926.661369614514,28926.661369614514,28926.661369614514,28926.661369614514,28926.661369614514,28926.661369614514
18,29537.0,29537.0,29537.0,29537.0,29537.0,29537.0,29537.0,29537.0,29537.0,29537.0,29537.0,29537.0,29537.0,29537.0,29454.753167468145,29606.875833380393,29419.548018686954,29458.97262684279,29489.10952087717,29500.336077807155,29384.442901249444,29615.607000565167,28926.078436328407,28926.078436328407,28926.078436328407,28926.078436328407,28926.078436328407,28926.078436328407
19,30939.399999999998,30939.399999999998,30939.399999999998,30939.399999999998,30939.399999999998,30939.399999999998,30939.399999999998,30939.399999999998,30939.399999999998,30939.399999999998,30939.399999999998,30939.399999999998,30939.399999999998,30939.399999999998,30939.399999999998,30867.07109051127,31000.369272129312,30919.904722476902,30992.39825977779,31147.852574148525,30775.88605362297,31094.147437421914,30915.881519159113,31075.52403979547,31075.52403979547,31075.52403979547,31075.52403979547,31075.52403979547
20,32559.199999999997,32559.199999999997,32559.199999999997,32559.199999999997,32559.199999999997,32559.199999999997,32559.199999999997,32559.199999999997,32559.199999999997,32559.199999999997,32559.199999999997,32559.199999999997,32559.199999999997,32559.199999999997,32559.199999999997,32559.199999999997,32396.605504515603,32632.64418252198,32678.145960056776,32622.220158217315,32418.453242680964,32545.38774828676,32477.65843786444,32417.053552575166,32778.21091022201,32778.21091022201,32778.21091022201,32778.21091022201
21,32204.0,32204.0,32204.0,32204.0,32204.0,32204.0,32204.0,32204.0,32204.0,32204.0,32204.0,32204.0,32204.0,32204.0,32204.0,32204.0,32204.0,32193.327236105295,32372.361869176886,32083.991687922513,32169.26189198197,32188.505083007592,32290.446339838054,32311.70936986963,32418.581484173144,32689.938249632436,32689.938249632436,32689.938249632436
22,30042.8,30042.8,30042.8,30042.8,30042.8,30042.8,30042.8,30042.8,30042.8,30042.8,30042.8,30042.8,30042.8,30042.8,30042.8,30042.8,30042.8,30042.8,30202.948282760906,30404.057902191682,30335.085815831084,30300.656863061846,30194.771680381895,30097.5304834047,30310.241182319372,30355.202605260103,30574.16925170068,30574.16925170068
23,27551.7,27551.7,27551.7,27551.7,27551.7,27551.7,27551.7,27551.7,27551.7,27551.7,27551.7,27551.7,27551.7,27551.7,27551.7,27551.7,27551.7,27551.7,27551.7,27766.993265020177,27891.20981833421,27497.56611130589,27900.69384698492,27854.57584155772,27729.247650092155,27860.872394077083,28140.404455603348,28109.90756099664
