Model Version,Region,Unit,Year,Value
Go RES v1.2.0,Europe (average),€/tCO2,2018,599.26
Go RES v1.2.0,Europe (average),€/tCO2,2025,1371.84
Go RES v1.2.0,Europe (average),€/tCO2,2030,1391.74
Go RES v1.2.0,Europe (average),€/tCO2,2035,1710.47
Go RES v1.2.0,Europe (average),€/tCO2,2040,1894.35
Go RES v1.2.0,Europe (average),€/tCO2,2045,2834.91
Go RES v1.2.0,Europe (average),€/tCO2,2050,4203.72
Go RES v1.2.0,Europe (average),€/tCO2,2055,5554.44
REPowerEU++ v1.2.0,Europe (average),€/tCO2,2018,141.56
REPowerEU++ v1.2.0,Europe (average),€/tCO2,2025,222.44
REPowerEU++ v1.2.0,Europe (average),€/tCO2,2030,206.89
REPowerEU++ v1.2.0,Europe (average),€/tCO2,2035,314
REPowerEU++ v1.2.0,Europe (average),€/tCO2,2040,387.54
REPowerEU++ v1.2.0,Europe (average),€/tCO2,2045,538.46
REPowerEU++ v1.2.0,Europe (average),€/tCO2,2050,652
REPowerEU++ v1.2.0,Europe (average),€/tCO2,2055,732.1
NECPEssentials v1.2.0,Europe (average),€/tCO2,2018,175.69
NECPEssentials v1.2.0,Europe (average),€/tCO2,2025,282.56
NECPEssentials v1.2.0,Europe (average),€/tCO2,2030,303.17
NECPEssentials v1.2.0,Europe (average),€/tCO2,2035,359.92
NECPEssentials v1.2.0,Europe (average),€/tCO2,2040,436.8
NECPEssentials v1.2.0,Europe (average),€/tCO2,2045,695.59
NECPEssentials v1.2.0,Europe (average),€/tCO2,2050,698.48
NECPEssentials v1.2.0,Europe (average),€/tCO2,2055,1051.31
Trinity v1.2.0,Europe (average),€/tCO2,2018,62.91
Trinity v1.2.0,Europe (average),€/tCO2,2025,40.91
Trinity v1.2.0,Europe (average),€/tCO2,2030,38.02
Trinity v1.2.0,Europe (average),€/tCO2,2035,62.17
Trinity v1.2.0,Europe (average),€/tCO2,2040,78.82
Trinity v1.2.0,Europe (average),€/tCO2,2045,117.66
Trinity v1.2.0,Europe (average),€/tCO2,2050,144.52
Trinity v1.2.0,Europe (average),€/tCO2,2055,182.67
Go RES v1.2.0,AT,€/tCO2,2018,589.35
Go RES v1.2.0,AT,€/tCO2,2025,1371.37
Go RES v1.2.0,AT,€/tCO2,2030,1396.31
Go RES v1.2.0,AT,€/tCO2,2035,1735.14
Go RES v1.2.0,AT,€/tCO2,2040,1858.55
Go RES v1.2.0,AT,€/tCO2,2045,2928.21
Go RES v1.2.0,AT,€/tCO2,2050,3820.12
Go RES v1.2.0,AT,€/tCO2,2055,5629.67
Go RES v1.2.0,BE,€/tCO2,2018,589.34
Go RES v1.2.0,BE,€/tCO2,2025,1367.51
Go RES v1.2.0,BE,€/tCO2,2030,1386.7
Go RES v1.2.0,BE,€/tCO2,2035,1614.71
Go RES v1.2.0,BE,€/tCO2,2040,2153.93
Go RES v1.2.0,BE,€/tCO2,2045,2843.76
Go RES v1.2.0,BE,€/tCO2,2050,3910.92
Go RES v1.2.0,BE,€/tCO2,2055,5649.08
Go RES v1.2.0,BG,€/tCO2,2018,466.73
Go RES v1.2.0,BG,€/tCO2,2025,1367.09
Go RES v1.2.0,BG,€/tCO2,2030,1372.94
Go RES v1.2.0,BG,€/tCO2,2035,1656.8
Go RES v1.2.0,BG,€/tCO2,2040,2016.45
Go RES v1.2.0,BG,€/tCO2,2045,2723.57
Go RES v1.2.0,BG,€/tCO2,2050,3912.77
Go RES v1.2.0,BG,€/tCO2,2055,5584.49
Go RES v1.2.0,CH,€/tCO2,2018,589.37
Go RES v1.2.0,CH,€/tCO2,2025,1381.79
Go RES v1.2.0,CH,€/tCO2,2030,1396.38
Go RES v1.2.0,CH,€/tCO2,2035,1733.29
Go RES v1.2.0,CH,€/tCO2,2040,1941.86
