Timestep,Import_FR_MW,Import_PT_MW
0,2800.0,-643.5971991554998
1,2800.0,-643.5971991554998
2,2800.0,-1943.6551351783455
3,2800.0,-1943.6551351783455
4,2800.0,-3324.97024949825
5,2800.0,-3324.97024949825
6,2800.0,-3775.34870513125
7,2800.0,-3775.34870513125
8,2800.0,-4133.998322973999
9,2800.0,-4133.998322973999
10,2800.0,-4200.0
11,2800.0,-4200.0
12,2800.0,-4200.0
13,2800.0,-4200.0
14,2800.0,-4200.0
15,2800.0,-4200.0
16,2800.0,-4200.0
17,2800.0,-4200.0
18,2800.0,-3732.0239333314994
19,2800.0,-3732.0239333314994
20,2800.0,-3937.1009830142493
21,2800.0,-3937.1009830142493
22,2800.0,-3825.7352013122495
23,2800.0,-3825.7352013122495
24,2800.0,-3675.0448914102494
25,2800.0,-3675.0448914102494
26,2800.0,-1990.31539707925
27,2800.0,-1990.31539707925
28,2800.0,-1999.4012870765005
29,2800.0,-1999.4012870765005
30,2800.0,-3785.3371322704998
31,2800.0,-3785.3371322704998
32,2800.0,-3817.4570692487496
33,2800.0,-3817.4570692487496
34,2800.0,-4200.0
35,2800.0,-4200.0
36,2800.0,-4200.0
37,2800.0,-4200.0
38,2800.0,-4200.0
39,2800.0,-4200.0
40,2800.0,-3524.5808407175573
41,2800.0,-3524.5808407175573
42,2800.0,-3310.0900110174994
43,2800.0,-3310.0900110174994
44,2800.0,-3902.8701477779996
45,2800.0,-3902.8701477779996
46,2800.0,-3874.1096694714997
47,2800.0,-3874.1096694714997
48,2800.0,-3595.2900114192494
49,2800.0,-3595.2900114192494
50,2800.0,-3455.204244142251
51,2800.0,-3455.204244142251
52,2800.0,-3174.8768156285
53,2800.0,-3174.8768156285
54,2800.0,-3308.07701436175
55,2800.0,-3308.07701436175
56,2800.0,-3399.372881831749
57,2800.0,-3399.372881831749
58,2800.0,-3937.2745835802493
59,2800.0,-3937.2745835802493
60,2800.0,-3634.5879271537506
61,2800.0,-3634.5879271537506
62,2800.0,-3610.26632321275
63,2800.0,-3610.26632321275
64,2800.0,-3473.2489596524997
65,2800.0,-3473.2489596524997
66,2800.0,-2528.6784068004995
67,2800.0,-2528.6784068004995
68,2800.0,-2983.1612171465
69,2800.0,-2983.1612171465
70,2800.0,-2890.0650793887494
71,2800.0,-2890.0650793887494
72,2800.0,-2271.5378997797498
73,2800.0,-2271.5378997797498
74,2800.0,-2211.8853006989993
75,2800.0,-2211.8853006989993
76,2800.0,-2011.1803687260003
77,2800.0,-2011.1803687260003
78,2800.0,-1677.97394762975
79,2800.0,-1677.97394762975
80,2800.0,-1891.9647278079992
81,2800.0,-1891.9647278079992
82,2800.0,-2979.742353889
