Timestep,Import_FR_MW,Import_PT_MW
0,6820.45822667455,-495.1143437417468
1,6820.45822667455,-495.1143437417468
2,9652.894209322214,-4918.432113440216
3,9652.894209322214,-4918.432113440216
4,9470.205658107807,-4707.098191311308
5,9470.205658107807,-4707.098191311308
6,-1992.7456765691568,-815.2268355313518
7,-1992.7456765691568,-815.2268355313518
8,2928.759005071519,-1927.5233114907278
9,2928.759005071519,-1927.5233114907278
10,-7636.361900467062,-1148.971587917138
11,-7636.361900467062,-1148.971587917138
12,-9652.894209322214,-2519.453389107681
13,-9652.894209322214,-2519.453389107681
14,-9652.894209322214,-3823.0667979314203
15,-9652.894209322214,-3823.0667979314203
16,-6104.688566619578,-3307.8549217033724
17,-6104.688566619578,-3307.8549217033724
18,948.3285733443445,-4831.93392136287
19,948.3285733443445,-4831.93392136287
20,9546.757081243863,-2224.3237122063747
21,9546.757081243863,-2224.3237122063747
22,6269.353771807215,-2659.171327832655
23,6269.353771807215,-2659.171327832655
24,9652.894209322214,-2379.75600053165
25,9652.894209322214,-2379.75600053165
26,9652.894209322214,-2398.647365456938
27,9652.894209322214,-2398.647365456938
28,9652.894209322214,-3914.6895215190398
29,9652.894209322214,-3914.6895215190398
30,7118.954812131178,-4087.7255907326144
31,7118.954812131178,-4087.7255907326144
32,-7440.846704121352,-746.7978355016348
33,-7440.846704121352,-746.7978355016348
34,-9652.894209322214,-1084.1635805263213
35,-9652.894209322214,-1084.1635805263213
36,-9652.894209322214,-11798.332029053156
37,-9652.894209322214,-11798.332029053156
38,-9652.894209322214,-9410.114524132947
39,-9652.894209322214,-9410.114524132947
40,-9255.438034093557,-3156.8871820856766
41,-9255.438034093557,-3156.8871820856766
42,2640.9832537911607,-4049.848314615552
43,2640.9832537911607,-4049.848314615552
44,9652.894209322214,-3861.49405605605
45,9652.894209322214,-3861.49405605605
46,9652.894209322214,-2726.325017023466
47,9652.894209322214,-2726.325017023466
48,9652.894209322214,-5139.847627056073
49,9652.894209322214,-5139.847627056073
50,9652.894209322214,-2108.502908367249
51,9652.894209322214,-2108.502908367249
52,9652.894209322214,-4499.69315202504
53,9652.894209322214,-4499.69315202504
54,9652.894209322214,-1272.2726643444366
55,9652.894209322214,-1272.2726643444366
56,9652.894209322214,-3956.6592477279646
57,9652.894209322214,-3956.6592477279646
58,3395.9138993478537,-2298.1652426797573
59,3395.9138993478537,-2298.1652426797573
60,-6263.035635663946,-1516.983618012333
61,-6263.035635663946,-1516.983618012333
62,-7066.823818096487,-2461.6761096289683
63,-7066.823818096487,-2461.6761096289683
64,-7753.200704544364,-1815.9990562475105
65,-7753.200704544364,-1815.9990562475105
66,9652.894209322214,-3188.4068286621223
67,9652.894209322214,-3188.4068286621223
68,9652.894209322214,-4292.457135830664
69,9652.894209322214,-4292.457135830664
70,9652.894209322214,-4109.423535040243
71,9652.894209322214,-4109.423535040243
72,5985.49781601038,-3329.2022215884645
73,5985.49781601038,-3329.2022215884645
74,9652.894209322214,-3230.6809574145846
75,9652.894209322214,-3230.6809574145846
76,9652.894209322214,-1330.8325903584628
77,9652.894209322214,-1330.8325903584628
78,9652.894209322214,-1037.6419665515587
79,9652.894209322214,-1037.6419665515587
80,3727.8113645377452,756.4710342515482
81,3727.8113645377452,756.4710342515482
82,-522.6988542043491,-627.5168002555656
83,-522.6988542043491,-627.5168002555656
84,-6181.159195803686,-450.874519622972
85,-6181.159195803686,-450.874519622972
86,220.02206532391392,-1373.9682277154297
87,220.02206532391392,-1373.9682277154297
88,6472.339658060965,-897.7946538983979
89,6472.339658060965,-897.7946538983979
90,9652.894209322214,-1831.3824137276988
91,9652.894209322214,-1831.3824137276988
92,6535.5185847023595,-3805.2806060585262
93,6535.5185847023595,-3805.2806060585262
94,9652.894209322214,652.1841967678847
95,9652.894209322214,652.1841967678847
96,9444.121942320793,-3603.618077095325
97,9444.121942320793,-3603.618077095325
98,7696.662736327411,-3722.6596010444573
99,7696.662736327411,-3722.6596010444573
100,6811.871319566993,-3725.9758310203233
101,6811.871319566993,-3725.9758310203233
102,9652.894209322214,772.5582452331728
103,9652.894209322214,772.5582452331728
104,9652.894209322214,-1398.6604308197657
105,9652.894209322214,-1398.6604308197657
106,3917.74833104107,-2440.3411835291663
107,3917.74833104107,-2440.3411835291663
108,-9652.894209322214,-2487.2210534942697
109,-9652.894209322214,-2487.2210534942697
110,-9652.894209322214,-4044.73551227572
111,-9652.894209322214,-4044.73551227572
112,-9416.471795472433,-1122.4626468336755
113,-9416.471795472433,-1122.4626468336755
114,-1111.2077026611769,-449.4617122691998
115,-1111.2077026611769,-449.4617122691998
116,6374.168418043045,-1003.3341997769912
117,6374.168418043045,-1003.3341997769912
118,8706.06214537866,-812.9561693138985
119,8706.06214537866,-812.9561693138985
120,9652.894209322214,-3554.9259696787285
121,9652.894209322214,-3554.9259696787285
122,9021.425348777517,-1324.6760802910976
123,9021.425348777517,-1324.6760802910976
124,9429.567435814359,-3913.0991970529703
125,9429.567435814359,-3913.0991970529703
126,3527.6285105809766,-483.6717716743351
127,3527.6285105809766,-483.6717716743351
128,-1848.5427573446505,-1145.5739407586534
129,-1848.5427573446505,-1145.5739407586534
130,-2003.5059942085536,-2154.0347415121632
131,-2003.5059942085536,-2154.0347415121632
132,-9652.894209322214,-1960.4269704195976
133,-9652.894209322214,-1960.4269704195976
134,-7970.578100926883,-2663.212560216265
135,-7970.578100926883,-2663.212560216265
136,511.37668546684654,-4120.91287473462
137,511.37668546684654,-4120.91287473462
138,9561.076154155333,-3785.338291236707
139,9561.076154155333,-3785.338291236707
140,9652.894209322214,-2250.614376566353
141,9652.894209322214,-2250.614376566353
142,9652.894209322214,-4222.858076736755
143,9652.894209322214,-4222.858076736755
144,9652.894209322214,-3740.2969955571225
145,9652.894209322214,-3740.2969955571225
146,9652.894209322214,-3704.763844709114
147,9652.894209322214,-3704.763844709114
148,9652.894209322214,-4126.7543596189735
149,9652.894209322214,-4126.7543596189735
150,3730.1089115381983,-3049.991561042789
151,3730.1089115381983,-3049.991561042789
152,376.0695240093446,-3703.291560155456
153,376.0695240093446,-3703.291560155456
154,-9652.894209322214,-3799.2090785588007
155,-9652.894209322214,-3799.2090785588007
156,-9652.894209322214,-11207.520353370137
157,-9652.894209322214,-11207.520353370137
158,-5489.9796120895935,-12329.006097296327
159,-5489.9796120895935,-12329.006097296327
160,-2496.5878184114463,-6161.965273469859
161,-2496.5878184114463,-6161.965273469859
162,-219.72529046974887,-5775.964355675469
163,-219.72529046974887,-5775.964355675469
164,7196.16379921777,-6240.70860672364
165,7196.16379921777,-6240.70860672364
166,9652.894209322214,-4195.2459439334525
167,9652.894209322214,-4195.2459439334525
168,8257.314686850645,-2790.11598122312
169,8257.314686850645,-2790.11598122312
170,6285.021366403309,-2722.3399873720173
171,6285.021366403309,-2722.3399873720173
172,5041.033919292427,-2839.4343626883838
173,5041.033919292427,-2839.4343626883838
174,9652.894209322214,-2904.1773457131276
175,9652.894209322214,-2904.1773457131276
176,9652.894209322214,-3939.861741271472
177,9652.894209322214,-3939.861741271472
178,-1522.4935946924616,-2656.4089936411565
179,-1522.4935946924616,-2656.4089936411565
180,-9652.894209322214,-2484.576517850084
181,-9652.894209322214,-2484.576517850084
182,-2216.3772762641165,-3847.0790311195087
183,-2216.3772762641165,-3847.0790311195087
184,-2743.347470736935,-3264.5850053672402
185,-2743.347470736935,-3264.5850053672402
186,9652.894209322214,-4518.852397179686
187,9652.894209322214,-4518.852397179686
188,9652.894209322214,-4225.245250654865
189,9652.894209322214,-4225.245250654865
190,9652.894209322214,-1081.428274150012
191,9652.894209322214,-1081.428274150012
192,9652.894209322214,-359.1952504573437
193,9652.894209322214,-359.1952504573437
194,9652.894209322214,-1990.8224824975314
195,9652.894209322214,-1990.8224824975314
196,9652.894209322214,-4718.287044384317
197,9652.894209322214,-4718.287044384317
198,9652.894209322214,-363.52978880196315
199,9652.894209322214,-363.52978880196315
200,9652.894209322214,-3535.380785385887
201,9652.894209322214,-3535.380785385887
202,-4511.794323855705,-949.079588213559
203,-4511.794323855705,-949.079588213559
204,-9652.894209322214,-2354.419232563625
205,-9652.894209322214,-2354.419232563625
206,-9652.894209322214,-612.5394027978455
207,-9652.894209322214,-612.5394027978455
208,-9652.894209322214,-87.75294410221795
209,-9652.894209322214,-87.75294410221795
210,8906.18186600105,-2939.3094726610943
211,8906.18186600105,-2939.3094726610943
212,9652.894209322214,-1709.5508836768004
213,9652.894209322214,-1709.5508836768004
214,9652.894209322214,-3629.623141504164
215,9652.894209322214,-3629.623141504164
216,9652.894209322214,-1145.4838801011247
217,9652.894209322214,-1145.4838801011247
218,9652.894209322214,-2144.889741199717
219,9652.894209322214,-2144.889741199717
220,9652.894209322214,-3382.5387619612357
221,9652.894209322214,-3382.5387619612357
222,9023.021479169394,-2536.4908749531733
223,9023.021479169394,-2536.4908749531733
224,1160.5358503313037,-2505.913835803851
225,1160.5358503313037,-2505.913835803851
226,734.8342953726151,-683.2138759767149
227,734.8342953726151,-683.2138759767149
228,-9652.894209322214,103.47541537485813
229,-9652.894209322214,103.47541537485813
230,-1388.2452802176158,-444.67204529624723
231,-1388.2452802176158,-444.67204529624723
232,1178.2842470716714,-1337.680136176501
233,1178.2842470716714,-1337.680136176501
234,8239.235994966848,-2249.049580958521
235,8239.235994966848,-2249.049580958521
236,9652.894209322214,-3939.819133574123
237,9652.894209322214,-3939.819133574123
238,9652.894209322214,-3432.681790064489
239,9652.894209322214,-3432.681790064489
240,9652.894209322214,-735.5002268960288
241,9652.894209322214,-735.5002268960288
242,9652.894209322214,-667.5398203533932
243,9652.894209322214,-667.5398203533932
244,9652.894209322214,-286.49139072361686
245,9652.894209322214,-286.49139072361686
246,9652.894209322214,-1411.1724713683343
247,9652.894209322214,-1411.1724713683343
248,8725.169818051028,813.939268294429
249,8725.169818051028,813.939268294429
250,4095.2110786140656,-403.91989929720694
251,4095.2110786140656,-403.91989929720694
252,-8962.92808951602,235.0885779465134
