Timestep,Import_FR_MW,Import_PT_MW
0,7512.647188250427,-1323.0122316786674
1,7512.647188250427,-1323.0122316786674
2,8565.61049711396,-4106.3657534414815
3,8565.61049711396,-4106.3657534414815
4,7661.690806967121,-3884.8880931062613
5,7661.690806967121,-3884.8880931062613
6,6074.0887037604925,-2314.1131268270856
7,6074.0887037604925,-2314.1131268270856
8,2745.9688229227377,551.4040001060839
9,2745.9688229227377,551.4040001060839
10,4705.393454402885,-1266.4220646679914
11,4705.393454402885,-1266.4220646679914
12,-9652.894218072686,2526.6800453264714
13,-9652.894218072686,2526.6800453264714
14,-8513.705391228641,1594.7506006357416
15,-8513.705391228641,1594.7506006357416
16,-1289.9841754813224,-1646.9683627556751
17,-1289.9841754813224,-1646.9683627556751
18,3363.02821511157,-3855.4826361791147
19,3363.02821511157,-3855.4826361791147
20,7390.0998330479815,-253.91693044473868
21,7390.0998330479815,-253.91693044473868
22,8687.350658723422,-4525.541665529499
23,8687.350658723422,-4525.541665529499
24,9652.894218072686,118.57711154591925
25,9652.894218072686,118.57711154591925
26,9652.894218072686,-2621.6432107090895
27,9652.894218072686,-2621.6432107090895
28,9652.894218072686,-4153.991414649896
29,9652.894218072686,-4153.991414649896
30,6345.728801705864,-2509.4315902770104
31,6345.728801705864,-2509.4315902770104
32,-873.9578736147505,487.79411076159704
33,-873.9578736147505,487.79411076159704
34,-4311.908195242393,1432.963756201827
35,-4311.908195242393,1432.963756201827
36,-9652.894218072686,1814.9087051505066
37,-9652.894218072686,1814.9087051505066
38,-7780.328210948157,246.42039569959343
39,-7780.328210948157,246.42039569959343
40,-5853.681924382561,30.197995519587494
41,-5853.681924382561,30.197995519587494
42,7714.474951963977,-3416.140021347057
43,7714.474951963977,-3416.140021347057
44,9652.894218072686,-1107.3308881243138
45,9652.894218072686,-1107.3308881243138
46,9652.894218072686,-94.87423444232445
47,9652.894218072686,-94.87423444232445
48,9652.894218072686,-1413.669679617551
49,9652.894218072686,-1413.669679617551
50,9652.894218072686,-2163.765848561068
51,9652.894218072686,-2163.765848561068
52,9652.894218072686,-2886.927013451337
53,9652.894218072686,-2886.927013451337
54,9652.894218072686,-1885.6308216515226
55,9652.894218072686,-1885.6308216515226
56,9652.894218072686,1081.5172383425615
57,9652.894218072686,1081.5172383425615
58,2843.8825786410052,127.84302814154398
59,2843.8825786410052,127.84302814154398
60,-3142.540372928799,600.4100920248366
61,-3142.540372928799,600.4100920248366
62,-3244.752109800189,2162.810489775393
63,-3244.752109800189,2162.810489775393
64,-3363.074928219261,-539.8830443451097
65,-3363.074928219261,-539.8830443451097
66,9652.894218072686,-2990.0135717713038
67,9652.894218072686,-2990.0135717713038
68,5413.000872077515,-1027.9086519293069
