Trading day,Product,MIBGAS Daily Price [EUR/MWh],,,,
31/12/2025,GDAES_D+1,28.96,,,,
30/12/2025,GDAES_D+1,27.79,,,,
29/12/2025,GDAES_D+1,28.47,,,,
28/12/2025,GDAES_D+1,29.81,,,,
27/12/2025,GDAES_D+1,29.82,,,,
26/12/2025,GDAES_D+1,29.69,,,,
25/12/2025,GDAES_D+1,29.39,,,,
24/12/2025,GDAES_D+1,28.42,,,,
23/12/2025,GDAES_D+1,27.69,,,,
22/12/2025,GDAES_D+1,27.69,,,,
21/12/2025,GDAES_D+1,29.08,,,,
20/12/2025,GDAES_D+1,28.95,,,,
19/12/2025,GDAES_D+1,28.01,,,,
18/12/2025,GDAES_D+1,27.5,,,,
17/12/2025,GDAES_D+1,27.13,,,,
16/12/2025,GDAES_D+1,26.62,,,,
15/12/2025,GDAES_D+1,27.18,,,,
14/12/2025,GDAES_D+1,28.47,,,,
13/12/2025,GDAES_D+1,29.1,,,,
12/12/2025,GDAES_D+1,27.37,,,,
11/12/2025,GDAES_D+1,26.59,,,,
10/12/2025,GDAES_D+1,26.54,,,,
9/12/2025,GDAES_D+1,27.27,,,,
8/12/2025,GDAES_D+1,26.71,,,,
7/12/2025,GDAES_D+1,27.16,,,,
6/12/2025,GDAES_D+1,27.46,,,,
5/12/2025,GDAES_D+1,27.23,,,,
4/12/2025,GDAES_D+1,26.92,,,,
3/12/2025,GDAES_D+1,28.04,,,,
2/12/2025,GDAES_D+1,27.69,,,,
1/12/2025,GDAES_D+1,28.15,,,,
30/11/2025,GDAES_D+1,28.91,,,,
29/11/2025,GDAES_D+1,29.04,,,,
28/11/2025,GDAES_D+1,28.95,,,,
27/11/2025,GDAES_D+1,28.82,,,,
26/11/2025,GDAES_D+1,29.12,,,,
25/11/2025,GDAES_D+1,29.23,,,,
24/11/2025,GDAES_D+1,29.37,,,,
23/11/2025,GDAES_D+1,29.83,,,,
22/11/2025,GDAES_D+1,30.2,,,,
21/11/2025,GDAES_D+1,29.78,,,,
20/11/2025,GDAES_D+1,30.43,,,,
19/11/2025,GDAES_D+1,30.42,,,,
18/11/2025,GDAES_D+1,31.08,,,,
