Area,time_start,Biomas,Biomass,Coal,Combined_cycle,Hydro,ICCC,Nuclear,Solar,Wind,pumped_storage_charge,pumped_storage_discharge
BZN|ES,2024-12-02 00:00:00,439.0,222.0,467.0,10187.0,2320.0,12.0,5090.0,71.0,3179.0,61.0,100.0
BZN|ES,2024-12-02 01:00:00,445.0,222.0,421.0,9667.0,1967.0,12.0,5092.0,71.0,3208.0,268.0,37.0
BZN|ES,2024-12-02 02:00:00,449.0,224.0,416.0,9437.0,1889.0,12.0,5091.0,69.0,2833.0,509.0,20.0
BZN|ES,2024-12-02 03:00:00,450.0,224.0,417.0,9215.0,1778.0,12.0,5091.0,71.0,2839.0,507.0,20.0
BZN|ES,2024-12-02 04:00:00,439.0,223.0,416.0,8841.0,1677.0,12.0,5088.0,68.0,3295.0,707.0,20.0
BZN|ES,2024-12-02 05:00:00,429.0,224.0,444.0,9064.0,1722.0,12.0,5090.0,71.0,3645.0,1138.0,22.0
BZN|ES,2024-12-02 06:00:00,425.0,227.0,532.0,10015.0,2667.0,15.0,5090.0,71.0,3770.0,691.0,138.0
BZN|ES,2024-12-02 07:00:00,420.0,225.0,644.0,11898.0,3473.0,20.0,5089.0,69.0,3859.0,194.0,579.0
BZN|ES,2024-12-02 08:00:00,421.0,221.0,716.0,13075.0,3970.0,20.0,5088.0,192.0,3419.0,11.0,1016.0
BZN|ES,2024-12-02 09:00:00,395.0,222.0,803.0,13039.0,3825.0,20.0,5088.0,2519.0,3195.0,0.0,1064.0
BZN|ES,2024-12-02 10:00:00,403.0,222.0,774.0,11828.0,3125.0,24.0,5088.0,6348.0,2985.0,107.0,578.0
BZN|ES,2024-12-02 11:00:00,388.0,220.0,683.0,11393.0,2766.0,24.0,5088.0,8577.0,2318.0,119.0,389.0
BZN|ES,2024-12-02 12:00:00,405.0,222.0,656.0,11816.0,2251.0,27.0,5087.0,9070.0,2059.0,89.0,395.0
BZN|ES,2024-12-02 13:00:00,406.0,221.0,685.0,11884.0,2344.0,32.0,5088.0,9006.0,1884.0,104.0,398.0
BZN|ES,2024-12-02 14:00:00,404.0,225.0,739.0,12000.0,2467.0,32.0,5088.0,8127.0,1957.0,104.0,428.0
BZN|ES,2024-12-02 15:00:00,406.0,226.0,827.0,12106.0,2885.0,32.0,5087.0,6915.0,2038.0,60.0,943.0
BZN|ES,2024-12-02 16:00:00,416.0,227.0,931.0,12927.0,3543.0,32.0,5086.0,4433.0,2154.0,29.0,1276.0
BZN|ES,2024-12-02 17:00:00,417.0,227.0,967.0,14579.0,4796.0,32.0,5084.0,1386.0,2422.0,0.0,1407.0
BZN|ES,2024-12-02 18:00:00,416.0,225.0,1012.0,15115.0,5272.0,32.0,5084.0,135.0,3180.0,0.0,1531.0
BZN|ES,2024-12-02 19:00:00,424.0,226.0,1024.0,15097.0,5492.0,32.0,5084.0,81.0,3495.0,0.0,1621.0
BZN|ES,2024-12-02 20:00:00,428.0,227.0,967.0,15335.0,5628.0,32.0,5086.0,43.0,3608.0,0.0,1655.0
BZN|ES,2024-12-02 21:00:00,432.0,228.0,915.0,16204.0,5249.0,32.0,5087.0,40.0,3434.0,0.0,1518.0
BZN|ES,2024-12-02 22:00:00,425.0,227.0,859.0,14647.0,4535.0,32.0,5088.0,40.0,3114.0,0.0,1430.0
BZN|ES,2024-12-02 23:00:00,424.0,228.0,868.0,12962.0,3416.0,32.0,5088.0,40.0,3223.0,0.0,982.0
