Area,time_start,Biomas,Biomass,Coal,Combined_cycle,Hydro,ICCC,Nuclear,Solar,Wind,pumped_storage_charge,pumped_storage_discharge
BZN|ES,2024-07-08 00:00:00,516.0,264.0,204.0,4507.0,3216.0,34.0,6982.0,745.0,4665.0,0.0,2334.0
BZN|ES,2024-07-08 01:00:00,507.0,266.0,213.0,4524.0,2720.0,46.0,6971.0,600.0,4604.0,0.0,1744.0
BZN|ES,2024-07-08 02:00:00,495.0,263.0,242.0,4516.0,2253.0,44.0,6976.0,584.0,4731.0,0.0,1312.0
BZN|ES,2024-07-08 03:00:00,494.0,265.0,320.0,4391.0,2190.0,44.0,6976.0,560.0,4571.0,0.0,677.0
BZN|ES,2024-07-08 04:00:00,487.0,270.0,408.0,4449.0,2348.0,44.0,6982.0,560.0,4227.0,0.0,577.0
BZN|ES,2024-07-08 05:00:00,494.0,270.0,446.0,4647.0,2399.0,44.0,6990.0,558.0,3911.0,0.0,1098.0
BZN|ES,2024-07-08 06:00:00,506.0,266.0,404.0,5185.0,2772.0,46.0,6983.0,461.0,4031.0,0.0,2153.0
BZN|ES,2024-07-08 07:00:00,502.0,267.0,305.0,5106.0,4200.0,46.0,6984.0,781.0,4047.0,0.0,2540.0
BZN|ES,2024-07-08 08:00:00,481.0,266.0,319.0,4628.0,3733.0,44.0,6984.0,5102.0,3710.0,0.0,2029.0
BZN|ES,2024-07-08 09:00:00,463.0,261.0,303.0,3190.0,2436.0,39.0,6980.0,12156.0,3346.0,47.0,682.0
BZN|ES,2024-07-08 10:00:00,436.0,252.0,308.0,2331.0,1616.0,35.0,6978.0,16139.0,3431.0,389.0,342.0
BZN|ES,2024-07-08 11:00:00,453.0,233.0,276.0,2101.0,1458.0,33.0,6975.0,18354.0,3430.0,1861.0,155.0
BZN|ES,2024-07-08 12:00:00,465.0,238.0,250.0,2065.0,1408.0,31.0,6972.0,19087.0,3742.0,2741.0,83.0
BZN|ES,2024-07-08 13:00:00,463.0,242.0,251.0,2042.0,1349.0,21.0,6965.0,19260.0,4553.0,3071.0,37.0
BZN|ES,2024-07-08 14:00:00,459.0,239.0,249.0,2392.0,1365.0,20.0,6961.0,19548.0,5311.0,3265.0,40.0
BZN|ES,2024-07-08 15:00:00,454.0,236.0,252.0,2700.0,1441.0,20.0,6956.0,19471.0,5825.0,3210.0,37.0
BZN|ES,2024-07-08 16:00:00,466.0,236.0,252.0,2682.0,1360.0,20.0,6955.0,19117.0,6181.0,3162.0,37.0
BZN|ES,2024-07-08 17:00:00,490.0,238.0,252.0,2786.0,1431.0,20.0,6949.0,18416.0,6371.0,2963.0,36.0
BZN|ES,2024-07-08 18:00:00,480.0,236.0,290.0,2941.0,1538.0,21.0,6947.0,17394.0,7171.0,2775.0,75.0
BZN|ES,2024-07-08 19:00:00,483.0,238.0,307.0,3970.0,1884.0,33.0,6955.0,14696.0,8326.0,2286.0,169.0
BZN|ES,2024-07-08 20:00:00,492.0,240.0,305.0,5417.0,2520.0,36.0,6959.0,8715.0,8677.0,323.0,1465.0
BZN|ES,2024-07-08 21:00:00,505.0,248.0,308.0,6914.0,4121.0,36.0,6965.0,2259.0,8107.0,0.0,3326.0
BZN|ES,2024-07-08 22:00:00,509.0,247.0,308.0,7073.0,4329.0,36.0,6970.0,786.0,8184.0,0.0,3147.0
BZN|ES,2024-07-08 23:00:00,490.0,252.0,308.0,6205.0,3489.0,36.0,6974.0,713.0,8303.0,0.0,2520.0
