Hour,Coal,Fuel-Gas,Self-producer,Nuclear,Hydropower,Combined Cycle,Wind,Solar Thermal,Solar Photovoltaic,Cogeneration/Waste/Small Hydro,International Import,International Import (without MIBEL),Storage
1,473.60,0.00,0.00,5084.80,2344.30,4215.30,3890.50,423.60,62.10,3895.20,0.00,2775.00,0.00
2,414.20,0.00,0.00,5085.80,2261.50,3299.30,3927.50,423.70,62.00,3728.90,0.00,2775.00,0.00
3,413.00,0.00,0.00,5085.80,1960.60,3100.10,3929.50,423.60,62.10,3737.90,0.00,2775.00,0.00
4,413.00,0.00,0.00,5084.80,1755.70,3042.20,3890.20,423.60,62.10,3737.70,0.00,2775.00,0.00
5,413.00,0.00,0.00,5084.80,1834.40,2916.40,3919.10,423.60,62.10,3742.90,0.00,2821.00,0.00
6,413.00,0.00,0.00,5084.80,2200.70,3097.90,4090.70,423.60,62.10,3759.60,0.00,2821.00,0.00
7,563.00,0.00,0.00,5084.80,3460.00,4114.20,4145.60,423.60,62.20,3931.20,0.00,2775.00,0.00
8,813.40,0.00,0.00,5086.80,5023.70,6369.00,3669.60,296.60,235.00,3886.60,0.00,2775.00,0.00
9,933.40,0.00,0.00,5084.80,5692.00,6845.70,3443.50,158.70,1017.70,3909.90,0.00,2775.00,0.00
10,776.70,0.00,0.00,5085.80,5358.80,6841.10,3367.90,158.70,4268.50,3924.80,0.00,2000.00,0.00
11,653.00,0.00,0.00,5084.80,3316.70,5755.40,2863.80,195.10,8695.60,3979.00,0.00,2000.00,0.00
12,473.00,0.00,0.00,5084.80,2069.60,5231.90,2552.40,262.70,11004.40,4004.30,0.00,2050.00,0.00
13,413.00,0.00,0.00,5083.80,1787.70,4858.00,2595.70,294.00,11933.90,3880.10,0.00,2050.00,0.00
14,413.00,0.00,0.00,5082.80,1507.90,4833.80,2951.00,316.20,11987.30,3857.60,0.00,2050.00,0.00
15,413.00,0.00,0.00,5081.80,1556.00,4735.90,3453.70,352.50,11385.30,3856.30,0.00,2050.00,0.00
16,473.00,0.00,0.00,5081.80,2130.20,4826.00,3909.60,402.50,9703.00,3961.70,0.00,1950.00,0.00
17,653.00,0.00,0.00,5083.80,3681.30,5540.50,4498.10,423.40,5715.90,4038.00,0.00,1950.00,0.00
18,863.00,0.00,0.00,5085.80,5925.90,6748.50,5584.90,305.50,1585.70,4000.10,0.00,1950.00,0.00
19,933.40,0.00,0.00,5084.80,6520.80,6782.80,6358.60,425.50,251.10,4014.20,0.00,2729.00,0.00
20,933.40,0.00,0.00,5084.80,6603.50,6800.10,6926.00,417.40,101.90,4051.90,0.00,2729.00,0.00
21,933.40,0.00,0.00,5085.80,6526.80,6811.20,7265.00,410.90,46.80,4056.70,0.00,2729.00,0.00
22,776.70,0.00,0.00,5085.80,6123.90,6812.80,7342.00,410.90,55.00,4053.10,0.00,2729.00,0.00
23,710.00,0.00,0.00,5085.80,5069.90,5376.30,7184.90,410.90,62.30,4048.00,0.00,2729.00,0.00
24,653.00,0.00,0.00,5085.80,3613.80,4099.40,7018.10,410.90,62.30,3991.60,0.00,2729.00,0.00
