Hour,Coal,Fuel-Gas,Self-producer,Nuclear,Hydropower,Combined Cycle,Wind,Solar Thermal,Solar Photovoltaic,Cogeneration/Waste/Small Hydro,International Import,International Import (without MIBEL),Storage
1,187.00,0.00,0.00,6902.30,4553.10,130.00,5685.50,712.20,55.40,3374.70,0.00,2400.00,0.00
2,186.00,0.00,0.00,6901.30,3569.30,0.00,5718.00,709.10,55.40,3395.40,0.00,2400.00,0.00
3,120.00,0.00,0.00,6897.30,2571.50,0.00,5679.90,708.80,55.40,3418.80,0.00,2400.00,0.00
4,0.00,0.00,0.00,6896.30,2417.30,0.00,5577.20,708.30,55.40,3437.80,0.00,2400.00,0.00
5,0.00,0.00,0.00,6907.30,2500.50,0.00,5394.00,702.90,56.10,3451.30,0.00,2450.00,0.00
6,0.00,0.00,0.00,6914.30,3044.10,0.00,5241.00,677.30,61.10,3487.80,0.00,2450.00,0.00
7,0.00,0.00,0.00,6931.30,5095.40,0.00,5150.80,589.80,148.30,3582.00,0.00,2450.00,0.00
8,0.00,0.00,0.00,6938.30,6198.20,1.00,4733.70,475.80,1796.00,3653.10,0.00,2450.00,0.00
9,0.00,0.00,0.00,6939.30,4482.90,0.00,4295.30,443.80,7228.70,3661.50,0.00,1455.60,0.00
10,0.00,0.00,0.00,6926.30,1750.10,0.00,4032.00,1364.40,13562.40,3370.50,0.00,594.60,0.00
11,0.00,0.00,0.00,6920.30,1262.10,0.00,3736.40,1950.50,17021.70,3168.10,0.00,0.00,0.00
12,0.00,0.00,0.00,6917.30,1250.80,0.00,4005.90,2071.80,18246.40,3118.90,0.00,771.20,0.00
13,0.00,0.00,0.00,6916.30,1014.70,0.00,4515.40,2078.30,19136.00,3110.10,0.00,844.30,0.00
14,0.00,0.00,0.00,6911.30,975.20,0.00,5295.00,2072.40,19542.80,3111.90,0.00,16.20,0.00
15,0.00,0.00,0.00,6910.30,948.50,0.00,6055.10,2063.20,19583.70,3122.10,0.00,0.00,0.00
16,0.00,0.00,0.00,6907.30,963.80,0.00,6604.90,2052.60,19435.90,3112.90,0.00,0.00,0.00
17,0.00,0.00,0.00,6900.30,964.30,0.00,6974.90,2036.40,18889.10,3115.80,0.00,0.00,0.00
18,0.00,0.00,0.00,6898.30,1010.10,0.00,7229.80,2024.90,17581.10,3125.40,0.00,0.00,0.00
19,0.00,0.00,0.00,6896.30,1048.80,0.00,7763.90,1992.50,15564.30,3163.00,0.00,0.00,0.00
20,0.00,0.00,0.00,6899.30,1735.20,0.00,8235.30,1913.80,12046.50,3473.80,0.00,0.00,0.00
21,0.00,0.00,0.00,6899.30,6024.00,0.00,8726.00,1607.00,5516.60,3852.30,0.00,0.00,0.00
22,0.00,0.00,0.00,6907.30,7392.80,262.50,8771.80,1120.90,785.60,3886.70,0.00,1668.60,4.30
23,0.00,0.00,0.00,6909.30,7227.00,0.00,8758.20,869.40,71.20,3886.60,0.00,2355.50,0.00
24,0.00,0.00,0.00,6914.30,6062.30,0.00,8532.00,853.80,62.50,3771.70,0.00,2450.00,0.00
