Timestep,Turbine_ES_MW,Turbine_FR_MW,Turbine_EU_MW
0,712.9065882618415,0.0,0.0
1,712.9065882618415,0.0,0.0
2,681.3652350587292,0.0,0.0
3,681.3652350587292,0.0,0.0
4,1761.933818727312,0.0,0.0
5,1761.933818727312,0.0,0.0
6,3759.4479767911976,2854.0202518938786,0.0
7,3759.4479767911976,2854.0202518938786,0.0
8,2813.5485682439667,2014.7820843624577,0.0
9,2813.5485682439667,2014.7820843624577,0.0
10,0.0,728.2653738358204,0.0
11,0.0,728.2653738358204,0.0
12,0.0,782.7165200319796,0.0
13,0.0,782.7165200319796,0.0
14,0.0,1560.467709755918,0.0
15,0.0,1560.467709755918,0.0
16,0.0,4263.672171544058,70364.3
17,0.0,4263.672171544058,70364.3
18,5806.259215771664,2848.0405726995396,70364.3
19,5806.259215771664,2848.0405726995396,70364.3
20,6940.97,4834.34627697492,69524.1921412934
21,6940.97,4834.34627697492,69524.1921412934
22,6940.97,0.0,42011.816263323955
23,6940.97,0.0,42011.816263323955
24,6940.97,0.0,0.0
25,6940.97,0.0,0.0
26,3724.089432787796,0.0,0.0
27,3724.089432787796,0.0,0.0
28,2287.375499997604,0.0,0.0
29,2287.375499997604,0.0,0.0
30,0.0,2313.337272917721,70364.3
31,0.0,2313.337272917721,70364.3
32,0.0,1173.3486390651015,0.0
33,0.0,1173.3486390651015,0.0
34,0.0,814.6708505247188,0.0
35,0.0,814.6708505247188,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,962.7861614454996,70364.3
41,0.0,962.7861614454996,70364.3
42,1675.3715357281803,0.0,70364.3
43,1675.3715357281803,0.0,70364.3
44,5648.565881285622,434.5934769796986,66958.3008133357
45,5648.565881285622,434.5934769796986,66958.3008133357
46,0.0,0.0,38321.36034545873
47,0.0,0.0,38321.36034545873
48,6445.8152097729,0.0,18298.572578423198
49,6445.8152097729,0.0,18298.572578423198
50,5334.321555984148,0.0,12411.50211559223
51,5334.321555984148,0.0,12411.50211559223
52,4729.07790747654,0.0,14932.235226429344
53,4729.07790747654,0.0,14932.235226429344
54,5786.628851245795,0.0,13672.209570965933
55,5786.628851245795,0.0,13672.209570965933
56,2658.994072949134,0.0,0.0
57,2658.994072949134,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,14808.613862271144
63,0.0,0.0,14808.613862271144
64,0.0,0.0,54415.32895729461
65,0.0,0.0,54415.32895729461
66,6628.676554789807,0.0,70364.3
67,6628.676554789807,0.0,70364.3
68,6940.97,670.898959578959,62108.65091062641
69,6940.97,670.898959578959,62108.65091062641
70,6940.97,0.0,41183.4477479762
71,6940.97,0.0,41183.4477479762
72,6940.97,0.0,29575.970743551377
73,6940.97,0.0,29575.970743551377
74,4955.522798998719,0.0,23995.06020459436
75,4955.522798998719,0.0,23995.06020459436
76,3655.2508663146914,0.0,16302.814280277133
77,3655.2508663146914,0.0,16302.814280277133
78,4205.408543643968,0.0,9264.131014762228
79,4205.408543643968,0.0,9264.131014762228
80,1947.017635571252,0.0,3326.9048492201255
81,1947.017635571252,0.0,3326.9048492201255
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,21236.865294134594
87,0.0,0.0,21236.865294134594
88,0.0,0.0,56777.11157351127
89,0.0,0.0,56777.11157351127
90,6928.270921513328,0.0,68387.29892245421
91,6928.270921513328,0.0,68387.29892245421
92,6940.97,259.3209221768193,51373.39278930657
93,6940.97,259.3209221768193,51373.39278930657
94,2723.2623777116232,0.0,24226.090814639174
95,2723.2623777116232,0.0,24226.090814639174
96,1194.2133129507297,0.0,8848.068800003937
97,1194.2133129507297,0.0,8848.068800003937
98,0.0,0.0,8200.349949299372
99,0.0,0.0,8200.349949299372
100,0.0,0.0,36521.93084448448
101,0.0,0.0,36521.93084448448
102,0.0,2614.8170323229206,39666.95180681214
103,0.0,2614.8170323229206,39666.95180681214
104,3332.515254129424,1860.5947726767008,0.0
105,3332.515254129424,1860.5947726767008,0.0
106,0.0,1233.8148587198812,0.0
107,0.0,1233.8148587198812,0.0
108,0.0,1268.7850128193022,0.0
109,0.0,1268.7850128193022,0.0
110,0.0,2129.505690898519,32019.029136274796
111,0.0,2129.505690898519,32019.029136274796
112,0.0,5443.2219859943,70364.3
113,0.0,5443.2219859943,70364.3
114,0.0,5324.933891881141,70364.3
115,0.0,5324.933891881141,70364.3
116,6940.97,6286.91565945838,70364.3
117,6940.97,6286.91565945838,70364.3
118,6940.97,0.0,45450.28883830008
119,6940.97,0.0,45450.28883830008
120,6940.97,0.0,29024.312919360505
121,6940.97,0.0,29024.312919360505
122,6940.97,0.0,27642.779574906694
123,6940.97,0.0,27642.779574906694
124,5772.472684598327,0.0,50306.139072362974
125,5772.472684598327,0.0,50306.139072362974
126,4984.018912459305,3773.220453510119,0.0
127,4984.018912459305,3773.220453510119,0.0
128,0.0,2084.690386745817,0.0
129,0.0,2084.690386745817,0.0
130,0.0,0.0,0.0
131,0.0,0.0,0.0
132,0.0,0.0,0.0
133,0.0,0.0,0.0
134,0.0,0.0,0.0
135,0.0,0.0,0.0
136,0.0,0.0,0.0
137,0.0,0.0,0.0
138,2540.420169223593,0.0,70364.3
139,2540.420169223593,0.0,70364.3
140,0.0,0.0,70364.3
141,0.0,0.0,70364.3
142,407.1121386556488,0.0,40346.93223383748
143,407.1121386556488,0.0,40346.93223383748
144,0.0,0.0,21902.440940961722
145,0.0,0.0,21902.440940961722
146,0.0,0.0,21465.49005923864
147,0.0,0.0,21465.49005923864
148,0.0,0.0,39780.69515155183
149,0.0,0.0,39780.69515155183
150,0.0,0.0,30982.76316994388
151,0.0,0.0,30982.76316994388
152,0.0,0.0,0.0
153,0.0,0.0,0.0
154,0.0,0.0,0.0
155,0.0,0.0,0.0
156,0.0,0.0,0.0
157,0.0,0.0,0.0
158,0.0,0.0,8464.617397674097
159,0.0,0.0,8464.617397674097
160,0.0,0.0,44266.18601235456
161,0.0,0.0,44266.18601235456
162,0.0,0.0,68703.23821839815
163,0.0,0.0,68703.23821839815
164,0.0,0.0,54434.68276734148
165,0.0,0.0,54434.68276734148
166,0.0,0.0,26706.125299328283
167,0.0,0.0,26706.125299328283
168,0.0,0.0,14021.206473456929
169,0.0,0.0,14021.206473456929
170,0.0,0.0,15129.73348315683
171,0.0,0.0,15129.73348315683
172,0.0,0.0,28086.525332018573
173,0.0,0.0,28086.525332018573
174,0.0,0.0,19355.03452534313
175,0.0,0.0,19355.03452534313
176,0.0,0.0,0.0
177,0.0,0.0,0.0
178,0.0,0.0,0.0
179,0.0,0.0,0.0
180,0.0,0.0,0.0
181,0.0,0.0,0.0
182,0.0,0.0,0.0
183,0.0,0.0,0.0
184,0.0,669.6756325688602,39398.22187389922
185,0.0,669.6756325688602,39398.22187389922
186,0.0,449.7426940799378,62934.84445834416
187,0.0,449.7426940799378,62934.84445834416
188,0.0,1919.1376050597391,57532.201061257394
189,0.0,1919.1376050597391,57532.201061257394
190,0.0,0.0,27714.570671344103
191,0.0,0.0,27714.570671344103
192,0.0,0.0,11970.005339081414
193,0.0,0.0,11970.005339081414
194,0.0,0.0,12342.817211936563
195,0.0,0.0,12342.817211936563
196,0.0,0.0,0.0
197,0.0,0.0,0.0
198,0.0,486.099840749599,0.0
199,0.0,486.099840749599,0.0
200,0.0,0.0,0.0
201,0.0,0.0,0.0
202,0.0,0.0,0.0
203,0.0,0.0,0.0
204,0.0,0.0,0.0
205,0.0,0.0,0.0
206,0.0,0.0,0.0
207,0.0,0.0,0.0
208,0.0,2067.03577943004,61032.91250864256
209,0.0,2067.03577943004,61032.91250864256
210,0.0,432.1340823561386,70364.3
211,0.0,432.1340823561386,70364.3
212,0.0,892.7624395127586,70364.3
213,0.0,892.7624395127586,70364.3
214,0.0,0.0,48252.90195137889
215,0.0,0.0,48252.90195137889
216,0.0,0.0,32601.245968170813
217,0.0,0.0,32601.245968170813
218,0.0,0.0,29174.52118094438
219,0.0,0.0,29174.52118094438
220,0.0,0.0,28651.243355802362
221,0.0,0.0,28651.243355802362
222,0.0,0.0,21971.24439049061
223,0.0,0.0,21971.24439049061
224,0.0,0.0,4885.613170668861
225,0.0,0.0,4885.613170668861
226,0.0,0.0,0.0
227,0.0,0.0,0.0
228,0.0,0.0,0.0
229,0.0,0.0,0.0
230,0.0,0.0,14486.867184102768
231,0.0,0.0,14486.867184102768
232,0.0,0.0,54031.51818471367
233,0.0,0.0,54031.51818471367
234,0.0,0.0,70129.338819849
235,0.0,0.0,70129.338819849
236,0.0,0.0,58992.73806626868
237,0.0,0.0,58992.73806626868
238,0.0,0.0,30572.127923429507
239,0.0,0.0,30572.127923429507
240,0.0,0.0,17364.929149472737
241,0.0,0.0,17364.929149472737
242,0.0,0.0,11261.950734219106
243,0.0,0.0,11261.950734219106
244,0.0,0.0,4387.229680235832
245,0.0,0.0,4387.229680235832
246,0.0,0.0,0.0
247,0.0,0.0,0.0
248,0.0,0.0,0.0
249,0.0,0.0,0.0
250,0.0,0.0,0.0
251,0.0,0.0,0.0
252,0.0,0.0,0.0
253,0.0,0.0,0.0
254,0.0,0.0,11696.60259384755
255,0.0,0.0,11696.60259384755
256,0.0,0.0,47001.271720876524
257,0.0,0.0,47001.271720876524
258,0.0,0.0,68318.93823399924
259,0.0,0.0,68318.93823399924
260,0.0,0.0,60425.44726965955
261,0.0,0.0,60425.44726965955
262,0.0,0.0,35176.22712855674
263,0.0,0.0,35176.22712855674
264,0.0,0.0,22501.2020485057
265,0.0,0.0,22501.2020485057
266,0.0,0.0,29990.317506043502
267,0.0,0.0,29990.317506043502
268,0.0,0.0,63933.598708809586
269,0.0,0.0,63933.598708809586
270,0.0,0.0,70364.3
271,0.0,0.0,70364.3
272,0.0,0.0,70364.3
273,0.0,0.0,70364.3
274,0.0,0.0,62014.843930257775
275,0.0,0.0,62014.843930257775
276,0.0,0.0,62354.55913513299
277,0.0,0.0,62354.55913513299
278,0.0,0.0,70364.3
279,0.0,0.0,70364.3
280,0.0,0.0,70364.3
281,0.0,0.0,70364.3
282,0.0,0.0,70364.3
283,0.0,0.0,70364.3
284,0.0,0.0,70364.3
285,0.0,0.0,70364.3
286,0.0,0.0,51956.608323828244
287,0.0,0.0,51956.608323828244
288,0.0,0.0,38664.11979835895
289,0.0,0.0,38664.11979835895
290,0.0,0.0,44210.5194830937
291,0.0,0.0,44210.5194830937
292,0.0,0.0,70364.3
293,0.0,0.0,70364.3
294,0.0,0.0,70364.3
295,0.0,0.0,70364.3
296,0.0,0.0,69973.71376498332
297,0.0,0.0,69973.71376498332
298,0.0,0.0,0.0
299,0.0,0.0,0.0
300,0.0,0.0,0.0
301,0.0,0.0,0.0
302,0.0,0.0,70364.3
303,0.0,0.0,70364.3
304,0.0,0.0,70364.3
305,0.0,0.0,70364.3
306,0.0,0.0,70364.3
307,0.0,0.0,70364.3
308,0.0,1331.8123613590597,70364.3
309,0.0,1331.8123613590597,70364.3
310,0.0,0.0,61003.4421565837
311,0.0,0.0,61003.4421565837
312,0.0,0.0,43563.489962034175
313,0.0,0.0,43563.489962034175
314,0.0,0.0,43340.948086817094
315,0.0,0.0,43340.948086817094
316,0.0,0.0,66368.816185336
317,0.0,0.0,66368.816185336
318,0.0,2993.017939105981,70068.86034934953
319,0.0,2993.017939105981,70068.86034934953
320,0.0,2765.1774425082585,0.0
321,0.0,2765.1774425082585,0.0
322,0.0,2251.100259668521,0.0
323,0.0,2251.100259668521,0.0
324,0.0,1972.4123370416419,0.0
325,0.0,1972.4123370416419,0.0
326,0.0,2485.5426414410977,69938.45675053676
327,0.0,2485.5426414410977,69938.45675053676
328,0.0,6158.0836485562195,70364.3
329,0.0,6158.0836485562195,70364.3
330,0.0,4991.181065360059,70364.3
331,0.0,4991.181065360059,70364.3
332,0.0,6373.97766911412,70364.3
333,0.0,6373.97766911412,70364.3
334,0.0,775.09641053616,70364.3
335,0.0,775.09641053616,70364.3
336,0.0,0.0,53663.67555973971
337,0.0,0.0,53663.67555973971
338,0.0,0.0,52960.47250899632
339,0.0,0.0,52960.47250899632
340,0.0,0.0,70364.3
341,0.0,0.0,70364.3
342,0.0,3443.5843468296407,70364.3
343,0.0,3443.5843468296407,70364.3
344,0.0,3254.192752282521,0.0
345,0.0,3254.192752282521,0.0
346,0.0,2529.42329583806,0.0
