Timestep,Turbine_ES_MW,Turbine_FR_MW,Turbine_EU_MW
0,0.0,8787.34,5931.5739041380475
1,0.0,8787.34,5931.5739041380475
2,0.0,8227.070136883416,0.0
3,0.0,8227.070136883416,0.0
4,0.0,8288.940616362124,55637.03368276688
5,0.0,8288.940616362124,55637.03368276688
6,0.0,8787.34,11916.194318709651
7,0.0,8787.34,11916.194318709651
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,4784.359282331208,70364.3
17,0.0,4784.359282331208,70364.3
18,0.0,8787.34,70364.3
19,0.0,8787.34,70364.3
20,0.0,8787.34,64074.19250913781
21,0.0,8787.34,64074.19250913781
22,0.0,8787.34,0.0
23,0.0,8787.34,0.0
24,0.0,4875.134326929387,31132.85558179289
25,0.0,4875.134326929387,31132.85558179289
26,0.0,0.0,44490.8638682718
27,0.0,0.0,44490.8638682718
28,0.0,6924.08060066507,70364.3
29,0.0,6924.08060066507,70364.3
30,0.0,445.30336347471894,12036.727033443665
31,0.0,445.30336347471894,12036.727033443665
32,0.0,0.0,3625.2781595706074
33,0.0,0.0,3625.2781595706074
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,36915.34580760547
39,0.0,0.0,36915.34580760547
40,0.0,0.0,70364.3
41,0.0,0.0,70364.3
42,0.0,0.0,70364.3
43,0.0,0.0,70364.3
44,0.0,5040.203392616347,63685.72716635694
45,0.0,5040.203392616347,63685.72716635694
46,0.0,0.0,30643.558076062985
47,0.0,0.0,30643.558076062985
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,1250.9595222722746
51,0.0,0.0,1250.9595222722746
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,5407.038928740567
65,0.0,0.0,5407.038928740567
66,0.0,2098.8324910971987,39714.43161523336
67,0.0,2098.8324910971987,39714.43161523336
68,0.0,8787.34,34944.31040020226
69,0.0,8787.34,34944.31040020226
70,0.0,0.0,17433.16873994483
71,0.0,0.0,17433.16873994483
72,0.0,887.2512315809345,57506.3520143818
73,0.0,887.2512315809345,57506.3520143818
74,0.0,2931.763650925208,57068.02530795794
75,0.0,2931.763650925208,57068.02530795794
76,0.0,5097.743830708572,38502.00548809218
77,0.0,5097.743830708572,38502.00548809218
78,0.0,5723.897462920504,286.41566824682013
79,0.0,5723.897462920504,286.41566824682013
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,1547.0820662359365
87,0.0,0.0,1547.0820662359365
88,0.0,0.0,66521.93833193887
89,0.0,0.0,66521.93833193887
90,0.0,0.0,58773.53352796073
91,0.0,0.0,58773.53352796073
92,0.0,0.0,47241.88743518792
93,0.0,0.0,47241.88743518792
94,0.0,8787.34,12849.162201439114
95,0.0,8787.34,12849.162201439114
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,5434.981065671005,0.0
99,0.0,5434.981065671005,0.0
100,0.0,8787.34,0.0
101,0.0,8787.34,0.0
102,0.0,0.0,0.0
103,0.0,0.0,0.0
104,0.0,0.0,0.0
105,0.0,0.0,0.0
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,0.0,0.0,0.0
109,0.0,0.0,0.0
110,0.0,0.0,0.0
111,0.0,0.0,0.0
112,0.0,8787.34,0.0
113,0.0,8787.34,0.0
114,0.0,8787.34,45676.407313533884
115,0.0,8787.34,45676.407313533884
116,0.0,8787.34,35089.47741304606
117,0.0,8787.34,35089.47741304606
118,0.0,8787.34,44732.48418492226
119,0.0,8787.34,44732.48418492226
120,0.0,8787.34,26743.044172132784
121,0.0,8787.34,26743.044172132784
122,0.0,8787.34,23377.32531471788
123,0.0,8787.34,23377.32531471788
124,0.0,8787.34,36046.11826432076
125,0.0,8787.34,36046.11826432076
126,0.0,8787.34,9378.72509658775
127,0.0,8787.34,9378.72509658775
128,0.0,0.0,0.0
129,0.0,0.0,0.0
130,0.0,0.0,0.0
131,0.0,0.0,0.0
132,0.0,0.0,0.0
133,0.0,0.0,0.0
134,0.0,0.0,0.0
135,0.0,0.0,0.0
136,0.0,0.0,33365.27344614682
137,0.0,0.0,33365.27344614682
138,0.0,0.0,70364.3
139,0.0,0.0,70364.3
140,0.0,0.0,61154.64577979817
141,0.0,0.0,61154.64577979817
142,0.0,0.0,23002.647447569052
143,0.0,0.0,23002.647447569052
144,0.0,0.0,0.0
145,0.0,0.0,0.0
146,0.0,0.0,0.0
147,0.0,0.0,0.0
148,0.0,0.0,0.0
149,0.0,0.0,0.0
150,0.0,0.0,0.0
151,0.0,0.0,0.0
152,0.0,0.0,0.0
153,0.0,0.0,0.0
154,0.0,0.0,0.0
155,0.0,0.0,0.0
156,0.0,0.0,0.0
157,0.0,0.0,0.0
158,0.0,0.0,0.0
159,0.0,0.0,0.0
160,0.0,0.0,0.0
161,0.0,0.0,0.0
162,0.0,0.0,0.0
163,0.0,0.0,0.0
164,0.0,0.0,0.0
165,0.0,0.0,0.0
166,0.0,0.0,0.0
167,0.0,0.0,0.0
168,0.0,0.0,0.0
169,0.0,0.0,0.0
170,0.0,0.0,0.0
171,0.0,0.0,0.0
172,0.0,0.0,0.0
173,0.0,0.0,0.0
174,0.0,0.0,0.0
175,0.0,0.0,0.0
