Timestep,Turbine_ES_MW,Turbine_FR_MW,Turbine_EU_MW
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,31534.672055983763
5,0.0,0.0,31534.672055983763
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,65975.39788352515
17,0.0,0.0,65975.39788352515
18,0.0,0.0,70364.3
19,0.0,0.0,70364.3
20,0.0,0.0,70364.3
21,0.0,0.0,70364.3
22,0.0,0.0,47791.02971754495
23,0.0,0.0,47791.02971754495
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,28166.789225317298
27,0.0,0.0,28166.789225317298
28,0.0,0.0,57709.16315377912
29,0.0,0.0,57709.16315377912
30,0.0,0.0,31497.37277377133
31,0.0,0.0,31497.37277377133
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,3822.495952709361
39,0.0,0.0,3822.495952709361
40,0.0,0.0,60692.253723576665
41,0.0,0.0,60692.253723576665
42,0.0,0.0,70364.3
43,0.0,0.0,70364.3
44,0.0,0.0,63819.9574406395
45,0.0,0.0,63819.9574406395
46,0.0,0.0,21388.688671764234
47,0.0,0.0,21388.688671764234
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,7066.080298053501
65,0.0,0.0,7066.080298053501
66,0.0,0.0,68494.1352450026
67,0.0,0.0,68494.1352450026
68,0.0,0.0,54132.871137189184
69,0.0,0.0,54132.871137189184
70,0.0,0.0,33058.87107179128
71,0.0,0.0,33058.87107179128
72,0.0,0.0,24792.665680846883
73,0.0,0.0,24792.665680846883
74,0.0,0.0,19486.76137927154
75,0.0,0.0,19486.76137927154
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,27647.942112893594
89,0.0,0.0,27647.942112893594
90,0.0,0.0,9344.67270143547
91,0.0,0.0,9344.67270143547
92,0.0,0.0,40652.74665640849
93,0.0,0.0,40652.74665640849
94,0.0,0.0,8958.337013218572
95,0.0,0.0,8958.337013218572
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,1669.1967698974095
99,0.0,0.0,1669.1967698974095
100,0.0,0.0,0.0
101,0.0,0.0,0.0
102,0.0,0.0,0.0
103,0.0,0.0,0.0
104,0.0,0.0,0.0
105,0.0,0.0,0.0
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,0.0,0.0,0.0
109,0.0,0.0,0.0
110,0.0,0.0,0.0
111,0.0,0.0,0.0
112,0.0,0.0,47517.05604837009
113,0.0,0.0,47517.05604837009
114,0.0,0.0,70364.3
115,0.0,0.0,70364.3
116,0.0,0.0,33199.90176249383
117,0.0,0.0,33199.90176249383
118,0.0,0.0,38596.423759994235
119,0.0,0.0,38596.423759994235
120,0.0,0.0,21791.297862192965
121,0.0,0.0,21791.297862192965
122,0.0,0.0,18304.645047137346
123,0.0,0.0,18304.645047137346
124,0.0,0.0,34666.52648150759
125,0.0,0.0,34666.52648150759
126,0.0,0.0,0.0
127,0.0,0.0,0.0
128,0.0,0.0,0.0
129,0.0,0.0,0.0
130,0.0,0.0,0.0
131,0.0,0.0,0.0
132,0.0,0.0,0.0
133,0.0,0.0,0.0
134,0.0,0.0,0.0
135,0.0,0.0,0.0
136,0.0,0.0,30068.66950853027
137,0.0,0.0,30068.66950853027
138,0.0,0.0,66419.93065764352
139,0.0,0.0,66419.93065764352
140,0.0,0.0,47950.11962565227
141,0.0,0.0,47950.11962565227
142,0.0,0.0,13449.72088069463
143,0.0,0.0,13449.72088069463
144,0.0,0.0,0.0
145,0.0,0.0,0.0
146,0.0,0.0,0.0
147,0.0,0.0,0.0
148,0.0,0.0,0.0
149,0.0,0.0,0.0
150,0.0,0.0,0.0
151,0.0,0.0,0.0
152,0.0,0.0,0.0
153,0.0,0.0,0.0
154,0.0,0.0,0.0
155,0.0,0.0,0.0
156,0.0,0.0,0.0
157,0.0,0.0,0.0
158,0.0,0.0,0.0
159,0.0,0.0,0.0
160,0.0,0.0,0.0
161,0.0,0.0,0.0
162,0.0,0.0,44535.83664694459
163,0.0,0.0,44535.83664694459
164,0.0,0.0,37491.33266609988
165,0.0,0.0,37491.33266609988
166,0.0,0.0,2816.108931684077
167,0.0,0.0,2816.108931684077
168,0.0,0.0,0.0
169,0.0,0.0,0.0
170,0.0,0.0,0.0
171,0.0,0.0,0.0
172,0.0,0.0,0.0
173,0.0,0.0,0.0
174,0.0,0.0,0.0
175,0.0,0.0,0.0
176,0.0,0.0,0.0
177,0.0,0.0,0.0
178,0.0,0.0,0.0
179,0.0,0.0,0.0
180,0.0,0.0,0.0
181,0.0,0.0,0.0
182,0.0,0.0,0.0
183,0.0,0.0,0.0
184,0.0,0.0,23163.77255245967
