Timestep,Hydro|Reservoir_FR_0,Hydro|Reservoir_ES_0,Hydro|Pumped Storage_ES_0,Hydro|Pumped Storage_FR_0,Battery|Lithium-Ion_FR_0,Battery|Lithium-Ion_PT_0
0,6015057.5108712501824,4917272.7742094956338,0,0,0,0
1,5992067.8957425002009,4911834.4844189910218,0,0,0,0
2,5969078.2806137502193,4906396.1946284864098,0,0,0,68.809053378709592153
3,5946088.6654850002378,4900957.9048379817978,0,0,0,744.69513835996667694
4,5923099.0503562502563,4895519.6150474771857,0,0,0,1559.8081587077449512
5,5900109.4352275002748,4890081.3252569725737,0,0,0,1559.8081587077449512
6,5877119.8200987502933,4884643.0354664679617,0,0,0,403.28978258160213954
7,5854130.2049700003117,4879204.7456759633496,0,0,0,0
8,5855116.004740929231,4875339.0956377461553,0,0,0,0
9,5874043.409942178987,4869900.8058472415432,6499.2749867311422349,0,12403.555279291455008,0
10,5892970.8151434287429,4871403.4860567366704,12871.277014728388167,0,45741.12985788613878,0
11,5911898.2203446784988,4872906.1662662317976,19951.693014728389244,0,93249.670704788295552,0
12,5930825.6255459282547,4874408.8464757269248,27032.109014728390321,0,142442.18016108500888,1166.6096131513897944
13,5949753.0307471780106,4875911.526685222052,34112.52501472838776,0,171779.25383162227808,3949.2583666013897528
14,5968680.4359484277666,4877414.2068947171792,41192.941014728385198,0,195447.31288628024049,6731.9071200513899385
15,5987607.8411496775225,4878916.8871042123064,48273.357014728382637,0,199214.76137514633592,9514.5558735013892147
16,5982946.8299717698246,4880419.5673137074336,55353.773014728380076,0,199214.76137514633592,11716.415800000000672
17,6001874.2351730195805,4881922.2475232025608,62434.189014728377515,0,140904.62428877182538,11716.415800000000672
18,6012374.233334897086,4881859.9900203505531,69514.60501472838223,0,70301.324856784194708,11716.415800000000672
19,5989384.6182061471045,4876421.7002298459411,75006.646637481593643,0,31018.088963748552487,11716.415800000000672
20,5966395.003077397123,4873962.9327916838229,75006.646637481593643,0,7433.0088719897466945,11716.415800000000672
21,5943405.3879486471415,4870740.314393421635,75006.646637481593643,0,0,11716.415800000000672
22,5922920.861715734005,4865302.024602917023,76417.438031309298822,0,0,11716.415800000000672
23,5909173.2121300883591,4862003.4745573736727,76417.438031309298822,0,0,11716.415800000000672
24,5906539.1313324933872,4858642.348362439312,76417.438031309298822,0,0,11716.415800000000672
25,5921835.6696991641074,4853204.0585719347,78696.474596815838595,0,0,11716.415800000000672
26,5940763.0749004138634,4850355.1721163736656,78696.474596815838595,0,1453.8230118160847724,11716.415800000000672
27,5959690.4801016636193,4847029.156842651777,78696.474596815838595,0,9813.9498575588913809,11716.415800000000672
28,5978617.8853029133752,4842883.0625107549131,78696.474596815838595,0,20967.602524906287726,11716.415800000000672
29,5997545.2905041631311,4837444.7727202503011,78696.474596815838595,0,31627.915150277745852,10068.818176517896063
30,6016472.695705412887,4832006.482929745689,77437.385824852710357,0,39975.277646944967273,7139.7142255178960113
31,6035400.100906662643,4826568.193139241077,76696.993456019961741,0,45630.676169760539779,4210.6102745178959594
32,6054327.5061079123989,4821129.903348736465,76696.993456019961741,13148.56262977642109,48895.295430071113515,3455.2073491744531566
33,6073254.9113091621548,4819428.0765076093376,76696.993456019961741,13148.56262977642109,87659.604568638926139,3455.2073491744531566
34,6092182.3165104119107,4813989.7867171047255,82944.654368743635132,13148.56262977642109,140962.67913478793344,3455.2073491744531566
35,6111109.7217116616666,4815492.4669265998527,84466.551684942358406,13148.56262977642109,197133.12020670040511,3455.2073491744531566
36,6130037.1269129114226,4816995.1471360949799,86465.740647793340031,13148.56262977642109,256193.76671086525312,3455.2073491744531566
37,6148964.5321141611785,4818497.8273455901071,88584.873551135373418,13148.56262977642109,321377.22486375737935,3455.2073491744531566
38,6167891.9373154109344,4820000.5075550852343,88594.67988056797185,13148.56262977642109,367887.04012200864963,6237.8561026244533423
39,6186819.3425166606903,4814562.2177645806223,95675.095880567969289,13148.56262977642109,387909.01659999997355,7021.0931907591602794
40,6205746.7477179104462,4809123.9279740760103,100317.70509041412151,13148.56262977642109,379523.38896319351625,9011.908884267852045
41,6224674.1529191602021,4804562.6027033189312,100317.70509041412151,13148.56262977642109,343026.55690066958778,11716.415800000000672
42,6243601.5581204099581,4799124.3129128143191,100317.70509041412151,13148.56262977642109,286533.70952267525718,10666.213889390530312
43,6262528.963321659714,4793686.0231223097071,98384.829187956871465,13148.56262977642109,214584.10874262920697,7737.1099383905302602
44,6281456.3685229094699,4788247.7333318050951,95135.641260801901808,13148.56262977642109,141314.48866532521788,4808.0059873905302084
45,6300383.7737241592258,4782809.443541300483,92960.666958591420553,13148.56262977642109,77260.257409179481328,1878.9020363905301565
46,6294376.2382487822324,4777371.153750795871,90022.151735910272691,13148.56262977642109,48927.818952721790993,0
47,6313303.6434500319883,4771932.863960291259,86793.4913627737551,13148.56262977642109,0,0
48,6294847.0332805933431,4766494.574169786647,85260.29183321169694,13148.56262977642109,0,0
49,6290220.9649363877252,4761744.4958480354398,85260.29183321169694,13148.56262977642109,0,0
50,6297025.8144193720073,4758491.0341945076361,85260.29183321169694,13148.56262977642109,0,0
51,6312667.3571144267917,4755796.7995752738789,85260.29183321169694,13148.56262977642109,0,0
52,6331594.7623156765476,4753708.6513336105272,85260.29183321169694,17407.534659880660911,0,0
53,6350522.1675169263035,4750342.57939016819,85260.29183321169694,31700.299577203266381,0,0
54,6369449.5727181760594,4744904.289599663578,85349.58547431039915,50245.806911543266324,0,0
55,6388376.9779194258153,4739465.9998091589659,85644.469657369423658,68791.314245883258991,0,0
56,6407304.3831206755713,4738322.1416667904705,85644.469657369423658,87336.821580223258934,0,0
57,6426231.7883219253272,4735000.730214045383,92724.885657369421097,105882.32891456325888,0,0
58,6445159.1935231750831,4736503.4104235405102,99805.301657369418535,124427.83624890325882,0,0
59,6464086.598724424839,4738006.0906330356374,106885.71765736941597,142973.34358324325876,92128.391451999996207,455.2949242487952688
