Timestep,Hydro|Reservoir_FR_0,Hydro|Reservoir_ES_0,Hydro|Pumped Storage_ES_0,Hydro|Pumped Storage_FR_0,Battery|Lithium-Ion_FR_0,Battery|Lithium-Ion_PT_0
0,6.038047126e6,4.922711064e6,0.0,0.0,0.0,0.0
1,6.014756967904847e6,4.917272774209496e6,0.0,0.0,0.0,0.0
2,5.991466809809695e6,4.91183448441899e6,0.0,0.0,0.0,0.0
3,5.959696812067332e6,4.9081385042092595e6,0.0,0.0,0.0,0.0
4,5.927926814324968e6,4.90444252399953e6,0.0,0.0,0.0,0.0
5,5.910781862916388e6,4.90346393470811e6,0.0,0.0,0.0,0.0
6,5.893636911507809e6,4.90248534541669e6,0.0,0.0,0.0,0.0
7,5.905341882520204e6,4.903988025626185e6,0.0,0.0,0.0,0.0
8,5.917046853532601e6,4.9054907058356805e6,0.0,0.0,0.0,0.0
9,5.928625436094038e6,4.906993386045176e6,0.0,0.0,0.0,0.0
10,5.940204018655475e6,4.908496066254671e6,0.0,0.0,0.0,0.0
11,5.950927897167271e6,4.909998746464166e6,0.0,0.0,0.0,0.0
12,5.961651775679066e6,4.911501426673661e6,0.0,0.0,0.0,0.0
13,5.971751549734004e6,4.913004106883156e6,0.0,0.0,0.0,0.0
14,5.981851323788943e6,4.914506787092651e6,0.0,0.0,0.0,0.0
15,5.991658304936555e6,4.916009467302146e6,0.0,0.0,0.0,0.0
16,6.001465286084168e6,4.9175121475116415e6,0.0,0.0,0.0,0.0
17,5.986317935926842e6,4.919014827721137e6,0.0,0.0,0.0,0.0
18,5.9711705857695155e6,4.920517507930632e6,0.0,0.0,0.0,0.0
19,5.938996437974798e6,4.922020188140127e6,0.0,0.0,0.0,0.0
20,5.90682229018008e6,4.923522868349622e6,0.0,0.0,0.0,0.0
21,5.915367488345394e6,4.922333562926982e6,0.0,0.0,0.0,0.0
22,5.923912686510708e6,4.921144257504341e6,0.0,0.0,0.0,0.0
23,5.9300505843314845e6,4.915705967713837e6,0.0,0.0,0.0,0.0
24,5.936188482152261e6,4.910267677923331e6,0.0,0.0,0.0,0.0
25,5.941766045857634e6,4.9048293881328255e6,0.0,0.0,0.0,0.0
26,5.947343609563007e6,4.899391098342321e6,0.0,0.0,0.0,0.0
27,5.953535708557761e6,4.897634286793948e6,0.0,0.0,0.0,0.0
28,5.9597278075525155e6,4.895877475245575e6,0.0,0.0,0.0,0.0
29,5.938999837838285e6,4.892018389126072e6,0.0,0.0,0.0,0.0
30,5.918271868124054e6,4.888159303006567e6,0.0,0.0,0.0,0.0
31,5.930310067964809e6,4.888528090190174e6,0.0,0.0,0.0,0.0
32,5.942348267805565e6,4.888896877373782e6,0.0,0.0,0.0,0.0
33,5.954622731692828e6,4.890399557583277e6,0.0,0.0,0.0,0.0
34,5.966897195580091e6,4.891902237792772e6,0.0,0.0,0.0,0.0
35,5.97841077939539e6,4.893404918002267e6,0.0,0.0,0.0,0.0
36,5.989924363210689e6,4.8949075982117625e6,0.0,0.0,0.0,0.0
37,6.000959606529871e6,4.896410278421258e6,0.0,0.0,0.0,0.0
38,6.011994849849052e6,4.897912958630753e6,0.0,0.0,0.0,0.0
