Timestep,Hydro|Reservoir_FR_0,Hydro|Reservoir_ES_0,Hydro|Pumped Storage_ES_0,Hydro|Pumped Storage_FR_0,Battery|Lithium-Ion_FR_0,Battery|Lithium-Ion_PT_0
0,2.3400000000000005e6,4.922711064e6,0.0,0.0,0.0,0.0
1,2.3404660000000005e6,4.918794987621233e6,0.0,0.0,0.0,0.0
2,2.3409320000000005e6,4.914878911242466e6,0.0,0.0,0.0,0.0
3,2.3413890000000005e6,4.912311999890686e6,0.0,0.0,0.0,0.0
4,2.3418460000000005e6,4.909745088538906e6,0.0,0.0,0.0,0.0
5,2.3427440000000005e6,4.907606984929673e6,0.0,0.0,0.0,0.0
6,2.3436420000000005e6,4.905468881320441e6,0.0,0.0,0.0,0.0
7,2.3430139797481066e6,4.901487462258276e6,0.0,0.0,0.0,0.0
8,2.3423859594962127e6,4.897506043196111e6,0.0,0.0,0.0,0.0
9,2.3428826774118505e6,4.894829173160336e6,0.0,0.0,0.0,0.0
10,2.343379395327488e6,4.892152303124561e6,0.0,0.0,0.0,0.0
11,2.344561629953652e6,4.892946718459885e6,0.0,0.0,0.0,0.0
12,2.3457438645798163e6,4.893741133795208e6,0.0,0.0,0.0,0.0
13,2.3467021480597844e6,4.895243814004703e6,0.0,0.0,0.0,0.0
14,2.3476604315397525e6,4.896746494214199e6,0.0,0.0,0.0,0.0
15,2.3475404638299965e6,4.898249174423694e6,0.0,0.0,0.0,0.0
16,2.3474204961202405e6,4.899751854633189e6,0.0,0.0,0.0,0.0
17,2.3447578239486963e6,4.901193353098021e6,0.0,0.0,0.0,0.0
18,2.3420951517771524e6,4.902634851562853e6,0.0,0.0,0.0,0.0
19,2.340683111204453e6,4.897196561772348e6,0.0,0.0,0.0,0.0
20,2.339271070631753e6,4.891758271981843e6,0.0,0.0,0.0,0.0
21,2.3364052243547784e6,4.886319982191337e6,0.0,0.0,0.0,0.0
22,2.333539378077803e6,4.880881692400833e6,0.0,0.0,0.0,0.0
23,2.334424878077803e6,4.875443402610328e6,0.0,0.0,0.0,0.0
24,2.335310378077803e6,4.8700051128198225e6,0.0,0.0,0.0,0.0
25,2.335904378077803e6,4.864566823029317e6,0.0,0.0,0.0,0.0
26,2.336498378077803e6,4.859128533238812e6,0.0,0.0,0.0,0.0
27,2.337332378077803e6,4.853690243448308e6,0.0,0.0,0.0,0.0
28,2.338166378077803e6,4.848251953657802e6,0.0,0.0,0.0,0.0
29,2.339496378077803e6,4.843966659654376e6,0.0,0.0,0.0,0.0
30,2.340826378077803e6,4.83968136565095e6,0.0,0.0,0.0,0.0
31,2.3410745408048853e6,4.836036791343767e6,0.0,0.0,0.0,0.0
32,2.341322703531968e6,4.832392217036583e6,0.0,0.0,0.0,0.0
33,2.343218354892903e6,4.833894897246079e6,0.0,0.0,0.0,0.0
34,2.3451140062538376e6,4.835397577455574e6,0.0,0.0,0.0,0.0
35,2.346910835403313e6,4.836900257665069e6,0.0,0.0,0.0,0.0
36,2.3487076645527883e6,4.838402937874564e6,0.0,0.0,0.0,0.0
37,2.3509811645527883e6,4.839905618084059e6,0.0,0.0,0.0,0.0
38,2.3532546645527883e6,4.841408298293554e6,0.0,0.0,0.0,0.0
39,2.3560006645527883e6,4.842910978503049e6,0.0,0.0,0.0,0.0
40,2.3587466645527883e6,4.8444136587125445e6,0.0,0.0,0.0,0.0
41,2.3600428783913427e6,4.84591633892204e6,0.0,0.0,0.0,0.0
42,2.361339092229897e6,4.847419019131535e6,0.0,0.0,0.0,0.0
43,2.362712092229897e6,4.845367477805302e6,0.0,0.0,0.0,0.0
44,2.364085092229897e6,4.843315936479068e6,0.0,0.0,0.0,0.0
45,2.365450998752917e6,4.837877646688564e6,0.0,0.0,0.0,0.0
46,2.3668169052759376e6,4.832439356898058e6,0.0,0.0,0.0,0.0
47,2.3685799052759376e6,4.827001067107553e6,0.0,0.0,0.0,0.0
48,2.3703429052759376e6,4.821562777317048e6,0.0,0.0,0.0,0.0
49,2.3708809052759376e6,4.816124487526543e6,0.0,0.0,0.0,0.0
50,2.3714189052759376e6,4.810686197736038e6,0.0,0.0,0.0,0.0
51,2.3717194052759376e6,4.805247907945532e6,0.0,0.0,0.0,0.0
52,2.3720199052759376e6,4.799809618155028e6,0.0,0.0,0.0,0.0
53,2.3724089052759376e6,4.794704370457046e6,0.0,0.0,0.0,0.0
54,2.3727979052759376e6,4.789599122759065e6,0.0,0.0,0.0,0.0
55,2.3738504052759376e6,4.784160832968559e6,0.0,0.0,0.0,0.0
56,2.3749029052759376e6,4.7787225431780545e6,0.0,0.0,0.0,0.0
57,2.3767379052759376e6,4.7756873793146005e6,0.0,0.0,0.0,0.0
58,2.3785729052759376e6,4.7726522154511465e6,0.0,0.0,0.0,0.0
59,2.3800559052759376e6,4.774154895660642e6,0.0,0.0,0.0,0.0
60,2.3815389052759376e6,4.775657575870137e6,0.0,0.0,0.0,0.0
61,2.3825654052759376e6,4.777160256079632e6,0.0,0.0,0.0,0.0
