Timestep,Hydro|Reservoir_FR_0,Hydro|Reservoir_ES_0,Hydro|Pumped Storage_ES_0,Hydro|Pumped Storage_FR_0,Battery|Lithium-Ion_FR_0,Battery|Lithium-Ion_PT_0
0,2.3400000000000005e6,4.922711064e6,0.0,0.0,0.0,0.0
1,2.33167866e6,4.9233701788620055e6,0.0,0.0,0.0,0.0
2,2.3233573200000003e6,4.924029293724011e6,0.0,0.0,0.0,0.0
3,2.315587249863117e6,4.9250412179524135e6,0.0,0.0,0.0,0.0
4,2.3078171797262332e6,4.926053142180817e6,0.0,0.0,0.0,0.0
5,2.300426239109871e6,4.928148916624446e6,0.0,0.0,0.0,0.0
6,2.293035298493509e6,4.930244691068076e6,0.0,0.0,0.0,0.0
7,2.2864739584935093e6,4.934673719722171e6,0.0,0.0,0.0,0.0
8,2.279912618493509e6,4.939102748376267e6,0.0,0.0,0.0,0.0
9,2.282424118493509e6,4.944567883271577e6,0.0,0.0,0.0,0.0
10,2.284935618493509e6,4.950033018166888e6,0.0,0.0,0.0,0.0
11,2.286846118493509e6,4.955585580339285e6,0.0,0.0,0.0,0.0
12,2.288756618493509e6,4.961138142511681e6,0.0,0.0,0.0,0.0
13,2.290497618493509e6,4.965745746029613e6,0.0,0.0,0.0,0.0
14,2.292238618493509e6,4.9703533495475445e6,0.0,0.0,0.0,0.0
15,2.293679118493509e6,4.974291297326092e6,0.0,0.0,0.0,0.0
16,2.295119618493509e6,4.978229245104639e6,0.0,0.0,0.0,0.0
17,2.291936259211178e6,4.981586824575719e6,0.0,0.0,0.0,0.0
18,2.2887528999288464e6,4.9849444040468e6,0.0,0.0,0.0,0.0
19,2.2814015599288465e6,4.988492959413927e6,0.0,0.0,0.0,0.0
20,2.274050219928846e6,4.992041514781055e6,0.0,0.0,0.0,0.0
21,2.267231379928846e6,4.99462464979057e6,0.0,0.0,0.0,0.0
22,2.260412539928846e6,4.997207784800084e6,0.0,0.0,0.0,0.0
23,2.252510699928846e6,4.998561357465896e6,0.0,0.0,0.0,0.0
24,2.244608859928846e6,4.999914930131707e6,0.0,0.0,0.0,0.0
25,2.240327725601916e6,5.000894611676362e6,0.0,0.0,0.0,0.0
26,2.236046591274987e6,5.001874293221017e6,0.0,0.0,0.0,0.0
27,2.236880591274987e6,5.003167100828996e6,0.0,0.0,0.0,0.0
28,2.237714591274987e6,5.0044599084369745e6,0.0,0.0,0.0,0.0
29,2.232120510674322e6,5.007028782259447e6,0.0,0.0,0.0,0.0
30,2.2265264300736566e6,5.009597656081919e6,0.0,0.0,0.0,0.0
31,2.228642626710182e6,5.014084349535795e6,0.0,0.0,0.0,0.0
32,2.230758823346707e6,5.018571042989671e6,0.0,0.0,0.0,0.0
33,2.233827823346707e6,5.023289015694279e6,0.0,0.0,0.0,0.0
34,2.236896823346707e6,5.028006988398887e6,0.0,0.0,0.0,0.0
35,2.239508323346707e6,5.03124055754786e6,0.0,0.0,0.0,0.0
36,2.242119823346707e6,5.034474126696832e6,0.0,0.0,0.0,0.0
37,2.244393323346707e6,5.03589342483336e6,0.0,0.0,0.0,0.0
38,2.246666823346707e6,5.037312722969889e6,0.0,0.0,0.0,0.0
39,2.249412823346707e6,5.038641493571279e6,0.0,0.0,0.0,0.0
40,2.252158823346707e6,5.039970264172669e6,0.0,0.0,0.0,0.0
41,2.254417823346707e6,5.0413411982835755e6,0.0,0.0,0.0,0.0
42,2.256676823346707e6,5.042712132394481e6,0.0,0.0,0.0,0.0
43,2.258049823346707e6,5.0450602678436e6,0.0,0.0,0.0,0.0
44,2.259422823346707e6,5.04740840329272e6,0.0,0.0,0.0,0.0
45,2.2561831199540906e6,5.050300944055894e6,0.0,0.0,0.0,0.0
46,2.2529434165614746e6,5.0531934848190695e6,0.0,0.0,0.0,0.0
47,2.2547064165614746e6,5.055144787237443e6,0.0,0.0,0.0,0.0
48,2.2564694165614746e6,5.057096089655816e6,0.0,0.0,0.0,0.0
49,2.2570074165614746e6,5.058221483328948e6,0.0,0.0,0.0,0.0
50,2.2575454165614746e6,5.05934687700208e6,0.0,0.0,0.0,0.0
51,2.2578459165614746e6,5.060200688069795e6,0.0,0.0,0.0,0.0
52,2.2581464165614746e6,5.061054499137511e6,0.0,0.0,0.0,0.0
53,2.2585354165614746e6,5.062109206927041e6,0.0,0.0,0.0,0.0
54,2.2589244165614746e6,5.063163914716572e6,0.0,0.0,0.0,0.0
55,2.2599769165614746e6,5.065763171067961e6,0.0,0.0,0.0,0.0
56,2.2610294165614746e6,5.068362427419349e6,0.0,0.0,0.0,0.0
57,2.2628644165614746e6,5.072588699196797e6,0.0,0.0,0.0,0.0
58,2.2646994165614746e6,5.076814970974246e6,0.0,0.0,0.0,0.0
59,2.2661824165614746e6,5.081113788790128e6,0.0,0.0,0.0,0.0
60,2.2676654165614746e6,5.08541260660601e6,0.0,0.0,0.0,0.0
61,2.2686919165614746e6,5.087648512713622e6,0.0,0.0,0.0,0.0
62,2.2697184165614746e6,5.089884418821233e6,0.0,0.0,0.0,0.0
63,2.2706274165614746e6,5.091030894249124e6,0.0,0.0,0.0,0.0
64,2.2715364165614746e6,5.092177369677015e6,0.0,0.0,0.0,0.0
65,2.2737994165614746e6,5.093738659632357e6,0.0,0.0,0.0,0.0
66,2.2760624165614746e6,5.0952999495877e6,0.0,0.0,0.0,0.0
