Timestep,Hydro|Reservoir_FR_0,Hydro|Reservoir_ES_0,Hydro|Pumped Storage_ES_0,Hydro|Pumped Storage_FR_0,Battery|Lithium-Ion_FR_0,Battery|Lithium-Ion_PT_0
0,2.3400000000000005e6,4.922711064e6,0.0,0.0,0.0,0.0
1,2.3404660000000005e6,4.9233701788620055e6,0.0,0.0,0.0,0.0
2,2.3409320000000005e6,4.924029293724011e6,0.0,0.0,0.0,0.0
3,2.3413890000000005e6,4.9250412179524135e6,0.0,0.0,0.0,0.0
4,2.3418460000000005e6,4.926053142180817e6,0.0,0.0,0.0,0.0
5,2.3427440000000005e6,4.928148916624446e6,0.0,0.0,0.0,0.0
6,2.3436420000000005e6,4.930244691068076e6,0.0,0.0,0.0,0.0
7,2.3458680000000005e6,4.934673719722171e6,0.0,0.0,0.0,0.0
8,2.3480940000000005e6,4.939102748376267e6,0.0,0.0,0.0,0.0
9,2.3506055000000005e6,4.944567883271577e6,0.0,0.0,0.0,0.0
10,2.3531170000000005e6,4.950033018166888e6,0.0,0.0,0.0,0.0
11,2.3550275000000005e6,4.955585580339285e6,0.0,0.0,0.0,0.0
12,2.3569380000000005e6,4.961138142511681e6,0.0,0.0,0.0,0.0
13,2.3586790000000005e6,4.965745746029613e6,0.0,0.0,0.0,0.0
14,2.3604200000000005e6,4.9703533495475445e6,0.0,0.0,0.0,0.0
15,2.3618605000000005e6,4.974291297326092e6,0.0,0.0,0.0,0.0
16,2.3633010000000005e6,4.978229245104639e6,0.0,0.0,0.0,0.0
17,2.3649020000000005e6,4.981586824575719e6,0.0,0.0,0.0,0.0
18,2.3665030000000005e6,4.9849444040468e6,0.0,0.0,0.0,0.0
19,2.3679390000000005e6,4.988492959413927e6,0.0,0.0,0.0,0.0
20,2.3693750000000005e6,4.992041514781055e6,0.0,0.0,0.0,0.0
21,2.3713435000000005e6,4.99462464979057e6,0.0,0.0,0.0,0.0
22,2.3733120000000005e6,4.997207784800084e6,0.0,0.0,0.0,0.0
23,2.3741975000000005e6,4.998561357465896e6,0.0,0.0,0.0,0.0
24,2.3750830000000005e6,4.999914930131707e6,0.0,0.0,0.0,0.0
25,2.3756770000000005e6,5.000894611676362e6,0.0,0.0,0.0,0.0
26,2.3762710000000005e6,5.001874293221017e6,0.0,0.0,0.0,0.0
27,2.3771050000000005e6,5.003167100828996e6,0.0,0.0,0.0,0.0
28,2.3779390000000005e6,5.0044599084369745e6,0.0,0.0,0.0,0.0
29,2.3792690000000005e6,5.007028782259447e6,0.0,0.0,0.0,0.0
30,2.3805990000000005e6,5.009597656081919e6,0.0,0.0,0.0,0.0
31,2.3831605000000005e6,5.014084349535795e6,0.0,0.0,0.0,0.0
32,2.3857220000000005e6,5.018571042989671e6,0.0,0.0,0.0,0.0
33,2.3887910000000005e6,5.023289015694279e6,0.0,0.0,0.0,0.0
34,2.3918600000000005e6,5.028006988398887e6,0.0,0.0,0.0,0.0
35,2.3944715000000005e6,5.03124055754786e6,0.0,0.0,0.0,0.0
36,2.3970830000000005e6,5.034474126696832e6,0.0,0.0,0.0,0.0
37,2.3993565000000005e6,5.03589342483336e6,0.0,0.0,0.0,0.0
38,2.4016300000000005e6,5.037312722969889e6,0.0,0.0,0.0,0.0
39,2.4043760000000005e6,5.038641493571279e6,0.0,0.0,0.0,0.0
40,2.4071220000000005e6,5.039970264172669e6,0.0,0.0,0.0,0.0
41,2.4093810000000005e6,5.0413411982835755e6,0.0,0.0,0.0,0.0
42,2.4116400000000005e6,5.042712132394481e6,0.0,0.0,0.0,0.0
43,2.4130130000000005e6,5.0450602678436e6,0.0,0.0,0.0,0.0
44,2.4143860000000005e6,5.04740840329272e6,0.0,0.0,0.0,0.0
45,2.4161865000000005e6,5.050300944055894e6,0.0,0.0,0.0,0.0
46,2.4179870000000005e6,5.0531934848190695e6,0.0,0.0,0.0,0.0
47,2.4197500000000005e6,5.055144787237443e6,0.0,0.0,0.0,0.0
