Timestep,Hydro|Reservoir_FR_0,Hydro|Reservoir_ES_0,Hydro|Pumped Storage_ES_0,Hydro|Pumped Storage_FR_0,Battery|Lithium-Ion_FR_0,Battery|Lithium-Ion_PT_0
0,6.038047126e6,4.922711064e6,0.0,0.0,0.0,0.0
1,6.017609861904847e6,4.917448249297455e6,0.0,0.0,0.0,0.0
2,5.997172597809695e6,4.91218543459491e6,0.0,0.0,0.0,0.0
3,5.968255494067332e6,4.909102220385179e6,0.0,0.0,0.0,0.0
4,5.939338390324968e6,4.906019006175449e6,0.0,0.0,0.0,0.0
5,5.925046332916388e6,4.90565318288403e6,0.0,0.0,0.0,0.0
6,5.910754275507809e6,4.90528735959261e6,0.0,0.0,0.0,0.0
7,5.9224592465202045e6,4.906723212920318e6,0.0,0.0,0.0,0.0
8,5.934164217532601e6,4.908159066248027e6,0.0,0.0,0.0,0.0
9,5.945742800094038e6,4.909661746457522e6,0.0,0.0,0.0,0.0
10,5.957321382655475e6,4.911164426667017e6,0.0,0.0,0.0,0.0
11,5.968045261167271e6,4.912667106876512e6,0.0,0.0,0.0,0.0
12,5.978769139679066e6,4.914169787086007e6,0.0,0.0,0.0,0.0
13,5.988868913734004e6,4.915672467295502e6,0.0,0.0,0.0,0.0
14,5.998968687788943e6,4.917175147504997e6,0.0,0.0,0.0,0.0
15,6.008775668936555e6,4.918677827714493e6,0.0,0.0,0.0,0.0
16,6.018582650084168e6,4.920180507923988e6,0.0,0.0,0.0,0.0
17,6.028778869456658e6,4.921683188133483e6,0.0,0.0,0.0,0.0
18,6.038975088829149e6,4.923185868342978e6,0.0,0.0,0.0,0.0
19,6.006800941034431e6,4.923460256706017e6,0.0,0.0,0.0,0.0
20,5.974626793239713e6,4.923734645069056e6,0.0,0.0,0.0,0.0
21,5.983171991405027e6,4.920450373501402e6,0.0,0.0,0.0,0.0
22,5.991717189570341e6,4.917166101933748e6,0.0,0.0,0.0,0.0
23,5.997855087391118e6,4.911727812143244e6,0.0,0.0,0.0,0.0
24,6.003992985211894e6,4.906289522352738e6,0.0,0.0,0.0,0.0
25,6.001344343387451e6,4.901898443356628e6,0.0,0.0,0.0,0.0
26,5.998695701563007e6,4.897507364360516e6,0.0,0.0,0.0,0.0
27,6.004887800557761e6,4.894609947800435e6,0.0,0.0,0.0,0.0
28,6.011079899552516e6,4.891712531240354e6,0.0,0.0,0.0,0.0
29,5.993204823838284e6,4.889810987755928e6,0.0,0.0,0.0,0.0
30,5.975329748124054e6,4.887909444271503e6,0.0,0.0,0.0,0.0
31,5.98736794796481e6,4.886477011956351e6,0.0,0.0,0.0,0.0
32,5.999406147805565e6,4.885044579641198e6,0.0,0.0,0.0,0.0
33,6.011680611692828e6,4.883653827263214e6,0.0,0.0,0.0,0.0
34,6.023955075580091e6,4.882263074885229e6,0.0,0.0,0.0,0.0
35,6.03546865939539e6,4.882715071118331e6,0.0,0.0,0.0,0.0
36,6.046982243210689e6,4.883167067351433e6,0.0,0.0,0.0,0.0
37,6.05801748652987e6,4.884669747560929e6,0.0,0.0,0.0,0.0
38,6.069052729849052e6,4.886172427770424e6,0.0,0.0,0.0,0.0
39,6.08026402258349e6,4.8866074139704e6,0.0,0.0,0.0,0.0
40,6.091475315317929e6,4.887042400170376e6,0.0,0.0,0.0,0.0
41,6.102412032503638e6,4.884224095551664e6,0.0,0.0,0.0,0.0
42,6.113348749689348e6,4.8814057909329515e6,0.0,0.0,0.0,0.0
43,6.123214449864633e6,4.875967501142446e6,0.0,0.0,0.0,0.0
44,6.133080150039919e6,4.870529211351941e6,0.0,0.0,0.0,0.0
45,6.142326730315154e6,4.865090921561437e6,0.0,0.0,0.0,0.0
46,6.15157331059039e6,4.859652631770931e6,0.0,0.0,0.0,0.0
47,6.159226659311926e6,4.854214341980426e6,0.0,0.0,0.0,0.0
48,6.166880008033462e6,4.848776052189921e6,0.0,0.0,0.0,0.0
49,6.1733874856446115e6,4.850278732399416e6,0.0,0.0,0.0,0.0
50,6.179894963255761e6,4.851781412608911e6,0.0,0.0,0.0,0.0
51,6.186169578958992e6,4.851155770285657e6,0.0,0.0,0.0,0.0
52,6.192444194662224e6,4.850530127962401e6,0.0,0.0,0.0,0.0
53,6.199793262297491e6,4.852032808171896e6,0.0,0.0,0.0,0.0
54,6.207142329932758e6,4.853535488381391e6,0.0,0.0,0.0,0.0
55,6.2163105305186855e6,4.8550381685908865e6,0.0,0.0,0.0,0.0
56,6.225478731104613e6,4.856540848800382e6,0.0,0.0,0.0,0.0
57,6.235469346464036e6,4.858043529009877e6,0.0,0.0,0.0,0.0
58,6.245459961823459e6,4.859546209219372e6,0.0,0.0,0.0,0.0
59,6.25517160975524e6,4.861048889428867e6,0.0,0.0,0.0,0.0
60,6.264883257687023e6,4.862551569638362e6,0.0,0.0,0.0,0.0
61,6.274109364129463e6,4.864054249847857e6,0.0,0.0,0.0,0.0
62,6.283335470571903e6,4.865556930057352e6,0.0,0.0,0.0,0.0
63,6.29274264109336e6,4.867059610266848e6,0.0,0.0,0.0,0.0
64,6.302149811614819e6,4.868562290476343e6,0.0,0.0,0.0,0.0
65,6.312461507269505e6,4.870064970685838e6,0.0,0.0,0.0,0.0
66,6.322773202924191e6,4.871567650895333e6,0.0,0.0,0.0,0.0
67,6.2948897180897705e6,4.873070331104828e6,0.0,0.0,0.0,0.0
68,6.267006233255349e6,4.874573011314323e6,0.0,0.0,0.0,0.0
69,6.276788525034793e6,4.871913597878173e6,0.0,0.0,0.0,0.0
70,6.286570816814237e6,4.869254184442022e6,0.0,0.0,0.0,0.0
71,6.294140972525306e6,4.864010973461285e6,0.0,0.0,0.0,0.0
72,6.301711128236375e6,4.858767762480549e6,0.0,0.0,0.0,0.0
73,6.308332075969655e6,4.854977934295988e6,0.0,0.0,0.0,0.0
74,6.314953023702935e6,4.851188106111428e6,0.0,0.0,0.0,0.0
75,6.321382424653154e6,4.848756034905781e6,0.0,0.0,0.0,0.0
76,6.3278118256033715e6,4.846323963700134e6,0.0,0.0,0.0,0.0
77,6.335315822101731e6,4.845148741059636e6,0.0,0.0,0.0,0.0
78,6.342819818600089e6,4.843973518419137e6,0.0,0.0,0.0,0.0
79,6.35160410239717e6,4.843582392993302e6,0.0,0.0,0.0,0.0
80,6.36038838619425e6,4.843191267567467e6,0.0,0.0,0.0,0.0
81,6.37009708965026e6,4.844693947776962e6,0.0,0.0,0.0,0.0
82,6.379805793106271e6,4.846196627986457e6,0.0,0.0,0.0,0.0
83,6.389695354895476e6,4.847699308195952e6,0.0,0.0,0.0,0.0
84,6.3995849166846825e6,4.849201988405447e6,0.0,0.0,0.0,0.0
85,6.408994718771692e6,4.850704668614943e6,0.0,0.0,0.0,0.0
86,6.418404520858703e6,4.852207348824438e6,0.0,0.0,0.0,0.0
87,6.428087413536372e6,4.853710029033933e6,0.0,0.0,0.0,0.0
88,6.437770306214039e6,4.855212709243428e6,0.0,0.0,0.0,0.0
89,6.447865720172411e6,4.856715389452923e6,0.0,0.0,0.0,0.0
90,6.457961134130782e6,4.858218069662418e6,0.0,0.0,0.0,0.0
91,6.468289377779795e6,4.859715778684981e6,0.0,0.0,0.0,0.0
92,6.478617621428806e6,4.861213487707544e6,0.0,0.0,0.0,0.0
93,6.488269941428877e6,4.8577676458260305e6,0.0,0.0,0.0,0.0
94,6.497922261428949e6,4.854321803944516e6,0.0,0.0,0.0,0.0
95,6.504756053259822e6,4.850911389165685e6,0.0,0.0,0.0,0.0
96,6.511589845090693e6,4.847500974386852e6,0.0,0.0,0.0,0.0
97,6.517277557643933e6,4.846772302322088e6,0.0,0.0,0.0,0.0
98,6.5229652701971745e6,4.846043630257323e6,0.0,0.0,0.0,0.0
99,6.528549524786987e6,4.840605340466818e6,0.0,0.0,0.0,0.0
100,6.5341337793768e6,4.835167050676313e6,0.0,0.0,0.0,0.0
101,6.542080695193873e6,4.830313710803024e6,0.0,0.0,0.0,0.0
102,6.550027611010945e6,4.825460370929734e6,0.0,0.0,0.0,0.0
103,6.559915846058918e6,4.822189352596147e6,0.0,0.0,0.0,0.0
104,6.569804081106891e6,4.81891833426256e6,0.0,0.0,0.0,0.0
105,6.5797417367629e6,4.818527414480437e6,0.0,0.0,0.0,0.0
106,6.58967939241891e6,4.818136494698314e6,0.0,0.0,0.0,0.0
107,6.59939234560789e6,4.819639174907809e6,0.0,0.0,0.0,0.0
108,6.609105298796871e6,4.821141855117304e6,0.0,0.0,0.0,0.0
109,6.618395905688666e6,4.822644535326799e6,0.0,0.0,0.0,0.0
110,6.62768651258046e6,4.8241472155362945e6,0.0,0.0,0.0,0.0
111,6.637102530999487e6,4.82564989574579e6,0.0,0.0,0.0,0.0
112,6.646518549418515e6,4.827152575955285e6,0.0,0.0,0.0,0.0
113,6.6566836156965215e6,4.82512496238665e6,0.0,0.0,0.0,0.0
114,6.666848681974527e6,4.823097348818015e6,0.0,0.0,0.0,0.0
115,6.676979907938189e6,4.81765905902751e6,0.0,0.0,0.0,0.0
116,6.68711113390185e6,4.812220769237005e6,0.0,0.0,0.0,0.0
117,6.696267604589311e6,4.809102869360559e6,0.0,0.0,0.0,0.0
118,6.705424075276773e6,4.805984969484113e6,0.0,0.0,0.0,0.0
119,6.711922573767624e6,4.801244146558365e6,0.0,0.0,0.0,0.0
120,6.718421072258474e6,4.796503323632616e6,0.0,0.0,0.0,0.0
121,6.72432165327975e6,4.794343492932763e6,0.0,0.0,0.0,0.0
122,6.730222234301024e6,4.79218366223291e6,0.0,0.0,0.0,0.0
123,6.736256225031776e6,4.792759615356134e6,0.0,0.0,0.0,0.0
124,6.742290215762528e6,4.793335568479357e6,0.0,0.0,0.0,0.0
125,6.751267954276795e6,4.788151740701312e6,0.0,0.0,0.0,0.0
126,6.760245692791062e6,4.782967912923268e6,0.0,0.0,0.0,0.0
127,6.771221372350154e6,4.781420415182892e6,0.0,0.0,0.0,0.0
128,6.782197051909246e6,4.779872917442516e6,0.0,0.0,0.0,0.0
129,6.793734373480096e6,4.781375597652012e6,0.0,0.0,0.0,0.0
130,6.805271695050947e6,4.782878277861507e6,0.0,0.0,0.0,0.0
131,6.816365546064146e6,4.784380958071002e6,0.0,0.0,0.0,0.0
132,6.827459397077343e6,4.785883638280497e6,0.0,0.0,0.0,0.0
133,6.838449965510011e6,4.787386318489992e6,0.0,0.0,0.0,0.0
