bus_id,nuts3,method
ES00001,ES300,polygon
ES00002,ES300,polygon
ES00003,ES511,polygon
ES00004,ES511,polygon
ES00005,ES511,polygon
ES00006,ES612,polygon
ES00007,ES612,polygon
ES00008,ES618,polygon
ES00009,ES618,polygon
ES00010,ES432,polygon
ES00011,ES511,polygon
ES00012,ES511,polygon
ES00013,ES300,polygon
ES00014,ES300,polygon
ES00015,ES300,polygon
ES00016,ES300,polygon
ES00017,ES432,polygon
ES00018,ES300,polygon
ES00019,ES300,polygon
ES00020,ES300,polygon
ES00021,ES300,polygon
ES00022,ES300,polygon
ES00023,ES300,polygon
ES00024,ES300,polygon
ES00025,ES412,polygon
ES00026,ES412,polygon
ES00027,ES412,polygon
ES00028,ES300,polygon
ES00029,ES300,polygon
ES00030,ES300,polygon
ES00031,ES300,polygon
ES00032,ES300,polygon
ES00033,ES300,polygon
ES00034,ES618,polygon
ES00035,ES618,polygon
ES00036,ES431,polygon
ES00037,ES412,polygon
ES00038,ES412,polygon
ES00039,ES412,polygon
ES00040,ES414,polygon
ES00041,ES414,polygon
ES00042,ES414,polygon
ES00043,ES414,polygon
ES00044,ES412,polygon
ES00045,ES213,polygon
ES00046,ES213,polygon
ES00047,ES511,polygon
ES00048,ES511,polygon
ES00049,ES416,polygon
ES00050,ES416,polygon
ES00051,ES511,polygon
ES00052,ES511,polygon
ES00053,ES511,polygon
ES00054,ES418,polygon
ES00055,ES418,polygon
ES00056,ES419,polygon
ES00057,ES432,polygon
ES00058,ES432,polygon
ES00059,ES419,polygon
ES00060,ES418,polygon
ES00061,ES418,polygon
ES00062,ES413,polygon
ES00063,ES243,polygon
ES00064,ES243,polygon
ES00065,ES230,polygon
ES00066,ES230,polygon
ES00067,ES415,polygon
ES00068,ES415,polygon
ES00069,ES432,polygon
ES00070,ES111,polygon
ES00071,ES111,polygon
ES00072,ES111,polygon
ES00073,ES130,polygon
ES00074,ES130,polygon
ES00075,ES423,polygon
ES00076,ES423,polygon
ES00077,ES523,polygon
ES00078,ES523,polygon
ES00079,ES412,polygon
ES00080,ES242,polygon
ES00081,ES243,polygon
ES00082,ES243,polygon
ES00083,ES418,polygon
ES00084,ES418,polygon
ES00085,ES417,polygon
ES00086,ES418,polygon
ES00087,ES418,polygon
ES00088,ES418,polygon
ES00089,ES418,polygon
ES00090,ES523,polygon
ES00091,ES523,polygon
ES00092,ES523,polygon
ES00093,ES114,polygon
ES00094,ES114,polygon
ES00095,ES211,polygon
ES00096,ES412,polygon
ES00097,ES212,polygon
ES00098,ES212,polygon
ES00099,ES432,nearest
ES00100,ES120,polygon
ES00101,ES120,polygon
ES00102,ES120,polygon
ES00103,ES120,polygon
ES00104,ES120,polygon
ES00105,ES511,polygon
ES00106,ES511,polygon
ES00107,ES419,polygon
ES00108,ES113,polygon
ES00109,ES419,polygon
ES00110,ES419,polygon
ES00111,ES418,polygon
ES00112,ES419,polygon
ES00113,ES523,polygon
ES00114,ES523,polygon
ES00115,ES523,polygon
ES00116,ES523,polygon
ES00117,ES523,polygon
ES00118,ES523,polygon
ES00119,ES523,polygon
ES00120,ES523,polygon
ES00121,ES523,polygon
ES00122,ES523,polygon
ES00123,ES113,polygon
ES00124,ES113,polygon
ES00125,ES113,polygon
ES00126,ES113,polygon
ES00127,ES415,polygon
ES00128,ES415,polygon
ES00129,ES419,polygon
ES00130,ES419,polygon
ES00131,ES415,polygon
ES00132,ES414,polygon
ES00134,ES220,polygon
ES00135,ES220,polygon
ES00136,ES230,polygon
ES00137,ES230,polygon
ES00140,ES414,polygon
ES00141,ES230,polygon
ES00142,ES230,polygon
ES00143,ES300,polygon
ES00144,ES300,polygon
ES00145,ES300,polygon
ES00146,ES300,polygon
ES00147,ES300,polygon
ES00148,ES300,polygon
ES00149,ES300,polygon
ES00150,ES300,polygon
ES00151,ES422,polygon
ES00152,ES220,polygon
ES00153,ES220,polygon
ES00154,ES414,polygon
ES00155,ES419,polygon
ES00156,ES413,polygon
ES00157,ES413,polygon
ES00158,ES432,polygon
ES00159,ES432,polygon
ES00160,ES432,polygon
ES00161,ES413,polygon
ES00162,ES413,polygon
ES00163,ES413,polygon
ES00164,ES413,polygon
ES00165,ES413,polygon
ES00166,ES432,polygon
ES00167,ES432,polygon
ES00168,ES432,polygon
ES00169,ES432,polygon
ES00170,ES220,polygon
ES00171,ES220,polygon
ES00172,ES511,polygon
ES00173,ES120,polygon
ES00174,ES120,polygon
ES00175,ES419,polygon
ES00176,ES419,polygon
ES00177,ES413,polygon
ES00178,ES617,polygon
ES00179,ES617,polygon
ES00180,ES617,polygon
ES00181,ES617,polygon
ES00182,ES612,polygon
ES00183,ES612,polygon
ES00184,ES612,polygon
ES00185,ES612,polygon
ES00186,ES612,polygon
ES00187,ES612,polygon
ES00188,ES612,polygon
ES00189,ES612,polygon
ES00190,ES612,polygon
ES00191,ES612,polygon
ES00192,ES612,polygon
ES00193,ES614,polygon
ES00194,ES614,polygon
ES00195,ES614,polygon
ES00196,ES614,polygon
ES00197,ES614,polygon
ES00198,ES111,polygon
ES00199,ES418,polygon
ES00200,ES419,polygon
ES00201,ES300,polygon
ES00202,ES300,polygon
ES00203,ES300,polygon
ES00204,ES112,polygon
ES00205,ES511,polygon
ES00206,ES511,polygon
ES00207,ES514,polygon
ES00208,ES514,polygon
ES00209,ES511,polygon
ES00210,ES511,polygon
ES00211,ES511,polygon
ES00212,ES511,polygon
ES00213,ES511,polygon
ES00214,ES511,polygon
ES00215,ES241,polygon
ES00216,ES511,polygon
ES00217,ES220,polygon
ES00218,ES220,polygon
ES00219,ES511,polygon
ES00220,ES211,polygon
ES00221,ES211,polygon
ES00222,ES211,polygon
