Day,Time,to_PT,from_PT,from_FR,to_FR
8_Jul,00:00 - 01:00,692,0,1623.5,0
8_Jul,01:00 - 02:00,1105,0,1666.25,0
8_Jul,02:00 - 03:00,1035,0,1366.75,0
8_Jul,03:00 - 04:00,978,0,1545.75,0
8_Jul,04:00 - 05:00,1066,0,1607.25,0
8_Jul,05:00 - 06:00,1094,0,1662.5,0
8_Jul,06:00 - 07:00,1071,0,1654.25,0
8_Jul,07:00 - 08:00,722,0,1813,0
8_Jul,08:00 - 09:00,1132,0,1466.25,0
8_Jul,09:00 - 10:00,2735,0,1644.5,0
8_Jul,10:00 - 11:00,3843,0,1486.25,0
8_Jul,11:00 - 12:00,3899,0,1834.25,0
8_Jul,12:00 - 13:00,3675,0,1970,0
8_Jul,13:00 - 14:00,3313,0,1561,0
8_Jul,14:00 - 15:00,3298,0,567.75,32.75
8_Jul,15:00 - 16:00,3386,0,80.25,818.75
8_Jul,16:00 - 17:00,3382,0,0,1117
8_Jul,17:00 - 18:00,2922,0,0,1181
8_Jul,18:00 - 19:00,2735,0,0,1401
8_Jul,19:00 - 20:00,2483,0,0,1555.5
8_Jul,20:00 - 21:00,2243,0,0,1067
8_Jul,21:00 - 22:00,1631,0,338.25,111.5
8_Jul,22:00 - 23:00,1530,0,1136.5,0
8_Jul,23:00 - 00:00,2017,0,1888,0
2_Dec,00:00 - 01:00,2005,0,2499.75,0
2_Dec,01:00 - 02:00,2523,0,2540.5,0
2_Dec,02:00 - 03:00,2515,0,2653.75,0
2_Dec,03:00 - 04:00,2541,0,2645.5,0
2_Dec,04:00 - 05:00,2431,0,2687,0
2_Dec,05:00 - 06:00,2326,0,2699.75,0
2_Dec,06:00 - 07:00,2098,0,2363.5,0
2_Dec,07:00 - 08:00,1562,0,2149.5,0
2_Dec,08:00 - 09:00,997,0,2577,0
2_Dec,09:00 - 10:00,1678,0,1960.25,0
2_Dec,10:00 - 11:00,2634,0,1899.5,0
2_Dec,11:00 - 12:00,3100,0,1970.75,0
2_Dec,12:00 - 13:00,3387,0,1988,0
2_Dec,13:00 - 14:00,3424,0,2005,0
2_Dec,14:00 - 15:00,2865,0,2011.75,0
2_Dec,15:00 - 16:00,3122,0,1923.25,0
2_Dec,16:00 - 17:00,3121,0,1988,0
2_Dec,17:00 - 18:00,2385,0,1943.25,0
2_Dec,18:00 - 19:00,1910,0,2115.75,0
2_Dec,19:00 - 20:00,1954,0,2293,0
2_Dec,20:00 - 21:00,2001,0,2393.5,0
2_Dec,21:00 - 22:00,2666,0,2385.75,0
2_Dec,22:00 - 23:00,3272,0,2525,0
2_Dec,23:00 - 00:00,3139,0,2435,0
