unit_id,bus_id,primary_fuel,technology,name,capacity_mw,y,x,y_bus,x_bus
G0001,ES00007,Solar,PV,Arcos Arenosas,161,36.6061,-5.7988,36.67160539,-5.819809015
G0090,ES00157,Biomass,Biomass,Cubillos del Sil power station,50,42.6235,-6.5685,42.61241992,-6.566007479
G0190,ES00287,Biomass,Biomass,Son Reus incineration power station,38,39.6443,2.6824,39.65099598,2.679058667
G0315,ES00399,Biomass,Biomass,Ence Puertollano power station,50,38.6555,-3.9872,38.65884288,-3.989657988
G0443,ES00553,Biomass,Biomass,Ence Navia power station,37,43.5266,-6.7247,43.24308955,-6.86439275
G0445,ES00553,Biomass,Biomass,Ence Navia power station,40,43.5266,-6.7247,43.24308955,-6.86439275
G0455,ES00570,Biomass,Biomass,Curtis-Teixeiro power station,50,43.1577,-8.011,43.15157755,-8.02476885
G0567,ES00740,Biomass,Biomass,Sangüesa power station,30,42.5935,-1.2786,42.5994618,-1.2752849
G0704,ES00960,Biomass,Biomass,Sogama power station,50,43.1703,-8.4402,43.1701925,-8.4391677
G0746,ES01032,Biomass,Biomass,Zabalgarbi power station,57,43.2509,-2.9699,43.2472357,-2.9825069
G0845,ES01171,Biomass,Biomass,Ence Huelva power station,50,37.3071,-6.8615,37.3046235,-6.8648189
G0846,ES01171,Biomass,Biomass,Ence Huelva power station,41,37.3071,-6.8615,37.3046235,-6.8648189
G0039,ES00072,Coal,Coal,As Pontes power station,366,43.441395,-7.862578,43.43718515,-7.857049891
G0040,ES00072,Coal,Coal,As Pontes power station,369,43.441395,-7.862578,43.43718515,-7.857049891
G0058,ES00101,Coal,Coal,Aboño power station,556,43.553557,-5.721851,43.55473828,-5.728427008
G0059,ES00101,Coal,Coal,Aboño power station,360,43.553557,-5.721851,43.55473828,-5.728427008
G0109,ES00187,Coal,Coal,Los Barrios power station,589,36.1828,-5.42,36.18953461,-5.426242091
G0204,ES00291,Coal,Coal,Alcúdia power station,130,39.810751,3.091411,39.809604,3.0925777
G0206,ES00291,Coal,Coal,Alcúdia power station,130,39.810751,3.091411,39.809604,3.0925777
G0446,ES00558,Coal,Coal,Soto de Ribera power station,350,43.311717,-5.874,43.31465247,-5.888263182
G0742,ES01013,Coal,Coal,La Pereda Hunosa power station,50,43.247303,-5.754558,43.2763227,-5.8003965
G0004,ES00007,Gas,Combined_cycle,Arcos de la Frontera power station,389,36.6721,-5.8164,36.67160539,-5.819809015
G0005,ES00007,Gas,Combined_cycle,Arcos de la Frontera power station,373,36.6721,-5.8164,36.67160539,-5.819809015
G0006,ES00007,Gas,Combined_cycle,Arcos de la Frontera power station,823,36.6721,-5.8164,36.67160539,-5.819809015
G0041,ES00072,Gas,Combined_cycle,As Pontes power station,856,43.441395,-7.862578,43.43718515,-7.857049891
G0045,ES00080,Gas,Combined_cycle,Castelnou power station,800,41.2167,-0.2928,41.21797095,-0.281745352
G0065,ES00117,Gas,Combined_cycle,Sagunto power station,412,39.64248,-0.23321,39.64817817,-0.245370428
G0066,ES00117,Gas,Combined_cycle,Sagunto power station,411,39.64248,-0.23321,39.64817817,-0.245370428
G0067,ES00117,Gas,Combined_cycle,Sagunto power station,410,39.64248,-0.23321,39.64817817,-0.245370428
G0077,ES00136,Gas,Combined_cycle,Arrubal power station,395,42.4194,-2.2511,42.41713776,-2.2524704
G0078,ES00136,Gas,Combined_cycle,Arrubal power station,390,42.4194,-2.2511,42.41713776,-2.2524704
G0085,ES00153,Gas,Combined_cycle,Castejón power station,425,42.1718,-1.6773,42.16574584,-1.674387538
G0086,ES00153,Gas,Combined_cycle,Castejón power station,379,42.1718,-1.6773,42.16574584,-1.674387538
G0088,ES00153,Gas,Combined_cycle,Castejón power station,418,42.1718,-1.6773,42.16574584,-1.674387538
G0107,ES00187,Gas,Combined_cycle,San Roque 1 power station,390,36.19564,-5.41363,36.18953461,-5.426242091
