line_id,bus0,bus1,voltage,circuits,length,dc,r_per_length,x_per_length,c_per_length,Imax
LTGES0001a,ES00001,ES00002,220,2,5.44,f,0.06,0.301,12.5,1.29
LTGES0001b,ES00001,ES00002,220,2,5.44,f,0.06,0.301,12.5,1.29
LTGES0002a,ES00738,ES01104,220,2,2.72,f,0.06,0.301,12.5,1.29
LTGES0002b,ES00738,ES01104,220,2,2.72,f,0.06,0.301,12.5,1.29
LTGES0003a,ES00003,ES00005,220,2,4.64,f,0.06,0.301,12.5,1.29
LTGES0003b,ES00003,ES00005,220,2,4.64,f,0.06,0.301,12.5,1.29
LTGES0004a,ES00007,ES00009,400,2,71.49,f,0.03,0.246,13.8,2.58
LTGES0004b,ES00007,ES00009,400,2,71.49,f,0.03,0.246,13.8,2.58
LTGES0005,ES00010,ES00870,400,1,0.37,f,0.03,0.246,13.8,2.58
LTGES0006,ES00015,ES00687,220,1,2,f,0.06,0.301,12.5,1.29
LTGES0007,ES00687,ES00016,220,1,5.93,f,0.06,0.301,12.5,1.29
LTGES0008,ES00016,ES00931,220,1,25.5,f,0.06,0.301,12.5,1.29
LTGES0009a,ES00014,ES00017,400,2,212.23,f,0.03,0.246,13.8,2.58
LTGES0009b,ES00014,ES00017,400,2,212.23,f,0.03,0.246,13.8,2.58
LTGES0010a,ES00019,ES00021,400,2,14.13,f,0.03,0.246,13.8,2.58
LTGES0010b,ES00019,ES00021,400,2,14.13,f,0.03,0.246,13.8,2.58
LTGES0011a,ES00018,ES01080,220,2,11.75,f,0.06,0.301,12.5,1.29
LTGES0011b,ES00018,ES01080,220,2,11.75,f,0.06,0.301,12.5,1.29
LTGES0012a,ES01080,ES00022,220,2,2.8,f,0.06,0.301,12.5,1.29
LTGES0012b,ES01080,ES00022,220,2,2.8,f,0.06,0.301,12.5,1.29
LTGES0013a,ES00018,ES01103,220,2,5.91,f,0.06,0.301,12.5,1.29
LTGES0013b,ES00018,ES01103,220,2,5.91,f,0.06,0.301,12.5,1.29
LTGES0014,ES00023,ES00015,220,1,15.85,f,0.06,0.301,12.5,1.29
LTGES0015a,ES00013,ES00024,220,2,20.04,f,0.06,0.301,12.5,1.29
LTGES0015b,ES00013,ES00024,220,2,20.04,f,0.06,0.301,12.5,1.29
LTGES0016a,ES00299,ES00024,220,2,4.52,f,0.06,0.301,12.5,1.29
LTGES0016b,ES00299,ES00024,220,2,4.52,f,0.06,0.301,12.5,1.29
LTGES0017,ES00025,ES00026,220,1,41.19,f,0.06,0.301,12.5,1.29
LTGES0018,ES00026,ES00713,220,1,76.61,f,0.06,0.301,12.5,1.29
LTGES0019a,ES00029,ES00031,400,2,3.08,f,0.03,0.246,13.8,2.58
LTGES0019b,ES00029,ES00031,400,2,3.08,f,0.03,0.246,13.8,2.58
LTGES0020a,ES00033,ES00029,400,2,2.58,f,0.03,0.246,13.8,2.58
LTGES0020b,ES00033,ES00029,400,2,2.58,f,0.03,0.246,13.8,2.58
LTGES0021a,ES00035,ES00036,400,2,227.38,f,0.03,0.246,13.8,2.58
LTGES0021b,ES00035,ES00036,400,2,227.38,f,0.03,0.246,13.8,2.58
LTGES0022,ES00037,ES00039,400,1,62.79,f,0.03,0.246,13.8,2.58
LTGES0023,ES00041,ES00043,400,1,67.2,f,0.03,0.246,13.8,2.58
LTGES0024,ES00044,ES00027,220,1,74.67,f,0.06,0.301,12.5,1.29
LTGES0025,ES00039,ES00046,400,1,61.28,f,0.03,0.246,13.8,2.58
LTGES0026a,ES00047,ES00048,220,2,13.42,f,0.06,0.301,12.5,1.29
LTGES0026b,ES00047,ES00048,220,2,13.42,f,0.06,0.301,12.5,1.29
LTGES0027a,ES00050,ES00926,400,2,59.26,f,0.03,0.246,13.8,2.58
LTGES0027b,ES00050,ES00926,400,2,59.26,f,0.03,0.246,13.8,2.58
LTGES0028a,ES00003,ES00051,220,2,6.49,f,0.06,0.301,12.5,1.29
LTGES0028b,ES00003,ES00051,220,2,6.49,f,0.06,0.301,12.5,1.29
LTGES0029a,ES00051,ES00052,220,2,4.51,f,0.06,0.301,12.5,1.29
LTGES0029b,ES00051,ES00052,220,2,4.51,f,0.06,0.301,12.5,1.29
LTGES0030,ES00054,ES00056,220,1,102.52,f,0.06,0.301,12.5,1.29
LTGES0031,ES00059,ES00054,220,1,157.71,f,0.06,0.301,12.5,1.29
LTGES0032,ES00696,ES00060,220,1,2.73,f,0.06,0.301,12.5,1.29
LTGES0033a,ES00062,ES00055,400,2,139.24,f,0.03,0.246,13.8,2.58
LTGES0033b,ES00062,ES00055,400,2,139.24,f,0.03,0.246,13.8,2.58
LTGES0034,ES00061,ES00695,400,1,4.72,f,0.03,0.246,13.8,2.58
LTGES0035,ES00697,ES00063,220,1,26.1,f,0.06,0.301,12.5,1.29
LTGES0036,ES00066,ES00039,400,1,104.04,f,0.03,0.246,13.8,2.58
LTGES0037,ES00041,ES00691,400,1,72.05,f,0.03,0.246,13.8,2.58
LTGES0038,ES00691,ES00693,400,1,22.46,f,0.03,0.246,13.8,2.58
LTGES0039,ES00693,ES00039,400,1,59.02,f,0.03,0.246,13.8,2.58
