,Actual Load
2024-01-01 00:00:00+01:00,22460
2024-01-01 00:15:00+01:00,22060
2024-01-01 00:30:00+01:00,21880
2024-01-01 00:45:00+01:00,21788
2024-01-01 01:00:00+01:00,21648
2024-01-01 01:15:00+01:00,21508
2024-01-01 01:30:00+01:00,21312
2024-01-01 01:45:00+01:00,21044
2024-01-01 02:00:00+01:00,20748
2024-01-01 02:15:00+01:00,20416
2024-01-01 02:30:00+01:00,20144
2024-01-01 02:45:00+01:00,19836
2024-01-01 03:00:00+01:00,19520
2024-01-01 03:15:00+01:00,19192
2024-01-01 03:30:00+01:00,18900
2024-01-01 03:45:00+01:00,18684
2024-01-01 04:00:00+01:00,18500
2024-01-01 04:15:00+01:00,18336
2024-01-01 04:30:00+01:00,18172
2024-01-01 04:45:00+01:00,18036
2024-01-01 05:00:00+01:00,17908
2024-01-01 05:15:00+01:00,17948
2024-01-01 05:30:00+01:00,17888
2024-01-01 05:45:00+01:00,17852
2024-01-01 06:00:00+01:00,17824
2024-01-01 06:15:00+01:00,17988
2024-01-01 06:30:00+01:00,18048
2024-01-01 06:45:00+01:00,18108
2024-01-01 07:00:00+01:00,18176
2024-01-01 07:15:00+01:00,18344
2024-01-01 07:30:00+01:00,18420
2024-01-01 07:45:00+01:00,18512
2024-01-01 08:00:00+01:00,18552
2024-01-01 08:15:00+01:00,18548
2024-01-01 08:30:00+01:00,18464
2024-01-01 08:45:00+01:00,18344
2024-01-01 09:00:00+01:00,18312
2024-01-01 09:15:00+01:00,18504
2024-01-01 09:30:00+01:00,18712
2024-01-01 09:45:00+01:00,18856
2024-01-01 10:00:00+01:00,19028
2024-01-01 10:15:00+01:00,19220
2024-01-01 10:30:00+01:00,19572
2024-01-01 10:45:00+01:00,20372
2024-01-01 11:00:00+01:00,20640
2024-01-01 11:15:00+01:00,20820
2024-01-01 11:30:00+01:00,20992
2024-01-01 11:45:00+01:00,21128
2024-01-01 12:00:00+01:00,21136
2024-01-01 12:15:00+01:00,21168
2024-01-01 12:30:00+01:00,21188
2024-01-01 12:45:00+01:00,21200
2024-01-01 13:00:00+01:00,21160
2024-01-01 13:15:00+01:00,21216
2024-01-01 13:30:00+01:00,21352
2024-01-01 13:45:00+01:00,21404
2024-01-01 14:00:00+01:00,21580
2024-01-01 14:15:00+01:00,21736
2024-01-01 14:30:00+01:00,21576
2024-01-01 14:45:00+01:00,21304
2024-01-01 15:00:00+01:00,21084
2024-01-01 15:15:00+01:00,20860
2024-01-01 15:30:00+01:00,20772
2024-01-01 15:45:00+01:00,20652
2024-01-01 16:00:00+01:00,20616
2024-01-01 16:15:00+01:00,20680
2024-01-01 16:30:00+01:00,20768
2024-01-01 16:45:00+01:00,20984
2024-01-01 17:00:00+01:00,21280
2024-01-01 17:15:00+01:00,21652
2024-01-01 17:30:00+01:00,21984
2024-01-01 17:45:00+01:00,22460
2024-01-01 18:00:00+01:00,23180
2024-01-01 18:15:00+01:00,24032
2024-01-01 18:30:00+01:00,24720
2024-01-01 18:45:00+01:00,25232
2024-01-01 19:00:00+01:00,25524
2024-01-01 19:15:00+01:00,25900
2024-01-01 19:30:00+01:00,26116
2024-01-01 19:45:00+01:00,26308
2024-01-01 20:00:00+01:00,26536
2024-01-01 20:15:00+01:00,26892
2024-01-01 20:30:00+01:00,27176
