zone,tech,pmax_MW,cost_eur_mwh,source
ES,Nuclear,5430.8,14.28,EMPIRE GoRES
ES,Coal,2297.3,14.52,EMPIRE GoRES
ES,Gas CCGT,18018.6,24.27,EMPIRE GoRES
ES,Gas OCGT,4857.8,31.72,EMPIRE GoRES
ES,Oil,499.2,60.81,EMPIRE GoRES
ES,Bio,504.8,94.66,EMPIRE GoRES
ES,Bio CCS,2236.0,91.45,EMPIRE GoRES
ES,Waste,464.0,2.95,EMPIRE GoRES
FR,Nuclear,44227.3,14.28,EMPIRE GoRES
FR,Coal,1292.0,14.52,EMPIRE GoRES
FR,Gas CCGT,7921.7,24.27,EMPIRE GoRES
FR,Gas OCGT,3171.1,31.72,EMPIRE GoRES
FR,Oil,2158.5,60.81,EMPIRE GoRES
FR,Bio,1000.9,94.66,EMPIRE GoRES
FR,Bio CCS,9822.8,91.45,EMPIRE GoRES
FR,Waste,822.5,2.95,EMPIRE GoRES
FR,Geo,1.8,0.13,EMPIRE GoRES
PT,Gas CCGT,2673.7,24.27,EMPIRE GoRES
PT,Gas OCGT,720.8,31.72,EMPIRE GoRES
PT,Bio,485.9,94.66,EMPIRE GoRES
PT,Bio CCS,531.6,91.45,EMPIRE GoRES
EU,Nuclear,29700.1,14.28,EMPIRE GoRES
EU,Coal,40397.6,14.52,EMPIRE GoRES
EU,Lignite,29132.5,13.56,EMPIRE GoRES
EU,Gas CCGT,161606.1,24.27,EMPIRE GoRES
EU,Gas OCGT,26454.1,31.72,EMPIRE GoRES
EU,Oil,7824.1,60.81,EMPIRE GoRES
EU,Bio,37196.9,94.66,EMPIRE GoRES
EU,Bio CCS,29475.9,91.45,EMPIRE GoRES
EU,Waste,4630.4,2.95,EMPIRE GoRES
EU,Geo,1836.1,0.13,EMPIRE GoRES
ES,Cogeneration,2400.0,50.0,added (REE 2024 CHP)
ES,Run-of-river,1352.2,0.0,EMPIRE growth × smspp
ES,Wind onshore,57409.2,0.0,EMPIRE GoRES
ES,Solar,98570.4,0.0,EMPIRE GoRES
FR,Solar,26780.9,0.0,EMPIRE GoRES
FR,Wind onshore,17718.2,0.0,EMPIRE GoRES
FR,Wind offshore grounded,35303.7,0.0,EMPIRE GoRES
FR,Hydro run-of-the-river,11598.1,0.0,EMPIRE GoRES
FR,Wave,243.1,0.0,EMPIRE GoRES
PT,Solar,21847.0,0.0,EMPIRE GoRES
PT,Wind onshore,8345.7,0.0,EMPIRE GoRES
PT,Hydro run-of-the-river,2856.1,0.0,EMPIRE GoRES
PT,Wave,300.0,0.0,EMPIRE GoRES
EU,Solar,735093.0,0.0,EMPIRE GoRES
EU,Wind onshore,133613.9,0.0,EMPIRE GoRES
EU,Wind offshore grounded,281304.2,0.0,EMPIRE GoRES
EU,Hydro run-of-the-river,58656.6,0.0,EMPIRE GoRES
EU,Wave,1764.0,0.0,EMPIRE GoRES
ES,Reservoir hydro (state),16082.7,0.0,smspp
EU,Reservoir hydro (state),70364.3,0.0,2024
FR,Reservoir hydro (state),8787.3,0.0,2024
PT,Reservoir hydro (weekly budget),1629.0,0.0,2024
ES,Pumped storage / battery,13371.024880255201,0.0,EMPIRE GoRES
FR,Pumped storage / battery,5049.000005484863,0.0,EMPIRE GoRES
PT,Pumped storage / battery,2827.00003129363,0.0,EMPIRE GoRES
EU,Pumped storage / battery,53495.94972986716,0.0,EMPIRE GoRES
ES,Pumped storage / battery,9390.754776553413,0.0,EMPIRE GoRES
FR,Pumped storage / battery,257.22108661516916,0.0,EMPIRE GoRES
PT,Pumped storage / battery,0.01952980064002316,0.0,EMPIRE GoRES
EU,Pumped storage / battery,80639.65455051309,0.0,EMPIRE GoRES
