zone,tech,pmax_MW,cost_eur_mwh,source
ES,Nuclear,5742.2,14.28,EMPIRE NECPEssentials
ES,Coal,2297.3,16.45,EMPIRE NECPEssentials
ES,Gas CCGT,18018.6,30.88,EMPIRE NECPEssentials
ES,Gas OCGT,4857.8,40.5,EMPIRE NECPEssentials
ES,Oil,499.2,108.43,EMPIRE NECPEssentials
ES,Bio,504.8,53.09,EMPIRE NECPEssentials
ES,Bio CCS,184.3,45.26,EMPIRE NECPEssentials
ES,Waste,606.9,2.95,EMPIRE NECPEssentials
FR,Nuclear,46763.2,14.28,EMPIRE NECPEssentials
FR,Coal,1292.0,16.45,EMPIRE NECPEssentials
FR,Gas CCGT,7921.7,30.88,EMPIRE NECPEssentials
FR,Gas OCGT,2135.7,40.5,EMPIRE NECPEssentials
FR,Oil,2158.5,108.43,EMPIRE NECPEssentials
FR,Bio,1000.9,53.09,EMPIRE NECPEssentials
FR,Bio CCS,298.9,45.26,EMPIRE NECPEssentials
FR,Waste,822.5,2.95,EMPIRE NECPEssentials
FR,Geo,1.8,0.13,EMPIRE NECPEssentials
PT,Gas CCGT,2673.7,30.88,EMPIRE NECPEssentials
PT,Gas OCGT,720.8,40.5,EMPIRE NECPEssentials
PT,Bio,485.9,53.09,EMPIRE NECPEssentials
PT,Bio CCS,50.0,45.26,EMPIRE NECPEssentials
EU,Nuclear,30688.8,14.28,EMPIRE NECPEssentials
EU,Coal,40397.6,16.45,EMPIRE NECPEssentials
EU,Lignite,29132.5,13.56,EMPIRE NECPEssentials
EU,Gas CCGT,110705.7,30.88,EMPIRE NECPEssentials
EU,Gas OCGT,26454.1,40.5,EMPIRE NECPEssentials
EU,Oil,7824.1,108.43,EMPIRE NECPEssentials
EU,Bio,71473.1,53.09,EMPIRE NECPEssentials
EU,Bio CCS,6408.8,45.26,EMPIRE NECPEssentials
EU,Waste,4630.4,2.95,EMPIRE NECPEssentials
EU,Geo,1836.1,0.13,EMPIRE NECPEssentials
ES,Cogeneration,2400.0,50.0,added (REE 2024 CHP)
ES,Run-of-river,1322.4,0.0,EMPIRE growth × smspp
ES,Wind onshore,62761.0,0.0,EMPIRE NECPEssentials
ES,Solar,62214.6,0.0,EMPIRE NECPEssentials
FR,Solar,16781.2,0.0,EMPIRE NECPEssentials
FR,Wind onshore,17718.2,0.0,EMPIRE NECPEssentials
FR,Wind offshore grounded,37327.4,0.0,EMPIRE NECPEssentials
FR,Hydro run-of-the-river,11598.1,0.0,EMPIRE NECPEssentials
FR,Wave,243.1,0.0,EMPIRE NECPEssentials
PT,Solar,17140.9,0.0,EMPIRE NECPEssentials
PT,Wind onshore,14044.6,0.0,EMPIRE NECPEssentials
PT,Hydro run-of-the-river,2855.5,0.0,EMPIRE NECPEssentials
PT,Wave,300.0,0.0,EMPIRE NECPEssentials
EU,Solar,478770.3,0.0,EMPIRE NECPEssentials
EU,Wind onshore,333206.7,0.0,EMPIRE NECPEssentials
EU,Wind offshore grounded,144127.9,0.0,EMPIRE NECPEssentials
EU,Hydro run-of-the-river,58656.6,0.0,EMPIRE NECPEssentials
EU,Wave,1764.0,0.0,EMPIRE NECPEssentials
ES,Reservoir hydro (state),15802.7,0.0,smspp
EU,Reservoir hydro (state),70364.3,0.0,2024
FR,Reservoir hydro (state),8787.3,0.0,2024
PT,Reservoir hydro (weekly budget),1629.0,0.0,2024
ES,Pumped storage / battery,8176.000354705173,0.0,EMPIRE NECPEssentials
FR,Pumped storage / battery,5049.000003849188,0.0,EMPIRE NECPEssentials
PT,Pumped storage / battery,2827.000054415303,0.0,EMPIRE NECPEssentials
EU,Pumped storage / battery,44995.00002679645,0.0,EMPIRE NECPEssentials
ES,Pumped storage / battery,502.17525425570176,0.0,EMPIRE NECPEssentials
FR,Pumped storage / battery,0.011964619894648604,0.0,EMPIRE NECPEssentials
PT,Pumped storage / battery,0.01009792302005079,0.0,EMPIRE NECPEssentials
EU,Pumped storage / battery,9438.636095080274,0.0,EMPIRE NECPEssentials
