bus_id,base_kv,voltage_group,connected_charging_mvar,reactor_installed_mvar
ES00159,400.0,400kV,485.183,338.487
ES00035,400.0,400kV,468.081,326.555
ES00014,400.0,400kV,358.78,250.302
ES00055,400.0,400kV,333.975,232.997
ES00036,400.0,400kV,305.528,213.151
ES00041,400.0,400kV,301.612,210.419
ES00017,400.0,400kV,264.463,184.502
ES00208,400.0,400kV,238.794,166.594
ES00397,400.0,400kV,236.116,164.726
ES00007,400.0,400kV,206.427,144.014
ES00128,400.0,400kV,185.676,129.537
ES00330,400.0,400kV,181.899,126.902
ES00062,400.0,400kV,177.793,124.037
ES01259,400.0,400kV,176.829,123.364
ES00206,400.0,400kV,174.54,121.767
ES00362,400.0,400kV,162.688,113.499
ES00069,400.0,400kV,157.177,109.654
ES00211,400.0,400kV,147.743,103.073
ES00196,400.0,400kV,145.076,101.212
ES00500,400.0,400kV,140.009,97.677
ES00392,400.0,400kV,139.357,97.222
ES00458,400.0,400kV,139.218,97.125
ES00021,400.0,400kV,137.803,96.138
ES00072,400.0,400kV,135.93,94.831
ES00080,400.0,400kV,134.484,93.822
ES00124,400.0,400kV,132.968,92.765
ES00089,400.0,400kV,131.643,91.841
ES00085,400.0,400kV,131.286,91.592
ES00350,400.0,400kV,125.675,87.676
ES00214,400.0,400kV,123.763,86.343
ES00043,400.0,400kV,123.458,86.13
ES00370,400.0,400kV,120.663,84.18
ES00179,400.0,400kV,120.007,83.723
ES00039,400.0,400kV,119.234,83.183
ES00353,400.0,400kV,113.979,79.517
ES00130,400.0,400kV,111.832,78.02
ES00075,400.0,400kV,109.412,76.331
ES00068,400.0,400kV,109.21,76.19
ES00649,400.0,400kV,108.801,75.905
ES00186,400.0,400kV,107.414,74.937
ES00071,400.0,400kV,106.481,74.286
ES00890,400.0,400kV,105.943,73.911
ES00064,400.0,400kV,104.799,73.113
ES01161,400.0,400kV,101.788,71.012
ES00476,400.0,400kV,101.351,70.707
ES00892,400.0,400kV,100.671,70.233
ES00393,400.0,400kV,99.895,69.691
ES00274,400.0,400kV,99.513,69.425
ES00324,400.0,400kV,98.889,68.989
ES00240,400.0,400kV,98.504,68.721
ES00545,400.0,400kV,97.148,67.775
ES00926,400.0,400kV,95.816,66.846
ES00010,400.0,400kV,94.949,66.241
ES00376,400.0,400kV,93.749,65.403
ES00669,400.0,400kV,92.868,64.789
ES00996,400.0,400kV,92.597,64.6
ES00221,400.0,400kV,91.713,63.983
ES00761,400.0,400kV,91.501,63.836
ES00033,400.0,400kV,90.107,62.863
ES00879,400.0,400kV,86.125,60.085
ES00364,400.0,400kV,84.384,58.87
ES00432,400.0,400kV,84.155,58.711
ES00181,400.0,400kV,83.122,57.99
ES00685,400.0,400kV,82.321,57.431
ES00276,400.0,400kV,81.578,56.913
ES00009,400.0,400kV,80.964,56.485
ES00163,400.0,400kV,80.951,56.475
ES00126,400.0,400kV,80.649,56.264
ES00760,400.0,400kV,80.43,56.112
ES00148,400.0,400kV,79.737,55.628
ES00076,400.0,400kV,78.034,54.44
ES00651,400.0,400kV,77.933,54.37
ES00050,400.0,400kV,76.851,53.615
ES00479,400.0,400kV,75.047,52.357
ES00046,400.0,400kV,74.961,52.296
ES00386,400.0,400kV,74.014,51.636
ES00331,400.0,400kV,73.653,51.384
ES01151,400.0,400kV,72.793,50.784
ES01004,400.0,400kV,71.482,49.869
ES00789,400.0,400kV,70.747,49.356
ES00436,400.0,400kV,70.608,49.26
ES00365,400.0,400kV,70.542,49.214
ES00544,400.0,400kV,70.109,48.911
ES00177,400.0,400kV,69.744,48.657
ES00054,220.0,<=220kV,57.874,48.588
ES01165,400.0,400kV,69.568,48.534
ES00884,400.0,400kV,69.339,48.374
ES00781,400.0,400kV,69.054,48.175
ES00819,400.0,400kV,68.95,48.103
ES00905,400.0,400kV,68.777,47.982
ES00351,400.0,400kV,64.545,45.03
