transformer_id,bus0,bus1,voltage_bus0,voltage_bus1,HV_kV,n_recommended,per_unit_MVA,installed_MVA,X_pu_on_installed_base,X_ohm_HV,X_ohm_LV
TR_519b8abe,ES00070,ES00071,220,400,400,3,250,750,0.14,29.86666666666667,9.03466666666667
TR_2ba8192a,ES00123,ES00124,220,400,400,3,160,480,0.14,46.66666666666667,14.11666666666667
TR_72a9d275,ES00125,ES00126,220,400,400,3,315,945,0.14,23.703703703703702,7.170370370370371
TR_3d4e3db8,ES00546,ES00547,220,400,400,3,100,300,0.14,74.66666666666669,22.586666666666677
TR_10cbc112,ES00478,ES00479,220,400,400,3,160,480,0.14,46.66666666666667,14.11666666666667
TR_e96aa377,ES00057,ES00058,220,400,400,3,800,2400,0.14,9.333333333333336,2.8233333333333346
TR_0490c2aa,ES00109,ES00110,220,400,400,3,100,300,0.14,74.66666666666669,22.586666666666677
TR_1f77d9ec,ES00325,ES00326,220,400,400,3,250,750,0.14,29.86666666666667,9.03466666666667
TR_b8345e3b,ES00329,ES00330,220,400,400,3,100,300,0.14,74.66666666666669,22.586666666666677
TR_86c7bc47,ES00245,ES00246,220,400,400,3,500,1500,0.14,14.933333333333335,4.517333333333335
TR_26503a3b,ES00164,ES00165,220,400,400,3,100,300,0.14,74.66666666666669,22.586666666666677
TR_b0d59f98,ES00156,ES00157,220,400,400,2,100,200,0.14,112.0,33.88
TR_3cdb5cac,ES00162,ES00163,220,400,400,3,100,300,0.14,74.66666666666669,22.586666666666677
TR_f3d46ea1,ES00175,ES00176,220,400,400,2,100,200,0.14,112.0,33.88
TR_d061a070,ES00650,ES00651,220,400,400,3,315,945,0.14,23.703703703703702,7.170370370370371
TR_0e0d82af,ES00127,ES00128,220,400,400,3,1000,3000,0.14,7.466666666666668,2.2586666666666675
TR_031c515e,ES00408,ES00409,220,400,400,3,160,480,0.14,46.66666666666667,14.11666666666667
TR_e2759977,ES00129,ES00130,220,400,400,2,100,200,0.14,112.0,33.88
TR_ec3a7de9,ES00034,ES00035,220,400,400,3,250,750,0.14,29.86666666666667,9.03466666666667
TR_30aa9055,ES00173,ES00174,220,400,400,2,100,200,0.14,112.0,33.88
TR_82ae89fc,ES00558,ES00559,220,400,400,3,160,480,0.14,46.66666666666667,14.11666666666667
TR_a6bded06,ES00008,ES00009,220,400,400,3,315,945,0.14,23.703703703703702,7.170370370370371
TR_df0161bf,ES00006,ES00007,220,400,400,2,100,200,0.14,112.0,33.88
TR_39a719b5,ES00826,ES00827,132,220,220,2,100,200,0.12,29.04,10.4544
TR_b44ed123,ES00824,ES00825,132,220,220,2,100,200,0.12,29.04,10.4544
TR_ae86a0a4,ES00336,ES00337,220,400,400,3,315,945,0.14,23.703703703703702,7.170370370370371
TR_565d8e08,ES00724,ES00725,132,220,220,2,100,200,0.12,29.04,10.4544
TR_28414610,ES00158,ES00159,220,400,400,3,1250,3750,0.14,5.973333333333335,1.8069333333333342
TR_2087835e,ES00167,ES00168,132,220,220,2,100,200,0.12,29.04,10.4544
TR_65fab876,ES00183,ES00184,220,400,400,2,100,200,0.14,112.0,33.88
TR_3ab3b8f1,ES00103,ES00104,220,400,400,2,100,200,0.14,112.0,33.88
TR_a5f948b9,ES01011,ES01012,220,400,400,2,100,200,0.14,112.0,33.88
TR_a1cd747b,ES00987,ES00988,220,400,400,2,100,200,0.14,112.0,33.88
TR_0727c58f,ES00187,ES00188,220,400,400,3,100,300,0.14,74.66666666666669,22.586666666666677
TR_9b83d397,ES00185,ES00186,220,400,400,2,100,200,0.14,112.0,33.88
TR_86452e13,ES00189,ES00190,220,400,400,2,100,200,0.14,112.0,33.88
TR_0f7c87f6,ES00732,ES00733,220,400,400,2,100,200,0.14,112.0,33.88
TR_9425d6c7,ES00646,ES00647,220,400,400,3,250,750,0.14,29.86666666666667,9.03466666666667
TR_2336bf3a,ES00983,ES00984,220,400,400,2,100,200,0.14,112.0,33.88
TR_d8a27e68,ES00985,ES00986,220,400,400,2,100,200,0.14,112.0,33.88
TR_4329bc31,ES00180,ES00181,220,400,400,3,100,300,0.14,74.66666666666669,22.586666666666677
TR_11762966,ES00060,ES00061,220,400,400,2,100,200,0.14,112.0,33.88
TR_317465d6,ES00088,ES00089,220,400,400,3,100,300,0.14,74.66666666666669,22.586666666666677
TR_b42e8356,ES00054,ES00055,220,400,400,3,250,750,0.14,29.86666666666667,9.03466666666667
TR_dd3b02ef,ES00223,ES00224,220,400,400,3,100,300,0.14,74.66666666666669,22.586666666666677
TR_374f74ad,ES00499,ES00500,220,400,400,2,100,200,0.14,112.0,33.88
TR_07f999e0,ES00178,ES00179,220,400,400,3,160,480,0.14,46.66666666666667,14.11666666666667
TR_dd8f0a25,ES00773,ES00774,220,400,400,2,100,200,0.14,112.0,33.88
TR_2d6a60de,ES00501,ES00502,220,400,400,3,100,300,0.14,74.66666666666669,22.586666666666677
TR_24f95bfa,ES00040,ES00041,220,400,400,3,100,300,0.14,74.66666666666669,22.586666666666677
TR_5c931ebf,ES00771,ES00772,220,400,400,2,100,200,0.14,112.0,33.88
TR_e25275d8,ES00049,ES00050,220,400,400,2,100,200,0.14,112.0,33.88
TR_a4e0ba25,ES00042,ES00043,220,400,400,3,100,300,0.14,74.66666666666669,22.586666666666677
TR_90fa9b51,ES00643,ES00644,220,400,400,3,160,480,0.14,46.66666666666667,14.11666666666667
TR_8a0345e0,ES00396,ES00397,220,400,400,3,250,750,0.14,29.86666666666667,9.03466666666667
TR_db0bb0db,ES01150,ES01151,220,400,400,3,250,750,0.14,29.86666666666667,9.03466666666667
TR_5e46f309,ES00225,ES00226,220,400,400,3,250,750,0.14,29.86666666666667,9.03466666666667
TR_18c54756,ES00032,ES00033,220,400,400,3,100,300,0.14,74.66666666666669,22.586666666666677
TR_09234ca6,ES00028,ES00029,220,400,400,2,100,200,0.14,112.0,33.88
TR_089a759d,ES00030,ES00031,220,400,400,2,100,200,0.14,112.0,33.88
TR_2eceb0ce,ES00020,ES00021,220,400,400,3,315,945,0.14,23.703703703703702,7.170370370370371
TR_05391fc2,ES00018,ES00019,220,400,400,3,250,750,0.14,29.86666666666667,9.03466666666667
TR_6f82474d,ES00601,ES00602,132,220,220,2,100,200,0.12,29.04,10.4544
TR_19887143,ES00073,ES00074,220,400,400,3,100,300,0.14,74.66666666666669,22.586666666666677
TR_9925636e,ES00195,ES00196,220,400,400,3,160,480,0.14,46.66666666666667,14.11666666666667
TR_9238fc7c,ES00202,ES00203,220,400,400,2,100,200,0.14,112.0,33.88
TR_b47b078a,ES00634,ES00635,132,220,220,2,100,200,0.12,29.04,10.4544
TR_d45a10b0,ES00636,ES00637,132,220,220,3,160,480,0.12,12.1,4.356
TR_71979234,ES01121,ES01122,132,220,220,3,100,300,0.12,19.36,6.9696
TR_6b7707a8,ES00603,ES00604,132,220,220,2,100,200,0.12,29.04,10.4544
TR_98b6cb57,ES00487,ES00488,132,220,220,3,160,480,0.12,12.1,4.356
TR_4eff5937,ES00488,ES00489,220,400,400,3,160,480,0.14,46.66666666666667,14.11666666666667
TR_3849e2ae,ES00920,ES00921,220,400,400,2,100,200,0.14,112.0,33.88
TR_63348a57,ES00922,ES00923,220,400,400,2,100,200,0.14,112.0,33.88
TR_b592de8e,ES00692,ES00693,220,400,400,2,100,200,0.14,112.0,33.88
TR_3af63bd6,ES00684,ES00685,220,400,400,3,100,300,0.14,74.66666666666669,22.586666666666677
TR_a8526d91,ES00568,ES00569,132,220,220,2,100,200,0.12,29.04,10.4544
TR_20f9f91a,ES00687,ES00688,220,400,400,3,100,300,0.14,74.66666666666669,22.586666666666677
TR_84534c7d,ES00145,ES00146,220,400,400,3,100,300,0.14,74.66666666666669,22.586666666666677
TR_53ce20b7,ES00571,ES00572,220,400,400,2,100,200,0.14,112.0,33.88
TR_23a069a8,ES00149,ES00150,220,400,400,3,250,750,0.14,29.86666666666667,9.03466666666667
TR_6fc17258,ES00566,ES00567,132,220,220,2,100,200,0.12,29.04,10.4544
TR_4a6d455c,ES00147,ES00148,220,400,400,3,100,300,0.14,74.66666666666669,22.586666666666677
TR_7fb6d213,ES00485,ES00486,220,400,400,3,100,300,0.14,74.66666666666669,22.586666666666677
TR_3d81e7e0,ES00689,ES00690,220,400,400,2,100,200,0.14,112.0,33.88
TR_cee0d2e6,ES00482,ES00483,220,400,400,3,160,480,0.14,46.66666666666667,14.11666666666667
TR_9e0dda04,ES00013,ES00014,220,400,400,3,250,750,0.14,29.86666666666667,9.03466666666667
TR_e1d8c398,ES00470,ES00471,220,400,400,3,250,750,0.14,29.86666666666667,9.03466666666667
TR_026f4709,ES00611,ES00612,220,400,400,3,160,480,0.14,46.66666666666667,14.11666666666667
TR_2cf031ef,ES00038,ES00039,220,400,400,3,160,480,0.14,46.66666666666667,14.11666666666667
TR_4560a61c,ES00583,ES00584,220,400,400,2,100,200,0.14,112.0,33.88
TR_a5cf368f,ES00430,ES00431,220,400,400,3,100,300,0.14,74.66666666666669,22.586666666666677
TR_d11f8e41,ES00045,ES00046,220,400,400,3,160,480,0.14,46.66666666666667,14.11666666666667
TR_871b5827,ES00193,ES00194,220,400,400,3,160,480,0.14,46.66666666666667,14.11666666666667
TR_c22e81d6,ES00296,ES00297,220,400,400,2,100,200,0.14,112.0,33.88
TR_3b58070f,ES00294,ES00295,220,400,400,2,100,200,0.14,112.0,33.88
TR_07cc6fee,ES01020,ES01021,220,400,400,2,100,200,0.14,112.0,33.88
TR_4422f4c8,ES00391,ES00392,220,400,400,3,1000,3000,0.14,7.466666666666668,2.2586666666666675
TR_c5245018,ES00220,ES00221,220,400,400,3,160,480,0.14,46.66666666666667,14.11666666666667
TR_01096471,ES00496,ES00497,220,400,400,3,160,480,0.14,46.66666666666667,14.11666666666667
TR_7644f0c2,ES00097,ES00098,220,400,400,3,160,480,0.14,46.66666666666667,14.11666666666667
TR_737e7f53,ES00065,ES00066,220,400,400,2,100,200,0.14,112.0,33.88
TR_df0fbfc7,ES00136,ES00137,220,400,400,3,100,300,0.14,74.66666666666669,22.586666666666677
TR_59f3a3c3,ES00361,ES00362,220,400,400,3,160,480,0.14,46.66666666666667,14.11666666666667
TR_71f49079,ES00577,ES00578,220,400,400,3,160,480,0.14,46.66666666666667,14.11666666666667
TR_d4b90a0d,ES00418,ES00419,132,220,220,2,100,200,0.12,29.04,10.4544
TR_3a800caf,ES01081,ES01082,132,220,220,2,100,200,0.12,29.04,10.4544
TR_65a15878,ES00743,ES00744,220,225,225,3,100,300,0.12,20.25,19.36
