line_id,factor
TR_871b5827,2.0
NEWES_ES416_ES417,2.0
LTGES1146,2.0
LTGES0668,2.0
LTGES0862a,1.398
LTGES0862b,1.398
LTGES0699,1.227
LTGES1342,1.197
LTGES0645,1.181
TR_14c8e677,1.164
TR_24f95bfa,1.143
LTGES0426,1.117
LTGES0751,1.073
LTGES0617,1.068
LTGES1133,1.034
LTGES0333,1.031
LTGES0441,1.012
TR_5b9e4f80,0.986
LTGES0077,0.957
LTGES0790,0.939
LTGES0348,0.938
LTGES0723,0.938
LTGES0722,0.938
TR_519b8abe,0.917
LTGES0542b,0.906
LTGES0542a,0.906
LTGES1197,0.892
TR_59f3a3c3,0.891
TR_8d4c74b6,0.84
TR_2ab84c9d,0.837
TR_023fe59e,0.836
LTGES1416,0.822
TR_4cb0b32d,0.806
