Timestep;a_0;a_1;a_2;a_3;a_4;a_5;a_6;a_7;a_8;a_9;a_10;a_11;a_12;a_13;a_14;a_15;a_16;a_17;a_18;a_19;a_20;a_21;a_22;a_23;a_24;a_25;a_26;a_27;a_28;a_29;a_30;a_31;a_32;a_33;a_34;a_35;a_36;b
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.4915490345335627e9
0;-160.53839183860336;-160.53839183860336;-160.53839183860336;-160.53839183860336;-160.53839183860336;-160.53839183860336;-160.53839183860336;-160.53839183860336;-160.53839183860336;-160.53839183860336;-160.53839183860336;-160.53839183860336;-160.53839183860336;-160.53839183860336;-160.53839183860336;-160.53839183860336;-160.53839183860336;-160.53839183860336;-160.53839183860336;-160.53839183860336;-160.53839183860336;-160.53839183860336;-160.53839183860336;-160.53839183860336;-160.53839183860336;-160.53839183860336;-160.53839183860336;-160.53839183860336;-160.53839183860336;-160.53839183860336;-160.53839183860336;-160.53839183860336;-160.53839183860336;-160.53839183860336;-160.53839183860336;-160.53839183860336;-160.53839183860336;3.671325661809307e9
0;-117.12696360816476;-117.12696360816476;-117.12696360816476;-117.12696360816476;-117.12696360816476;-117.12696360816476;-117.12696360816476;-117.12696360816476;-117.12696360816476;-117.12696360816476;-117.12696360816476;-117.12696360816476;-117.12696360816476;-117.12696360816476;-117.12696360816476;-117.12696360816476;-117.12696360816476;-117.12696360816476;-117.12696360816476;-117.12696360816476;-117.12696360816476;-117.12696360816476;-117.12696360816476;-117.12696360816476;-117.12696360816476;-117.12696360816476;-117.12696360816476;-117.12696360816476;-117.12696360816476;-117.12696360816476;-117.12696360816476;-117.12696360816476;-117.12696360816476;-117.12696360816476;-117.12696360816476;-117.12696360816476;-117.12696360816476;3.687069441843234e9
0;-117.63777172011304;-117.63777172011304;-117.63777172011304;-117.63777172011304;-117.63777172011304;-117.63777172011304;-117.63777172011304;-117.63777172011304;-117.63777172011304;-117.63777172011304;-117.63777172011304;-117.63777172011304;-117.63777172011304;-117.63777172011304;-117.63777172011304;-117.63777172011304;-117.63777172011304;-117.63777172011304;-117.63777172011304;-117.63777172011304;-117.63777172011304;-117.63777172011304;-117.63777172011304;-117.63777172011304;-117.63777172011304;-117.63777172011304;-117.63777172011304;-117.63777172011304;-117.63777172011304;-117.63777172011304;-117.63777172011304;-117.63777172011304;-117.63777172011304;-117.63777172011304;-117.63777172011304;-117.63777172011304;-117.63777172011304;3.902819162235972e9
0;-22.86876646500684;-22.86876646500684;-22.86876646500684;-22.86876646500684;-22.86876646500684;-22.86876646500684;-22.86876646500684;-22.86876646500684;-22.86876646500684;-22.86876646500684;-22.86876646500684;-22.86876646500684;-22.86876646500684;-22.86876646500684;-22.86876646500684;-22.86876646500684;-22.86876646500684;-22.86876646500684;-22.86876646500684;-22.86876646500684;-22.86876646500684;-22.86876646500684;-22.86876646500684;-22.86876646500684;-22.86876646500684;-22.86876646500684;-22.86876646500684;-22.86876646500684;-22.86876646500684;-22.86876646500684;-22.86876646500684;-22.86876646500684;-22.86876646500684;-22.86876646500684;-22.86876646500684;-22.86876646500684;-22.86876646500684;3.7695033321311846e9
0;-25.550620975889835;-25.550620975889835;-25.550620975889835;-25.550620975889835;-25.550620975889835;-25.550620975889835;-25.550620975889835;-25.550620975889835;-25.550620975889835;-25.550620975889835;-25.550620975889835;-25.550620975889835;-25.550620975889835;-25.550620975889835;-25.550620975889835;-25.550620975889835;-25.550620975889835;-25.550620975889835;-25.550620975889835;-25.550620975889835;-25.550620975889835;-25.550620975889835;-25.550620975889835;-25.550620975889835;-25.550620975889835;-25.550620975889835;-25.550620975889835;-25.550620975889835;-25.550620975889835;-25.550620975889835;-25.550620975889835;-25.550620975889835;-25.550620975889835;-25.550620975889835;-25.550620975889835;-25.550620975889835;-25.550620975889835;3.780775068570378e9
0;-60.40113672924437;-60.40113672924437;-60.40113672924437;-60.40113672924437;-60.40113672924437;-60.40113672924437;-60.40113672924437;-60.40113672924437;-60.40113672924437;-60.40113672924437;-60.40113672924437;-60.40113672924437;-60.40113672924437;-60.40113672924437;-60.40113672924437;-60.40113672924437;-60.40113672924437;-60.40113672924437;-60.40113672924437;-60.40113672924437;-60.40113672924437;-60.40113672924437;-60.40113672924437;-60.40113672924437;-60.40113672924437;-60.40113672924437;-60.40113672924437;-60.40113672924437;-60.40113672924437;-60.40113672924437;-60.40113672924437;-60.40113672924437;-60.40113672924437;-60.40113672924437;-60.40113672924437;-60.40113672924437;-60.40113672924437;4.333246154248621e9
0;-31.885708106942822;-31.885708106942822;-31.885708106942822;-31.885708106942822;-31.885708106942822;-31.885708106942822;-31.885708106942822;-31.885708106942822;-31.885708106942822;-31.885708106942822;-31.885708106942822;-31.885708106942822;-31.885708106942822;-31.885708106942822;-31.885708106942822;-31.885708106942822;-31.885708106942822;-31.885708106942822;-31.885708106942822;-31.885708106942822;-31.885708106942822;-31.885708106942822;-31.885708106942822;-31.885708106942822;-31.885708106942822;-31.885708106942822;-31.885708106942822;-31.885708106942822;-31.885708106942822;-31.885708106942822;-31.885708106942822;-31.885708106942822;-31.885708106942822;-31.885708106942822;-31.885708106942822;-31.885708106942822;-31.885708106942822;4.46366550247589e9
0;-43.578065883022866;-43.578065883022866;-43.578065883022866;-43.578065883022866;-43.578065883022866;-43.578065883022866;-43.578065883022866;-43.578065883022866;-43.578065883022866;-43.578065883022866;-43.578065883022866;-43.578065883022866;-43.578065883022866;-43.578065883022866;-43.578065883022866;-43.578065883022866;-43.578065883022866;-43.578065883022866;-43.578065883022866;-43.578065883022866;-43.578065883022866;-43.578065883022866;-43.578065883022866;-43.578065883022866;-43.578065883022866;-43.578065883022866;-43.578065883022866;-43.578065883022866;-43.578065883022866;-43.578065883022866;-43.578065883022866;-43.578065883022866;-43.578065883022866;-43.578065883022866;-43.578065883022866;-43.578065883022866;-43.578065883022866;4.566117616776322e9
0;-31.42944863095932;-31.42944863095932;-31.42944863095932;-31.42944863095932;-31.42944863095932;-31.42944863095932;-31.42944863095932;-31.42944863095932;-31.42944863095932;-31.42944863095932;-31.42944863095932;-31.42944863095932;-31.42944863095932;-31.42944863095932;-31.42944863095932;-31.42944863095932;-31.42944863095932;-31.42944863095932;-31.42944863095932;-31.42944863095932;-31.42944863095932;-31.42944863095932;-31.42944863095932;-31.42944863095932;-31.42944863095932;-31.42944863095932;-31.42944863095932;-31.42944863095932;-31.42944863095932;-31.42944863095932;-31.42944863095932;-31.42944863095932;-31.42944863095932;-31.42944863095932;-31.42944863095932;-31.42944863095932;-31.42944863095932;4.642491396569588e9
