date,hour,fr_mw,pt_mw,eufr_mw,fr_import_ntc_mw,fr_export_ntc_mw,pt_import_ntc_mw,pt_export_ntc_mw,price_es,price_fr,price_pt,price_eu
2024-08-20,0,5600.6,-1591.3,-20200.0,,,,,15.91,15.41,16.41,50.56
2024-08-20,1,2887.2,-1396.9,-20200.0,,,,,15.91,15.41,16.41,50.56
2024-08-20,2,2269.8,-1015.1,-20200.0,,,,,15.91,15.41,16.41,50.56
2024-08-20,3,4011.8,-747.4,-20200.0,,,,,15.91,15.41,16.41,50.56
2024-08-20,4,1229.2,0.0,-20200.0,,,,,15.91,15.41,16.41,50.56
2024-08-20,5,4288.0,-2098.0,-20200.0,,,,,15.91,15.41,16.41,50.56
2024-08-20,6,706.7,0.0,-20200.0,,,,,15.91,15.41,16.41,50.56
2024-08-20,7,747.3,0.0,-20200.0,,,,,15.91,15.41,16.41,50.56
2024-08-20,8,921.8,-1139.5,-8785.3,,,,,15.91,15.41,16.41,15.91
2024-08-20,9,-7722.3,209.3,0.0,,,,,11.94,15.41,11.44,15.41
2024-08-20,10,-7722.3,0.0,0.0,,,,,0.18,15.41,0.0,15.41
2024-08-20,11,-7722.3,0.0,0.0,,,,,0.18,15.41,0.0,15.41
2024-08-20,12,-7722.3,0.0,0.0,,,,,0.18,15.41,0.0,15.41
2024-08-20,13,-7722.3,0.0,0.0,,,,,0.0,15.41,0.0,15.41
2024-08-20,14,-7722.3,0.0,-18346.4,,,,,0.18,15.41,0.0,15.91
2024-08-20,15,-7722.3,0.0,-20200.0,,,,,0.18,15.41,0.0,50.56
2024-08-20,16,-7722.3,-1240.2,-20200.0,,,,,0.18,15.41,0.68,50.56
2024-08-20,17,-7722.3,-3038.0,-20200.0,,,,,11.94,15.41,12.44,50.56
2024-08-20,18,3082.6,-5032.8,-20200.0,,,,,15.91,15.41,16.41,50.56
2024-08-20,19,4768.8,-539.2,-20200.0,,,,,15.91,15.41,16.41,50.56
2024-08-20,20,5025.8,-731.1,-20200.0,,,,,15.91,15.41,16.41,50.56
2024-08-20,21,3345.8,-858.7,-20200.0,,,,,15.91,15.41,16.41,50.56
2024-08-20,22,4855.4,-380.5,-20200.0,,,,,15.91,15.41,16.41,50.56
2024-08-20,23,1966.4,-103.9,-20200.0,,,,,15.91,15.41,16.41,50.56
2024-08-21,0,0.0,0.0,0.0,,,,,15.41,15.41,15.91,15.91
2024-08-21,1,0.0,0.0,0.0,,,,,15.41,15.41,15.91,15.91
2024-08-21,2,0.0,0.0,0.0,,,,,15.41,15.41,15.91,15.91
2024-08-21,3,0.0,0.0,-20200.0,,,,,15.41,15.41,15.91,15.91
2024-08-21,4,0.0,0.0,0.0,,,,,15.41,15.41,15.91,15.91
2024-08-21,5,0.0,0.0,-414.4,,,,,15.41,15.41,15.91,15.91
2024-08-21,6,0.0,0.0,-19826.6,,,,,15.41,15.41,15.91,15.91
2024-08-21,7,0.0,0.0,-442.5,,,,,15.41,15.41,15.91,15.91
2024-08-21,8,-5673.0,-1354.1,0.0,,,,,14.91,15.41,15.41,15.41
2024-08-21,9,-7722.3,-567.2,3610.3,,,,,0.18,15.41,0.68,14.91
2024-08-21,10,-7722.3,-122.1,17336.5,,,,,0.18,15.41,0.68,14.91
2024-08-21,11,-7722.3,-40.6,4338.9,,,,,0.0,15.41,0.5,14.91
2024-08-21,12,-7722.3,-129.9,0.0,,,,,0.0,15.41,0.5,14.91
2024-08-21,13,-7722.3,-452.4,0.0,,,,,0.0,15.41,0.5,15.41
2024-08-21,14,-7722.3,-1150.4,-3178.5,,,,,0.0,15.41,0.5,15.91
2024-08-21,15,-7722.3,-2188.4,-20200.0,,,,,0.18,15.41,0.68,15.91
2024-08-21,16,-7722.3,-3609.5,-20200.0,,,,,0.18,15.41,0.68,50.56
2024-08-21,17,-5261.3,-5302.2,-20200.0,,,,,14.91,15.41,15.41,63.95
2024-08-21,18,0.0,-2000.3,-20200.0,,,,,15.41,15.41,15.91,63.95
2024-08-21,19,0.0,-1282.2,-20200.0,,,,,15.41,15.91,15.91,63.95
2024-08-21,20,0.0,-1443.6,-20200.0,,,,,15.41,15.91,15.91,58.69
2024-08-21,21,0.0,-411.7,-20200.0,,,,,15.41,15.91,15.91,50.56
2024-08-21,22,-1108.2,-567.1,-20200.0,,,,,15.41,15.91,15.91,49.84
2024-08-21,23,-806.6,0.0,-17901.6,,,,,15.41,15.91,15.91,16.41
2024-08-22,0,2349.6,-229.5,-8509.0,,,,,63.95,63.45,64.45,63.95
2024-08-22,1,7056.6,-4370.8,-20200.0,,,,,63.95,63.45,64.45,63.95
2024-08-22,2,5665.2,-2480.4,-20200.0,,,,,63.95,63.45,64.45,63.95
2024-08-22,3,4513.3,0.0,-5102.0,,,,,63.95,63.45,64.45,63.95
2024-08-22,4,7722.3,-128.9,-20200.0,,,,,63.95,63.45,64.45,63.95
2024-08-22,5,7722.3,236.6,-20200.0,,,,,78.24,63.45,77.74,63.95
2024-08-22,6,7722.3,366.8,0.0,,,,,78.24,63.45,77.74,63.95
2024-08-22,7,7722.3,573.8,-20200.0,,,,,78.24,63.45,77.74,63.95
2024-08-22,8,7722.3,-3171.3,-12811.0,,,,,63.95,63.45,64.45,63.95
2024-08-22,9,2456.0,-2335.3,-11096.9,,,,,58.69,58.19,59.19,58.69
2024-08-22,10,-1130.7,-2211.4,-5797.5,,,,,49.56,50.06,50.06,50.56
2024-08-22,11,-7516.8,-1655.5,-1916.8,,,,,49.56,50.06,50.06,50.56
2024-08-22,12,-7722.3,-1502.0,-3833.6,,,,,0.18,50.06,0.68,50.56
2024-08-22,13,-7722.3,-1968.2,-14350.8,,,,,0.18,50.06,0.68,50.56
2024-08-22,14,-7722.3,-2793.3,-20200.0,,,,,0.18,63.45,0.68,63.95
2024-08-22,15,-7722.3,-3176.4,-20200.0,,,,,58.69,63.45,59.19,63.95
2024-08-22,16,-5192.9,-4482.9,-18090.3,,,,,62.95,63.45,63.45,63.95
2024-08-22,17,4966.0,-5917.4,-12725.4,,,,,63.95,63.45,64.45,63.95
2024-08-22,18,7722.3,-1206.8,-17671.7,,,,,78.24,63.45,78.74,63.95
2024-08-22,19,7722.3,0.0,-20200.0,,,,,115.26,63.45,115.26,63.95
2024-08-22,20,7722.3,-654.1,-20200.0,,,,,78.24,63.45,78.74,63.95
2024-08-22,21,7722.3,-2033.3,-20200.0,,,,,78.24,63.45,78.74,63.95
2024-08-22,22,7722.3,-1727.9,-20200.0,,,,,78.24,63.45,78.74,63.95
2024-08-22,23,7722.3,-1407.3,-20200.0,,,,,78.24,63.45,78.74,63.95
2024-08-23,0,7722.3,-2540.3,-20200.0,,,,,63.95,50.56,64.45,63.95
2024-08-23,1,7722.3,-3555.8,-20200.0,,,,,63.95,50.56,64.45,63.95
2024-08-23,2,7722.3,-3546.6,-20200.0,,,,,63.95,50.56,64.45,63.95
2024-08-23,3,7722.3,-2802.1,-20200.0,,,,,63.95,50.56,64.45,63.95
2024-08-23,4,7722.3,-408.9,-20200.0,,,,,63.95,50.56,64.45,63.95
2024-08-23,5,7722.3,-416.9,-20200.0,,,,,63.95,50.56,64.45,63.95
2024-08-23,6,7722.3,-1259.0,-20200.0,,,,,63.95,50.56,64.45,63.95
2024-08-23,7,7722.3,-151.9,-20200.0,,,,,63.95,50.56,64.45,63.95
2024-08-23,8,7722.3,-2921.2,-20200.0,,,,,63.95,50.56,64.45,63.95
2024-08-23,9,-1765.8,-3315.3,-20200.0,,,,,50.06,50.56,50.56,58.69
2024-08-23,10,-7722.3,-2950.1,-20200.0,,,,,47.98,50.56,48.48,58.69
2024-08-23,11,-7722.3,-2218.6,-20200.0,,,,,22.0,50.56,22.5,58.69
2024-08-23,12,-7722.3,-1958.3,-20200.0,,,,,0.18,50.56,0.68,58.69
2024-08-23,13,-7722.3,-2480.0,-20200.0,,,,,0.18,50.56,0.68,58.69
2024-08-23,14,-7722.3,-3214.8,-20200.0,,,,,0.18,50.56,0.68,63.95
2024-08-23,15,-7722.3,-4265.2,-20200.0,,,,,47.98,50.56,48.48,63.95
2024-08-23,16,-7722.3,-5363.9,-20200.0,,,,,50.06,50.56,50.56,63.95
2024-08-23,17,-231.2,-5644.2,-20144.2,,,,,62.95,63.45,63.45,63.95
2024-08-23,18,667.5,-873.3,-13453.0,,,,,63.95,63.45,64.45,63.95
