date,hour,country,bus_id,da_share_mw,redispatch_mw,delta_mw,lower_bound_mw,upper_bound_mw
2024-08-20,0,PT,ES00277,-1129.089,-0.0,1129.089,-11439.849,0.0
2024-08-20,0,FR,ES00859,3357.866,2508.229,-849.637,0.0,4629.981
2024-08-20,0,PT,ES00813,-38.812,-0.0,38.812,-393.245,0.0
2024-08-20,0,PT,ES01092,-141.136,-942.587,-801.451,-1429.981,0.0
2024-08-20,0,PT,ES00817,-141.136,-0.0,141.136,-1429.981,0.0
2024-08-20,0,FR,ES00742,291.68,402.182,110.502,0.0,402.182
2024-08-20,0,FR,ES01126,1659.337,2287.97,628.633,0.0,2287.97
2024-08-20,0,FR,ES00981,291.68,402.182,110.502,0.0,402.182
2024-08-20,0,PT,ES00818,-141.136,-648.723,-507.586,-1429.981,0.0
2024-08-20,1,PT,ES00277,-991.171,-991.171,0.0,-11439.849,0.0
2024-08-20,1,FR,ES00859,1731.023,1731.023,-0.0,0.0,4629.981
2024-08-20,1,PT,ES00813,-34.072,-34.072,-0.0,-393.245,0.0
2024-08-20,1,PT,ES01092,-123.896,-123.896,0.0,-1429.981,0.0
2024-08-20,1,PT,ES00817,-123.896,-123.896,0.0,-1429.981,0.0
2024-08-20,1,FR,ES00742,150.365,150.365,0.0,0.0,402.182
2024-08-20,1,FR,ES01126,855.409,855.409,-0.0,0.0,2287.97
2024-08-20,1,FR,ES00981,150.365,150.365,0.0,0.0,402.182
2024-08-20,1,PT,ES00818,-123.896,-123.896,0.0,-1429.981,0.0
2024-08-20,2,PT,ES00277,-720.241,-720.241,0.0,-11439.849,0.0
2024-08-20,2,FR,ES00859,1360.875,1360.875,-0.0,0.0,4629.981
2024-08-20,2,PT,ES00813,-24.758,-24.758,-0.0,-393.245,0.0
2024-08-20,2,PT,ES01092,-90.03,-90.03,0.0,-1429.981,0.0
2024-08-20,2,PT,ES00817,-90.03,-90.03,0.0,-1429.981,0.0
2024-08-20,2,FR,ES00742,118.212,118.212,0.0,0.0,402.182
2024-08-20,2,FR,ES01126,672.495,672.495,-0.0,0.0,2287.97
