date,hour,branch_id,branch_name,from_bus,to_bus,from_bus_id,to_bus_id,from_nuts3,to_nuts3,asset_class,reinforcement_eligible,diagnostic_multiplier,capacity_policy,base_line_rating_factor,flow_mw,flow_mvar,limit_mw,loading_pct
2024-08-22,9,248,LTGES0177,733,735,ES00742,ES00744,FR,ES212,international,false,1.0,fixed,0.8,402.18,0.0,402.18,100.0
2024-08-20,0,1562,LTGES1027,850,851,ES00859,ES00860,FR,ES212,international,false,1.0,fixed,0.8,1429.98,0.0,1429.98,100.0
2024-08-24,13,2178,NEWXB_ES220_FR,150,850,ES00153,ES00859,ES220,FR,international,false,1.0,fixed,0.8,1577.14,0.0,1600.0,98.6
2025-06-26,23,377,LTGES0257b,124,274,ES00124,ES00277,ES113,PT,international,false,1.0,fixed,0.8,2581.04,0.0,2859.96,90.2
2025-06-26,23,376,LTGES0257a,124,274,ES00124,ES00277,ES113,PT,international,false,1.0,fixed,0.8,2581.04,0.0,2859.96,90.2
2024-08-24,12,2179,NEWES_ES412_ES416,684,905,ES00691,ES00916,ES412,ES416,inter_nuts3,false,5.0,inter_allowance,0.8,-672.69,0.0,754.19,89.2
2025-06-24,9,1859,LTGES1219,1055,970,ES01069,ES00981,ES241,FR,international,false,1.0,fixed,0.8,-317.11,0.0,402.18,78.8
2025-06-27,11,1783,LTGES1173a,1108,1107,ES01126,ES01125,FR,ES512,international,false,1.0,fixed,0.8,-726.33,0.0,1143.98,63.5
2025-06-27,11,1784,LTGES1174b,1108,1107,ES01126,ES01125,FR,ES512,international,false,1.0,fixed,0.8,-726.33,0.0,1143.98,63.5
2024-08-23,13,869,LTGES0589,458,276,ES00461,ES00279,ES220,ES243,inter_nuts3,false,5.0,inter_allowance,0.8,-1132.47,0.0,1966.22,57.6
2024-08-24,13,1003,LTGES0668,481,908,ES00484,ES00919,ES423,ES300,inter_nuts3,false,5.0,inter_allowance,0.8,969.92,0.0,1966.22,49.3
2025-06-28,4,2177,NEWXB_ES213_FR,993,850,ES01007,ES00859,ES213,FR,international,false,1.0,fixed,0.8,780.67,0.0,1600.0,48.8
2025-06-26,23,524,LTGES0363,808,99,ES00817,ES00099,PT,ES432,international,false,1.0,fixed,0.8,-645.92,0.0,1429.98,45.2
2025-06-26,23,1565,LTGES1029,1076,1122,ES01092,ES01142,PT,ES615,international,false,1.0,fixed,0.8,-646.37,0.0,1429.98,45.2
2025-06-26,23,525,LTGES0364,809,1143,ES00818,ES01163,PT,ES431,international,false,1.0,fixed,0.8,-646.28,0.0,1429.98,45.2
2025-06-26,23,1868,LTGES1225,804,322,ES00813,ES00325,PT,ES415,international,false,1.0,fixed,0.8,-176.27,0.0,393.24,44.8
2024-08-23,14,423,LTGES0290,134,952,ES00135,ES00963,ES220,ES243,inter_nuts3,false,5.0,inter_allowance,0.8,-2759.97,0.0,7149.91,38.6
2025-06-28,19,266,LTGES0193,707,25,ES00714,ES00025,ES414,ES412,inter_nuts3,false,5.0,inter_allowance,0.8,-713.23,0.0,1966.22,36.3
2024-08-24,13,1312,LTGES0862b,443,372,ES00446,ES00375,ES513,ES514,inter_nuts3,false,5.0,inter_allowance,0.8,1298.38,0.0,3932.45,33.0
2024-08-24,13,1311,LTGES0862a,443,372,ES00446,ES00375,ES513,ES514,inter_nuts3,false,5.0,inter_allowance,0.8,1298.38,0.0,3932.45,33.0
