date,hour,stage,price_eur_mwh
2024-08-20,0,DA,15.91
2024-08-20,1,DA,15.91
2024-08-20,2,DA,15.91
2024-08-20,3,DA,15.91
2024-08-20,4,DA,15.91
2024-08-20,5,DA,15.91
2024-08-20,6,DA,15.91
2024-08-20,7,DA,15.91
2024-08-20,8,DA,15.91
2024-08-20,9,DA,11.94
2024-08-20,10,DA,0.18
2024-08-20,11,DA,0.18
2024-08-20,12,DA,0.0
2024-08-20,13,DA,0.0
2024-08-20,14,DA,0.0
2024-08-20,15,DA,0.18
2024-08-20,16,DA,0.18
2024-08-20,17,DA,11.94
2024-08-20,18,DA,15.91
2024-08-20,19,DA,15.91
2024-08-20,20,DA,15.91
2024-08-20,21,DA,15.91
2024-08-20,22,DA,15.91
2024-08-20,23,DA,15.91
2024-08-21,0,DA,15.41
2024-08-21,1,DA,15.41
2024-08-21,2,DA,15.41
2024-08-21,3,DA,15.41
2024-08-21,4,DA,15.41
2024-08-21,5,DA,15.41
2024-08-21,6,DA,15.41
2024-08-21,7,DA,15.41
2024-08-21,8,DA,11.56
2024-08-21,9,DA,0.18
2024-08-21,10,DA,0.0
2024-08-21,11,DA,0.0
2024-08-21,12,DA,0.0
2024-08-21,13,DA,0.0
2024-08-21,14,DA,0.0
2024-08-21,15,DA,0.0
2024-08-21,16,DA,0.18
2024-08-21,17,DA,11.56
2024-08-21,18,DA,15.41
2024-08-21,19,DA,15.41
2024-08-21,20,DA,15.41
2024-08-21,21,DA,15.41
2024-08-21,22,DA,15.41
2024-08-21,23,DA,15.41
2024-08-22,0,DA,114.76
2024-08-22,1,DA,114.76
2024-08-22,2,DA,114.76
2024-08-22,3,DA,115.26
2024-08-22,4,DA,115.26
2024-08-22,5,DA,115.26
2024-08-22,6,DA,115.26
2024-08-22,7,DA,115.26
2024-08-22,8,DA,115.26
2024-08-22,9,DA,86.46
2024-08-22,10,DA,49.56
2024-08-22,11,DA,0.18
2024-08-22,12,DA,0.0
2024-08-22,13,DA,0.0
2024-08-22,14,DA,0.18
2024-08-22,15,DA,50.56
2024-08-22,16,DA,63.95
2024-08-22,17,DA,114.76
2024-08-22,18,DA,115.26
2024-08-22,19,DA,115.26
2024-08-22,20,DA,115.26
2024-08-22,21,DA,115.26
2024-08-22,22,DA,115.26
2024-08-22,23,DA,115.26
2024-08-23,0,DA,114.76
2024-08-23,1,DA,114.76
2024-08-23,2,DA,114.76
2024-08-23,3,DA,114.76
2024-08-23,4,DA,114.76
2024-08-23,5,DA,114.76
2024-08-23,6,DA,115.26
2024-08-23,7,DA,115.26
2024-08-23,8,DA,114.76
2024-08-23,9,DA,86.08
2024-08-23,10,DA,50.06
2024-08-23,11,DA,0.18
2024-08-23,12,DA,0.0
2024-08-23,13,DA,0.0
2024-08-23,14,DA,0.18
2024-08-23,15,DA,0.18
2024-08-23,16,DA,58.69
2024-08-23,17,DA,86.08
2024-08-23,18,DA,114.76
2024-08-23,19,DA,114.76
2024-08-23,20,DA,114.76
2024-08-23,21,DA,114.76
2024-08-23,22,DA,114.76
2024-08-23,23,DA,114.76
2024-08-24,0,DA,83.93
2024-08-24,1,DA,83.93
2024-08-24,2,DA,83.93
2024-08-24,3,DA,83.93
2024-08-24,4,DA,83.93
2024-08-24,5,DA,83.93
2024-08-24,6,DA,83.93
2024-08-24,7,DA,83.93
2024-08-24,8,DA,83.93
2024-08-24,9,DA,62.95
2024-08-24,10,DA,22.0
2024-08-24,11,DA,0.18
2024-08-24,12,DA,0.0
2024-08-24,13,DA,0.0
2024-08-24,14,DA,0.18
2024-08-24,15,DA,0.18
2024-08-24,16,DA,58.69
2024-08-24,17,DA,62.95
2024-08-24,18,DA,83.93
2024-08-24,19,DA,83.93
2024-08-24,20,DA,83.93
2024-08-24,21,DA,83.93
2024-08-24,22,DA,83.93
2024-08-24,23,DA,83.93
2024-08-25,0,DA,63.95
2024-08-25,1,DA,63.95
2024-08-25,2,DA,63.95
2024-08-25,3,DA,63.95
2024-08-25,4,DA,63.95
2024-08-25,5,DA,63.95
2024-08-25,6,DA,63.95
2024-08-25,7,DA,63.95
2024-08-25,8,DA,63.95
2024-08-25,9,DA,47.98
2024-08-25,10,DA,0.18
2024-08-25,11,DA,0.18
2024-08-25,12,DA,0.0
2024-08-25,13,DA,0.0
2024-08-25,14,DA,0.18
2024-08-25,15,DA,0.18
2024-08-25,16,DA,47.98
2024-08-25,17,DA,62.95
2024-08-25,18,DA,63.95
2024-08-25,19,DA,63.95
2024-08-25,20,DA,63.95
2024-08-25,21,DA,63.95
2024-08-25,22,DA,63.95
2024-08-25,23,DA,63.95
2024-08-26,0,DA,114.76
2024-08-26,1,DA,114.76
2024-08-26,2,DA,114.76
2024-08-26,3,DA,114.76
2024-08-26,4,DA,114.76
2024-08-26,5,DA,114.76
2024-08-26,6,DA,114.76
2024-08-26,7,DA,114.76
2024-08-26,8,DA,114.76
2024-08-26,9,DA,58.69
2024-08-26,10,DA,49.56
2024-08-26,11,DA,0.18
2024-08-26,12,DA,0.0
2024-08-26,13,DA,0.0
2024-08-26,14,DA,0.18
2024-08-26,15,DA,0.18
2024-08-26,16,DA,62.95
2024-08-26,17,DA,86.08
2024-08-26,18,DA,114.76
2024-08-26,19,DA,115.26
2024-08-26,20,DA,114.76
2024-08-26,21,DA,114.76
2024-08-26,22,DA,114.76
2024-08-26,23,DA,114.76
2025-06-24,0,DA,57.54
2025-06-24,1,DA,57.54
2025-06-24,2,DA,57.54
2025-06-24,3,DA,57.54
2025-06-24,4,DA,57.54
2025-06-24,5,DA,57.54
2025-06-24,6,DA,57.54
2025-06-24,7,DA,57.54
2025-06-24,8,DA,57.54
2025-06-24,9,DA,43.16
2025-06-24,10,DA,0.18
2025-06-24,11,DA,0.0
2025-06-24,12,DA,0.0
2025-06-24,13,DA,0.0
2025-06-24,14,DA,0.0
2025-06-24,15,DA,0.18
2025-06-24,16,DA,14.91
2025-06-24,17,DA,43.16
2025-06-24,18,DA,57.54
2025-06-24,19,DA,57.54
2025-06-24,20,DA,57.54
2025-06-24,21,DA,57.54
2025-06-24,22,DA,57.54
2025-06-24,23,DA,57.54
2025-06-25,0,DA,56.31
2025-06-25,1,DA,56.31
2025-06-25,2,DA,56.31
2025-06-25,3,DA,56.31
2025-06-25,4,DA,56.31
2025-06-25,5,DA,56.31
2025-06-25,6,DA,56.31
2025-06-25,7,DA,56.31
2025-06-25,8,DA,42.24
2025-06-25,9,DA,15.91
2025-06-25,10,DA,14.91
2025-06-25,11,DA,0.18
2025-06-25,12,DA,0.18
2025-06-25,13,DA,0.18
2025-06-25,14,DA,0.18
2025-06-25,15,DA,0.18
2025-06-25,16,DA,15.91
2025-06-25,17,DA,42.24
2025-06-25,18,DA,56.31
2025-06-25,19,DA,56.31
2025-06-25,20,DA,56.31
2025-06-25,21,DA,56.31
2025-06-25,22,DA,56.31
2025-06-25,23,DA,56.31
