date,hour,status,objective_eur_h,total_gen_mw,total_load_mw,load_shed_mw,mismatch_mw
2024-08-20,0,OPTIMAL,134754.24,27796.7,27796.7,0.0,-0.0
2024-08-20,1,OPTIMAL,134579.01,26924.8,26924.8,0.0,0.0
2024-08-20,2,OPTIMAL,134580.77,26331.6,26331.6,0.0,-0.0
2024-08-20,3,OPTIMAL,134657.8,26051.7,26051.7,0.0,0.0
2024-08-20,4,OPTIMAL,134661.85,26337.2,26337.2,0.0,0.0
2024-08-20,5,OPTIMAL,134766.53,26573.3,26573.3,0.0,0.0
2024-08-20,6,OPTIMAL,134660.68,27679.2,27679.2,0.0,0.0
2024-08-20,7,OPTIMAL,134520.04,29991.7,29991.7,0.0,0.0
2024-08-20,8,OPTIMAL,134571.76,32101.6,32101.6,0.0,-0.0
2024-08-20,9,OPTIMAL,117825.76,33107.8,33107.8,0.0,-0.0
2024-08-20,10,OPTIMAL,117016.53,33748.1,33748.1,0.0,0.0
2024-08-20,11,OPTIMAL,116209.7,34334.6,34334.6,0.0,0.0
2024-08-20,12,OPTIMAL,115885.95,34142.1,34142.1,0.0,0.0
2024-08-20,13,OPTIMAL,115883.04,33338.4,33338.4,0.0,0.0
2024-08-20,14,OPTIMAL,115880.29,32599.7,32599.7,0.0,0.0
2024-08-20,15,OPTIMAL,116129.95,32281.8,32281.8,0.0,0.0
2024-08-20,16,OPTIMAL,117466.98,32055.7,32055.7,0.0,-0.0
2024-08-20,17,OPTIMAL,118691.91,31962.8,31962.8,0.0,0.0
2024-08-20,18,OPTIMAL,135697.27,32044.5,32044.5,0.0,0.0
2024-08-20,19,OPTIMAL,135963.8,33795.1,33795.1,0.0,0.0
2024-08-20,20,OPTIMAL,136081.83,32636.6,32636.6,0.0,0.0
2024-08-20,21,OPTIMAL,135993.72,30624.1,30624.1,0.0,0.0
2024-08-20,22,OPTIMAL,135375.74,29137.7,29137.7,0.0,0.0
2024-08-20,23,OPTIMAL,135189.42,27416.2,27416.2,0.0,-0.0
2024-08-21,0,OPTIMAL,123897.08,25820.1,25820.1,0.0,0.0
2024-08-21,1,OPTIMAL,128949.59,24920.1,24920.1,0.0,-0.0
2024-08-21,2,OPTIMAL,123120.02,24482.5,24482.5,0.0,-0.0
2024-08-21,3,OPTIMAL,127794.42,24268.7,24268.7,0.0,0.0
2024-08-21,4,OPTIMAL,129555.5,24347.1,24347.1,0.0,0.0
2024-08-21,5,OPTIMAL,135083.7,24007.9,24007.9,0.0,0.0
2024-08-21,6,OPTIMAL,134973.01,24296.7,24296.7,0.0,-0.0
2024-08-21,7,OPTIMAL,120191.18,25831.2,25831.2,0.0,0.0
2024-08-21,8,OPTIMAL,118017.72,27022.2,27022.2,0.0,0.0
2024-08-21,9,OPTIMAL,117181.48,28170.6,28170.6,0.0,0.0
2024-08-21,10,OPTIMAL,115867.75,28997.8,28997.8,0.0,0.0
2024-08-21,11,OPTIMAL,115870.77,29922.3,29922.3,0.0,0.0
2024-08-21,12,OPTIMAL,115872.3,30267.0,30267.0,0.0,0.0
2024-08-21,13,OPTIMAL,115871.28,29657.0,29657.0,0.0,0.0
2024-08-21,14,OPTIMAL,115871.96,29167.9,29167.9,0.0,0.0
2024-08-21,15,OPTIMAL,115874.67,28870.2,28870.2,0.0,-0.0
2024-08-21,16,OPTIMAL,117094.54,28800.8,28800.8,0.0,0.0
2024-08-21,17,OPTIMAL,118129.89,29210.4,29210.4,0.0,-0.0
2024-08-21,18,OPTIMAL,119137.25,29822.7,29822.7,0.0,-0.0
2024-08-21,19,LOCALLY_SOLVED,135811.16,32534.7,32534.7,0.0,0.0
2024-08-21,20,OPTIMAL,135929.31,32505.6,32505.6,0.0,0.0
2024-08-21,21,OPTIMAL,135827.31,30775.2,30775.2,0.0,0.0
2024-08-21,22,OPTIMAL,135342.09,28820.9,28820.9,0.0,0.0
2024-08-21,23,OPTIMAL,135121.7,26992.0,26992.0,0.0,-0.0
2024-08-22,0,OPTIMAL,212126.18,25818.9,25818.9,0.0,0.0
2024-08-22,1,OPTIMAL,211001.71,25352.2,25352.2,0.0,0.0
2024-08-22,2,OPTIMAL,211078.35,25029.8,25029.8,0.0,0.0
2024-08-22,3,OPTIMAL,254170.97,25442.8,25442.8,0.0,0.0
2024-08-22,4,OPTIMAL,390420.37,27483.3,27483.3,0.0,0.0
2024-08-22,5,OPTIMAL,306489.63,29601.1,29601.1,0.0,0.0
2024-08-22,6,OPTIMAL,587454.02,31982.9,31982.9,0.0,-0.0
2024-08-22,7,OPTIMAL,660069.33,34646.9,34646.9,0.0,0.0
2024-08-22,8,OPTIMAL,211136.49,36277.7,36277.7,0.0,0.0
2024-08-22,9,OPTIMAL,210365.12,37423.9,37423.9,0.0,0.0
2024-08-22,10,OPTIMAL,141286.83,38712.2,38712.2,0.0,0.0
2024-08-22,11,OPTIMAL,116372.05,39608.7,39608.7,0.0,0.0
2024-08-22,12,OPTIMAL,115909.56,39175.6,39175.6,0.0,0.0
2024-08-22,13,OPTIMAL,115907.83,38218.6,38218.6,0.0,0.0
2024-08-22,14,OPTIMAL,116030.97,37983.5,37983.5,0.0,0.0
2024-08-22,15,OPTIMAL,176891.71,37879.4,37879.4,0.0,0.0
2024-08-22,16,OPTIMAL,210351.47,37477.6,37477.6,0.0,0.0
2024-08-22,17,OPTIMAL,210756.84,36809.4,36809.4,0.0,-0.0
2024-08-22,18,OPTIMAL,243647.9,36389.6,36389.6,0.0,0.0
2024-08-22,19,OPTIMAL,806923.24,37803.3,37803.3,0.0,-0.0
2024-08-22,20,OPTIMAL,682915.66,35930.7,35930.7,0.0,0.0
